Lazio,AS Roma,Internazionale,Cagliari,AC Milan,Como,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Parma,Bologna,Monza,Genoa,Venezia
58.0,2261.0,5244.0,5.0,163.0,1715.0,0.0,352.0,10.0,142.0,44.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
195.0,2712.0,2364.0,37.0,508.0,2590.0,6.0,877.0,45.0,475.0,164.0,0.0,21.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
424.0,2082.0,1243.0,112.0,942.0,2239.0,37.0,1405.0,119.0,877.0,399.0,1.0,89.0,8.0,3.0,2.0,14.0,0.0,4.0,0.0
772.0,1181.0,589.0,225.0,1361.0,1458.0,84.0,1736.0,239.0,1307.0,708.0,7.0,207.0,25.0,29.0,4.0,59.0,0.0,9.0,0.0
1012.0,725.0,312.0,413.0,1498.0,832.0,186.0,1530.0,449.0,1465.0,981.0,32.0,332.0,51.0,47.0,9.0,103.0,0.0,23.0,0.0
1246.0,470.0,128.0,564.0,1407.0,504.0,257.0,1246.0,673.0,1354.0,1151.0,68.0,497.0,100.0,77.0,20.0,201.0,0.0,37.0,0.0
1239.0,258.0,68.0,783.0,1193.0,313.0,414.0,908.0,899.0,1156.0,1212.0,85.0,715.0,189.0,153.0,44.0,285.0,2.0,84.0,0.0
1173.0,161.0,28.0,937.0,872.0,146.0,577.0,707.0,997.0,955.0,1226.0,159.0,850.0,283.0,247.0,71.0,438.0,5.0,168.0,0.0
1046.0,59.0,15.0,1025.0,682.0,89.0,765.0,468.0,1081.0,723.0,1068.0,270.0,1015.0,416.0,324.0,128.0,611.0,10.0,205.0,0.0
808.0,42.0,5.0,1081.0,490.0,53.0,939.0,287.0,1054.0,508.0,919.0,374.0,1015.0,587.0,496.0,181.0,754.0,24.0,382.0,1.0
649.0,30.0,3.0,995.0,330.0,30.0,996.0,215.0,1021.0,408.0,646.0,515.0,1067.0,733.0,673.0,299.0,909.0,33.0,443.0,5.0
473.0,13.0,1.0,964.0,247.0,16.0,1018.0,125.0,933.0,263.0,548.0,682.0,1026.0,873.0,786.0,420.0,939.0,55.0,616.0,2.0
343.0,2.0,0.0,857.0,115.0,5.0,1079.0,68.0,754.0,163.0,378.0,865.0,868.0,1039.0,894.0,592.0,1101.0,106.0,758.0,13.0
226.0,4.0,0.0,656.0,87.0,3.0,979.0,37.0,570.0,105.0,224.0,1071.0,726.0,1139.0,1109.0,802.0,1057.0,177.0,994.0,34.0
167.0,0.0,0.0,520.0,54.0,5.0,910.0,25.0,456.0,44.0,161.0,1246.0,621.0,1156.0,1167.0,1036.0,978.0,299.0,1088.0,67.0
99.0,0.0,0.0,366.0,25.0,1.0,713.0,8.0,344.0,39.0,91.0,1354.0,417.0,1175.0,1194.0,1267.0,975.0,505.0,1281.0,146.0
49.0,0.0,0.0,270.0,20.0,1.0,550.0,2.0,205.0,12.0,48.0,1357.0,279.0,1020.0,1139.0,1656.0,774.0,852.0,1474.0,292.0
20.0,0.0,0.0,139.0,5.0,0.0,328.0,4.0,111.0,4.0,29.0,1184.0,189.0,733.0,1062.0,1896.0,521.0,1657.0,1384.0,734.0
1.0,0.0,0.0,46.0,1.0,0.0,136.0,0.0,37.0,0.0,3.0,593.0,57.0,372.0,485.0,1175.0,233.0,3799.0,815.0,2247.0
0.0,0.0,0.0,5.0,0.0,0.0,26.0,0.0,3.0,0.0,0.0,137.0,4.0,100.0,114.0,398.0,43.0,2476.0,235.0,6459.0
