Barcelona,Real Madrid,Alavés,Atlético Madrid,Sevilla,Deportivo La Coruña,Real Betis,Espanyol,Athletic Club,Racing Santander,Osasuna,Real Sociedad,Levante,Getafe,Celta Vigo,Rayo Vallecano,Málaga,Villarreal,Elche,Valencia
8366.0,1548.0,2.0,46.0,0.0,0.0,25.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
1519.0,6970.0,63.0,753.0,27.0,17.0,393.0,16.0,8.0,1.0,11.0,21.0,4.0,5.0,6.0,11.0,0.0,173.0,1.0,1.0
102.0,1061.0,648.0,3269.0,294.0,178.0,2333.0,180.0,160.0,22.0,118.0,188.0,56.0,55.0,85.0,104.0,0.0,1126.0,15.0,6.0
8.0,261.0,916.0,2098.0,521.0,371.0,2121.0,389.0,323.0,71.0,222.0,386.0,160.0,128.0,226.0,263.0,0.0,1483.0,35.0,18.0
3.0,90.0,1086.0,1256.0,738.0,537.0,1459.0,564.0,487.0,121.0,369.0,557.0,250.0,202.0,348.0,369.0,1.0,1446.0,64.0,53.0
2.0,36.0,1097.0,820.0,842.0,631.0,1009.0,641.0,564.0,185.0,513.0,710.0,399.0,300.0,430.0,469.0,1.0,1178.0,100.0,73.0
0.0,17.0,996.0,559.0,834.0,682.0,711.0,709.0,686.0,275.0,603.0,775.0,465.0,359.0,500.0,569.0,5.0,985.0,167.0,103.0
0.0,5.0,944.0,347.0,855.0,729.0,550.0,796.0,726.0,325.0,665.0,759.0,499.0,464.0,582.0,582.0,2.0,795.0,233.0,142.0
0.0,7.0,830.0,262.0,842.0,749.0,352.0,785.0,751.0,400.0,701.0,806.0,560.0,499.0,659.0,670.0,5.0,629.0,286.0,207.0
0.0,3.0,657.0,187.0,772.0,722.0,317.0,771.0,775.0,501.0,748.0,771.0,657.0,605.0,695.0,674.0,11.0,481.0,386.0,267.0
0.0,1.0,606.0,141.0,727.0,731.0,221.0,754.0,744.0,572.0,755.0,729.0,702.0,620.0,779.0,693.0,16.0,413.0,459.0,337.0
0.0,1.0,482.0,84.0,658.0,823.0,149.0,724.0,732.0,593.0,785.0,750.0,745.0,699.0,760.0,730.0,27.0,339.0,535.0,384.0
0.0,0.0,408.0,68.0,622.0,701.0,129.0,697.0,753.0,711.0,770.0,675.0,776.0,726.0,806.0,721.0,44.0,275.0,619.0,499.0
0.0,0.0,361.0,45.0,534.0,705.0,84.0,663.0,689.0,836.0,722.0,666.0,828.0,801.0,764.0,748.0,73.0,198.0,718.0,565.0
0.0,0.0,289.0,27.0,515.0,595.0,65.0,623.0,652.0,950.0,737.0,581.0,834.0,804.0,784.0,724.0,99.0,169.0,855.0,697.0
0.0,0.0,238.0,23.0,442.0,563.0,42.0,540.0,583.0,926.0,702.0,526.0,831.0,938.0,696.0,758.0,162.0,130.0,944.0,956.0
0.0,0.0,180.0,12.0,351.0,485.0,23.0,472.0,534.0,1077.0,600.0,463.0,743.0,918.0,696.0,682.0,328.0,82.0,1173.0,1181.0
0.0,0.0,118.0,2.0,250.0,422.0,13.0,380.0,443.0,1092.0,523.0,364.0,734.0,872.0,615.0,657.0,627.0,66.0,1329.0,1493.0
0.0,0.0,61.0,1.0,150.0,279.0,3.0,226.0,295.0,990.0,361.0,231.0,587.0,780.0,457.0,452.0,1632.0,19.0,1416.0,2060.0
0.0,0.0,18.0,0.0,26.0,80.0,1.0,69.0,93.0,352.0,95.0,42.0,169.0,225.0,112.0,124.0,6967.0,4.0,665.0,958.0
