West Ham United,Swansea City,West Bromwich Albion,Middlesbrough,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Southampton,Birmingham City,Stoke City,Bristol City,Norwich City,Millwall,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
7002.0,85.0,27.0,520.0,5.0,2.0,1671.0,549.0,11.0,4.0,18.0,29.0,59.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
1860.0,423.0,116.0,1617.0,47.0,21.0,3383.0,1777.0,105.0,22.0,88.0,169.0,255.0,55.0,9.0,0.0,3.0,5.0,28.0,0.0,0.0,10.0,0.0,7.0
699.0,775.0,302.0,1994.0,104.0,48.0,2053.0,2075.0,291.0,61.0,220.0,430.0,598.0,150.0,20.0,3.0,17.0,25.0,85.0,1.0,0.0,29.0,0.0,20.0
237.0,1086.0,530.0,1685.0,245.0,82.0,1167.0,1703.0,500.0,155.0,369.0,649.0,901.0,243.0,66.0,2.0,55.0,40.0,162.0,0.0,0.0,79.0,1.0,43.0
91.0,1155.0,682.0,1208.0,380.0,174.0,627.0,1171.0,703.0,284.0,517.0,817.0,1006.0,399.0,118.0,11.0,88.0,74.0,275.0,0.0,0.0,137.0,10.0,73.0
58.0,1028.0,816.0,866.0,530.0,218.0,443.0,788.0,772.0,367.0,657.0,885.0,961.0,538.0,142.0,18.0,117.0,114.0,333.0,2.0,1.0,195.0,20.0,131.0
31.0,941.0,862.0,575.0,584.0,321.0,250.0,560.0,778.0,448.0,700.0,894.0,936.0,571.0,219.0,24.0,175.0,168.0,460.0,2.0,2.0,249.0,23.0,227.0
12.0,843.0,837.0,420.0,621.0,410.0,142.0,411.0,795.0,506.0,706.0,862.0,872.0,663.0,284.0,40.0,241.0,251.0,497.0,3.0,2.0,290.0,42.0,250.0
4.0,705.0,776.0,314.0,660.0,446.0,90.0,267.0,832.0,620.0,737.0,756.0,781.0,712.0,362.0,55.0,283.0,295.0,574.0,9.0,6.0,376.0,52.0,288.0
5.0,572.0,764.0,233.0,684.0,512.0,69.0,223.0,734.0,650.0,738.0,751.0,678.0,707.0,392.0,110.0,346.0,344.0,567.0,15.0,8.0,445.0,86.0,367.0
1.0,497.0,682.0,178.0,742.0,535.0,36.0,119.0,721.0,694.0,694.0,633.0,601.0,761.0,486.0,135.0,399.0,411.0,622.0,23.0,7.0,517.0,95.0,411.0
0.0,438.0,664.0,114.0,727.0,632.0,25.0,120.0,635.0,695.0,692.0,557.0,471.0,720.0,521.0,175.0,431.0,433.0,647.0,37.0,26.0,565.0,160.0,515.0
0.0,349.0,564.0,86.0,692.0,675.0,20.0,86.0,580.0,673.0,627.0,561.0,424.0,664.0,623.0,203.0,518.0,550.0,704.0,36.0,41.0,568.0,192.0,564.0
0.0,283.0,518.0,57.0,682.0,757.0,9.0,44.0,514.0,690.0,617.0,435.0,362.0,641.0,634.0,292.0,625.0,596.0,687.0,63.0,43.0,608.0,255.0,588.0
0.0,210.0,444.0,43.0,613.0,739.0,6.0,38.0,456.0,684.0,520.0,384.0,310.0,630.0,720.0,331.0,700.0,649.0,726.0,89.0,63.0,654.0,349.0,642.0
0.0,196.0,366.0,38.0,545.0,745.0,4.0,33.0,391.0,699.0,498.0,273.0,227.0,561.0,777.0,433.0,729.0,777.0,675.0,129.0,85.0,735.0,383.0,701.0
0.0,155.0,316.0,26.0,511.0,715.0,4.0,20.0,340.0,645.0,456.0,271.0,166.0,498.0,809.0,576.0,780.0,826.0,607.0,171.0,141.0,710.0,509.0,748.0
0.0,108.0,266.0,14.0,493.0,700.0,0.0,8.0,285.0,535.0,368.0,218.0,140.0,462.0,789.0,692.0,802.0,786.0,606.0,266.0,206.0,803.0,678.0,775.0
0.0,62.0,175.0,4.0,393.0,724.0,1.0,3.0,212.0,454.0,273.0,157.0,110.0,338.0,770.0,919.0,856.0,838.0,574.0,398.0,313.0,754.0,826.0,846.0
0.0,52.0,144.0,3.0,303.0,540.0,0.0,2.0,146.0,414.0,214.0,125.0,66.0,284.0,753.0,1119.0,837.0,846.0,468.0,589.0,502.0,716.0,1058.0,819.0
0.0,21.0,77.0,3.0,212.0,458.0,0.0,1.0,101.0,336.0,154.0,84.0,46.0,190.0,635.0,1341.0,806.0,769.0,328.0,946.0,784.0,642.0,1285.0,781.0
0.0,10.0,51.0,1.0,136.0,329.0,0.0,1.0,66.0,197.0,85.0,38.0,22.0,129.0,464.0,1503.0,659.0,641.0,225.0,1566.0,1309.0,455.0,1490.0,623.0
0.0,5.0,16.0,1.0,68.0,159.0,0.0,0.0,25.0,127.0,38.0,16.0,6.0,53.0,271.0,1247.0,363.0,391.0,113.0,2463.0,2522.0,329.0,1398.0,389.0
0.0,1.0,5.0,0.0,23.0,58.0,0.0,1.0,7.0,40.0,14.0,6.0,2.0,18.0,136.0,771.0,170.0,171.0,36.0,3192.0,3939.0,131.0,1088.0,191.0
