Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
6984.0,3015.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2992.0,6912.0,68.0,17.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,69.0,4914.0,2546.0,1163.0,986.0,234.0,15.0,17.0,9.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,2536.0,3016.0,1810.0,1758.0,605.0,42.0,99.0,27.0,25.0,0.0,2.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1371.0,2131.0,2302.0,2162.0,1244.0,115.0,273.0,75.0,102.0,3.0,6.0,214.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,705.0,1282.0,2108.0,2141.0,1869.0,328.0,557.0,220.0,262.0,18.0,30.0,465.0,8.0,2.0,4.0,1.0,0.0,0.0
0.0,0.0,281.0,605.0,1302.0,1500.0,2270.0,710.0,1094.0,522.0,556.0,59.0,104.0,913.0,42.0,12.0,24.0,6.0,0.0,0.0
0.0,0.0,88.0,234.0,706.0,769.0,1616.0,1239.0,1565.0,856.0,956.0,144.0,262.0,1362.0,120.0,27.0,44.0,12.0,0.0,0.0
0.0,0.0,32.0,108.0,344.0,401.0,990.0,1484.0,1648.0,1059.0,1242.0,306.0,473.0,1492.0,233.0,56.0,99.0,33.0,0.0,0.0
0.0,0.0,4.0,38.0,171.0,164.0,539.0,1569.0,1432.0,1278.0,1492.0,435.0,687.0,1375.0,397.0,148.0,198.0,71.0,2.0,0.0
0.0,0.0,0.0,15.0,47.0,70.0,323.0,1501.0,1152.0,1272.0,1390.0,699.0,946.0,1234.0,616.0,264.0,307.0,161.0,3.0,0.0
0.0,0.0,0.0,6.0,26.0,30.0,163.0,1186.0,837.0,1344.0,1177.0,942.0,1242.0,1037.0,866.0,397.0,465.0,271.0,11.0,0.0
0.0,0.0,0.0,2.0,12.0,10.0,88.0,837.0,555.0,1145.0,983.0,1228.0,1443.0,720.0,1155.0,647.0,664.0,472.0,39.0,0.0
0.0,0.0,0.0,0.0,2.0,4.0,31.0,486.0,356.0,882.0,737.0,1403.0,1420.0,498.0,1411.0,862.0,1043.0,765.0,100.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,278.0,245.0,643.0,489.0,1447.0,1195.0,300.0,1552.0,1246.0,1343.0,1099.0,142.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,145.0,107.0,397.0,318.0,1380.0,1007.0,178.0,1370.0,1598.0,1661.0,1528.0,306.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0,45.0,181.0,186.0,1112.0,723.0,84.0,1151.0,1897.0,1854.0,2022.0,688.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,81.0,64.0,711.0,366.0,31.0,850.0,1960.0,1685.0,2477.0,1715.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,11.0,113.0,94.0,9.0,226.0,876.0,600.0,1066.0,6609.0,384.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,7.0,16.0,385.0,9582.0
