Arsenal,Manchester City,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Newcastle United,Leeds United,Nottingham Forest,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5614.0,3966.0,2.0,120.0,44.0,37.0,58.0,16.0,0.0,16.0,11.0,17.0,84.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0
3295.0,4472.0,12.0,535.0,249.0,181.0,322.0,100.0,0.0,110.0,95.0,84.0,426.0,12.0,79.0,3.0,3.0,8.0,14.0,0.0
694.0,921.0,94.0,1614.0,940.0,765.0,1256.0,424.0,3.0,520.0,385.0,345.0,1460.0,84.0,316.0,23.0,17.0,38.0,101.0,0.0
211.0,335.0,175.0,1445.0,1025.0,900.0,1206.0,633.0,5.0,675.0,564.0,492.0,1351.0,141.0,483.0,39.0,40.0,89.0,191.0,0.0
96.0,164.0,282.0,1221.0,1023.0,963.0,1083.0,675.0,23.0,694.0,656.0,620.0,1169.0,209.0,568.0,85.0,80.0,124.0,265.0,0.0
47.0,74.0,346.0,1051.0,981.0,966.0,960.0,755.0,26.0,758.0,699.0,699.0,967.0,284.0,655.0,121.0,99.0,183.0,329.0,0.0
23.0,33.0,448.0,829.0,911.0,903.0,939.0,753.0,46.0,805.0,758.0,697.0,852.0,360.0,690.0,155.0,133.0,242.0,423.0,0.0
13.0,19.0,507.0,705.0,834.0,873.0,798.0,830.0,79.0,849.0,740.0,758.0,738.0,420.0,688.0,183.0,175.0,298.0,493.0,0.0
3.0,7.0,578.0,581.0,734.0,769.0,661.0,788.0,120.0,776.0,831.0,802.0,633.0,535.0,796.0,254.0,255.0,364.0,513.0,0.0
1.0,5.0,670.0,449.0,711.0,653.0,584.0,787.0,154.0,801.0,754.0,765.0,571.0,566.0,798.0,344.0,332.0,453.0,602.0,0.0
1.0,0.0,728.0,373.0,578.0,638.0,525.0,764.0,197.0,736.0,745.0,788.0,441.0,683.0,742.0,430.0,436.0,537.0,658.0,0.0
2.0,1.0,752.0,337.0,508.0,518.0,462.0,705.0,279.0,713.0,684.0,756.0,376.0,741.0,798.0,535.0,501.0,589.0,743.0,0.0
0.0,2.0,811.0,223.0,408.0,461.0,338.0,645.0,377.0,623.0,710.0,699.0,290.0,853.0,754.0,652.0,611.0,722.0,821.0,0.0
0.0,1.0,868.0,182.0,331.0,392.0,258.0,581.0,498.0,542.0,628.0,700.0,232.0,848.0,690.0,804.0,771.0,826.0,847.0,1.0
0.0,0.0,880.0,125.0,273.0,359.0,198.0,488.0,672.0,436.0,529.0,554.0,173.0,993.0,601.0,942.0,920.0,963.0,891.0,3.0
0.0,0.0,869.0,92.0,182.0,242.0,164.0,417.0,965.0,370.0,493.0,423.0,110.0,999.0,510.0,1102.0,1061.0,1099.0,895.0,7.0
0.0,0.0,806.0,66.0,145.0,204.0,105.0,330.0,1298.0,266.0,336.0,387.0,66.0,920.0,397.0,1270.0,1329.0,1174.0,878.0,23.0
0.0,0.0,699.0,39.0,88.0,119.0,58.0,202.0,1911.0,210.0,238.0,270.0,41.0,798.0,263.0,1540.0,1459.0,1218.0,758.0,89.0
0.0,0.0,465.0,13.0,35.0,56.0,25.0,102.0,3093.0,99.0,142.0,139.0,19.0,528.0,157.0,1438.0,1686.0,1028.0,560.0,415.0
0.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,254.0,1.0,2.0,5.0,1.0,25.0,5.0,80.0,92.0,45.0,14.0,9462.0
