Coventry City,Ipswich Town,Millwall,Middlesbrough,Southampton,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Watford,Preston North End,Swansea City,Birmingham City,Stoke City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Oxford United,Leicester City,Sheffield Wednesday
9673.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327.0,8652.0,470.0,376.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,689.0,4082.0,3543.0,1634.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,250.0,3211.0,3752.0,2552.0,231.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,79.0,2062.0,2086.0,4507.0,1146.0,69.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,171.0,235.0,1035.0,6447.0,782.0,1268.0,54.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,7.0,86.0,1672.0,3670.0,4049.0,328.0,63.0,45.0,14.0,9.0,23.0,24.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,11.0,423.0,4213.0,3185.0,1029.0,372.0,169.0,83.0,55.0,151.0,247.0,35.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,29.0,971.0,962.0,2687.0,1617.0,646.0,497.0,347.0,764.0,1031.0,273.0,172.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,232.0,308.0,1780.0,1700.0,1029.0,905.0,657.0,1009.0,1377.0,549.0,446.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,55.0,123.0,1271.0,1420.0,1146.0,1167.0,838.0,1172.0,1373.0,711.0,699.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,1000.0,1249.0,1204.0,1192.0,959.0,1241.0,1291.0,956.0,826.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,745.0,1120.0,1324.0,1235.0,1028.0,1187.0,1175.0,1143.0,938.0,87.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,517.0,893.0,1287.0,1371.0,1274.0,1186.0,1030.0,1172.0,1129.0,131.0,1.0,0.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,732.0,1229.0,1221.0,1393.0,1133.0,958.0,1346.0,1365.0,274.0,8.0,2.0,18.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,569.0,1109.0,1107.0,1508.0,1063.0,797.0,1662.0,1440.0,454.0,29.0,8.0,59.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,234.0,715.0,996.0,1591.0,817.0,566.0,1525.0,2094.0,1022.0,138.0,88.0,150.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,96.0,201.0,325.0,249.0,123.0,546.0,736.0,5008.0,947.0,754.0,861.0,95.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,16.0,5.0,8.0,66.0,112.0,1746.0,3202.0,2413.0,1656.0,587.0,178.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,801.0,2754.0,2735.0,2010.0,1298.0,375.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,1865.0,2287.0,2379.0,2370.0,790.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,870.0,1427.0,1923.0,3887.0,1808.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,186.0,286.0,931.0,1761.0,6828.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
