Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,Hamburg SV,FC Cologne,Borussia Mönchengladbach,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9914.0,22.0,62.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,78.0,3243.0,5632.0,844.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,3930.0,3200.0,1896.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1870.0,886.0,4453.0,2791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,935.0,219.0,2803.0,6022.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,4.0,16.0,6147.0,3769.0,29.0,27.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3580.0,5809.0,297.0,212.0,68.0,21.0,7.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,242.0,379.0,4249.0,2189.0,1475.0,372.0,515.0,552.0,25.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,2481.0,2667.0,1754.0,921.0,1104.0,887.0,112.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,1873.0,1914.0,1482.0,1688.0,1288.0,294.0,36.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,1384.0,1739.0,1893.0,1927.0,1529.0,628.0,127.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,835.0,1503.0,2110.0,1954.0,1770.0,1059.0,305.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,590.0,1087.0,1766.0,1586.0,2257.0,1790.0,675.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,207.0,399.0,1147.0,870.0,1369.0,4140.0,1708.0,107.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,56.0,287.0,346.0,338.0,1904.0,6096.0,840.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,48.0,951.0,7112.0,1883.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1915.0,8006.0
