Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6768.0,1946.0,371.0,286.0,496.0,114.0,4.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1956.0,3550.0,1348.0,964.0,1464.0,523.0,37.0,86.0,16.0,8.0,20.0,13.0,4.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0
750.0,2031.0,2025.0,1659.0,2012.0,938.0,128.0,221.0,33.0,27.0,44.0,44.0,27.0,38.0,18.0,4.0,1.0,0.0,0.0,0.0
304.0,1151.0,1977.0,1906.0,1956.0,1337.0,289.0,449.0,113.0,71.0,119.0,103.0,69.0,95.0,47.0,12.0,1.0,1.0,0.0,0.0
144.0,652.0,1563.0,1746.0,1548.0,1644.0,542.0,749.0,255.0,144.0,259.0,259.0,139.0,216.0,108.0,22.0,8.0,2.0,0.0,0.0
45.0,341.0,1109.0,1281.0,1063.0,1693.0,876.0,1087.0,495.0,248.0,447.0,401.0,271.0,390.0,176.0,50.0,17.0,9.0,0.0,1.0
21.0,162.0,675.0,813.0,655.0,1197.0,1197.0,1343.0,702.0,437.0,600.0,654.0,456.0,617.0,312.0,99.0,48.0,9.0,1.0,2.0
10.0,84.0,385.0,507.0,349.0,854.0,1221.0,1296.0,853.0,610.0,764.0,864.0,671.0,809.0,468.0,148.0,78.0,25.0,1.0,3.0
1.0,48.0,259.0,317.0,220.0,576.0,1155.0,1135.0,1054.0,706.0,858.0,944.0,796.0,917.0,608.0,216.0,123.0,49.0,3.0,15.0
1.0,27.0,130.0,220.0,105.0,407.0,1044.0,958.0,1076.0,852.0,927.0,1029.0,949.0,968.0,675.0,315.0,198.0,81.0,7.0,31.0
0.0,6.0,79.0,121.0,74.0,275.0,898.0,769.0,1015.0,930.0,985.0,1036.0,955.0,1007.0,918.0,494.0,274.0,110.0,6.0,48.0
0.0,1.0,35.0,88.0,26.0,183.0,760.0,593.0,921.0,986.0,981.0,1065.0,1082.0,1046.0,991.0,592.0,375.0,173.0,18.0,84.0
0.0,1.0,23.0,44.0,20.0,105.0,612.0,477.0,907.0,1045.0,950.0,973.0,1014.0,1008.0,1117.0,758.0,482.0,271.0,40.0,153.0
0.0,0.0,13.0,32.0,7.0,85.0,455.0,323.0,834.0,1014.0,912.0,805.0,990.0,896.0,1144.0,1067.0,679.0,420.0,89.0,235.0
0.0,0.0,6.0,12.0,4.0,39.0,363.0,227.0,674.0,943.0,814.0,645.0,891.0,751.0,1102.0,1309.0,1012.0,647.0,140.0,421.0
0.0,0.0,2.0,2.0,0.0,15.0,212.0,157.0,491.0,827.0,610.0,502.0,732.0,569.0,926.0,1546.0,1495.0,957.0,268.0,689.0
0.0,0.0,0.0,2.0,0.0,11.0,133.0,76.0,314.0,636.0,400.0,370.0,517.0,368.0,715.0,1454.0,1744.0,1500.0,558.0,1202.0
0.0,0.0,0.0,0.0,1.0,4.0,53.0,32.0,159.0,324.0,194.0,191.0,290.0,187.0,414.0,1027.0,1667.0,2263.0,1160.0,2034.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,72.0,156.0,97.0,82.0,116.0,92.0,208.0,652.0,1231.0,2156.0,2317.0,2795.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.0,36.0,16.0,20.0,30.0,19.0,49.0,234.0,567.0,1327.0,5392.0,2287.0
