Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
9.0,54.0,113.0,1250.0,48.0,7.0,1228.0,66.0,0.0,6685.0,201.0,51.0,0.0,288.0,0.0,0.0,0.0,0.0
30.0,206.0,437.0,2523.0,243.0,65.0,2397.0,247.0,0.0,1972.0,731.0,251.0,0.0,898.0,0.0,0.0,0.0,0.0
88.0,419.0,752.0,2009.0,463.0,170.0,1926.0,488.0,4.0,745.0,1157.0,550.0,0.0,1229.0,0.0,0.0,0.0,0.0
199.0,552.0,962.0,1377.0,668.0,280.0,1423.0,675.0,13.0,285.0,1358.0,784.0,0.0,1421.0,1.0,0.0,2.0,0.0
294.0,743.0,1101.0,944.0,874.0,418.0,1038.0,875.0,28.0,156.0,1271.0,929.0,2.0,1321.0,4.0,1.0,1.0,0.0
437.0,956.0,1068.0,660.0,967.0,578.0,699.0,1013.0,57.0,89.0,1167.0,1028.0,3.0,1265.0,6.0,2.0,3.0,2.0
608.0,1043.0,1109.0,476.0,1096.0,721.0,497.0,1138.0,93.0,34.0,1082.0,1118.0,13.0,950.0,12.0,3.0,7.0,0.0
798.0,1139.0,1040.0,322.0,1139.0,897.0,306.0,1133.0,184.0,19.0,928.0,1198.0,14.0,836.0,26.0,2.0,13.0,6.0
1011.0,1224.0,1033.0,199.0,1162.0,1045.0,239.0,1135.0,289.0,10.0,751.0,1094.0,41.0,650.0,63.0,13.0,31.0,10.0
1329.0,1175.0,896.0,136.0,1103.0,1279.0,141.0,1111.0,506.0,4.0,570.0,998.0,71.0,447.0,117.0,25.0,70.0,22.0
1516.0,1007.0,691.0,68.0,990.0,1491.0,68.0,988.0,800.0,1.0,424.0,904.0,153.0,354.0,253.0,72.0,158.0,62.0
1667.0,824.0,472.0,26.0,740.0,1489.0,28.0,647.0,1401.0,0.0,224.0,646.0,402.0,217.0,520.0,205.0,350.0,142.0
1041.0,406.0,220.0,10.0,309.0,862.0,9.0,340.0,2275.0,0.0,95.0,293.0,929.0,97.0,1228.0,569.0,899.0,418.0
531.0,170.0,76.0,0.0,131.0,392.0,1.0,91.0,1757.0,0.0,33.0,98.0,1625.0,18.0,1838.0,991.0,1436.0,812.0
248.0,50.0,20.0,0.0,40.0,198.0,0.0,30.0,1140.0,0.0,7.0,37.0,1868.0,5.0,1862.0,1480.0,1756.0,1259.0
129.0,27.0,7.0,0.0,18.0,83.0,0.0,16.0,789.0,0.0,1.0,17.0,1870.0,2.0,1658.0,1771.0,1945.0,1667.0
54.0,5.0,2.0,0.0,6.0,19.0,0.0,6.0,451.0,0.0,0.0,3.0,1669.0,1.0,1406.0,2221.0,1772.0,2385.0
11.0,0.0,1.0,0.0,3.0,6.0,0.0,1.0,213.0,0.0,0.0,1.0,1340.0,1.0,1006.0,2645.0,1557.0,3215.0
