Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
5684.0,4291.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4151.0,5488.0,285.0,49.0,10.0,2.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0,197.0,5490.0,1855.0,738.0,327.0,206.0,79.0,733.0,18.0,156.0,34.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
4.0,22.0,2104.0,2694.0,1396.0,770.0,576.0,353.0,1348.0,79.0,455.0,141.0,2.0,22.0,28.0,2.0,2.0,2.0,0.0,0.0
1.0,2.0,967.0,1919.0,1537.0,1200.0,887.0,561.0,1617.0,164.0,722.0,289.0,7.0,48.0,64.0,5.0,4.0,6.0,0.0,0.0
1.0,0.0,525.0,1235.0,1519.0,1319.0,1160.0,801.0,1471.0,299.0,928.0,414.0,31.0,129.0,132.0,12.0,11.0,11.0,2.0,0.0
0.0,0.0,268.0,859.0,1264.0,1326.0,1308.0,1025.0,1287.0,419.0,1063.0,627.0,53.0,196.0,213.0,39.0,24.0,26.0,3.0,0.0
2.0,0.0,169.0,580.0,1088.0,1182.0,1312.0,1046.0,1068.0,625.0,1222.0,797.0,97.0,307.0,342.0,57.0,41.0,44.0,21.0,0.0
0.0,0.0,80.0,340.0,847.0,1108.0,1170.0,1153.0,842.0,758.0,1279.0,1010.0,123.0,456.0,515.0,123.0,75.0,97.0,24.0,0.0
0.0,0.0,48.0,204.0,599.0,900.0,1028.0,1196.0,619.0,1052.0,1108.0,1210.0,258.0,597.0,666.0,202.0,121.0,140.0,52.0,0.0
0.0,0.0,31.0,123.0,440.0,709.0,848.0,1087.0,389.0,1195.0,993.0,1174.0,374.0,848.0,892.0,338.0,193.0,259.0,107.0,0.0
0.0,0.0,6.0,77.0,251.0,483.0,615.0,917.0,260.0,1310.0,749.0,1229.0,559.0,1020.0,1056.0,542.0,340.0,415.0,171.0,0.0
0.0,0.0,3.0,36.0,157.0,310.0,404.0,703.0,176.0,1239.0,549.0,973.0,818.0,1306.0,1215.0,733.0,492.0,592.0,294.0,0.0
0.0,0.0,1.0,18.0,82.0,199.0,230.0,477.0,88.0,1073.0,322.0,785.0,1044.0,1273.0,1256.0,1093.0,737.0,822.0,500.0,0.0
0.0,0.0,0.0,7.0,49.0,91.0,128.0,271.0,49.0,735.0,233.0,559.0,1269.0,1177.0,1184.0,1293.0,1007.0,1193.0,753.0,2.0
0.0,0.0,0.0,4.0,15.0,47.0,78.0,185.0,26.0,495.0,121.0,398.0,1409.0,995.0,957.0,1460.0,1235.0,1450.0,1123.0,2.0
0.0,0.0,0.0,0.0,7.0,21.0,29.0,84.0,10.0,305.0,62.0,200.0,1475.0,767.0,776.0,1499.0,1595.0,1573.0,1587.0,10.0
0.0,0.0,0.0,0.0,0.0,6.0,13.0,43.0,6.0,159.0,28.0,120.0,1368.0,555.0,446.0,1403.0,1936.0,1678.0,2200.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,2.0,75.0,7.0,40.0,1100.0,300.0,247.0,1169.0,2123.0,1653.0,3071.0,190.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,30.0,64.0,39.0,92.0,9757.0
