PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,FC Twente,Ajax Amsterdam,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7959.0,387.0,975.0,270.0,367.0,3.0,0.0,6.0,8.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374.0,1704.0,3377.0,1365.0,1825.0,58.0,11.0,67.0,58.0,129.0,13.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0
437.0,2121.0,2355.0,1860.0,2205.0,166.0,40.0,211.0,159.0,305.0,46.0,3.0,16.0,76.0,0.0,0.0,0.0,0.0
147.0,2075.0,1499.0,2034.0,2024.0,334.0,101.0,498.0,346.0,608.0,154.0,9.0,29.0,140.0,0.0,2.0,0.0,0.0
63.0,1575.0,925.0,1837.0,1560.0,632.0,204.0,778.0,631.0,1030.0,315.0,24.0,87.0,331.0,0.0,8.0,0.0,0.0
15.0,896.0,430.0,1122.0,887.0,1077.0,441.0,1181.0,1042.0,1532.0,553.0,61.0,174.0,572.0,2.0,14.0,0.0,1.0
3.0,582.0,236.0,651.0,490.0,1290.0,621.0,1369.0,1196.0,1458.0,849.0,100.0,321.0,807.0,2.0,25.0,0.0,0.0
2.0,298.0,112.0,386.0,284.0,1281.0,813.0,1292.0,1371.0,1306.0,1077.0,203.0,497.0,1011.0,5.0,61.0,0.0,1.0
0.0,169.0,56.0,240.0,174.0,1270.0,1023.0,1204.0,1295.0,1133.0,1110.0,310.0,675.0,1214.0,13.0,111.0,2.0,1.0
0.0,105.0,21.0,119.0,105.0,1186.0,1255.0,1039.0,1149.0,899.0,1279.0,534.0,834.0,1272.0,25.0,163.0,6.0,9.0
0.0,44.0,5.0,72.0,40.0,954.0,1443.0,912.0,1002.0,653.0,1322.0,775.0,1147.0,1263.0,45.0,297.0,20.0,6.0
0.0,31.0,8.0,28.0,33.0,758.0,1387.0,660.0,753.0,442.0,1271.0,1227.0,1470.0,1204.0,114.0,543.0,41.0,30.0
0.0,11.0,1.0,14.0,5.0,549.0,1278.0,433.0,543.0,288.0,968.0,1665.0,1759.0,1027.0,311.0,943.0,122.0,83.0
0.0,2.0,0.0,2.0,1.0,303.0,824.0,227.0,288.0,139.0,658.0,2238.0,1560.0,675.0,734.0,1748.0,359.0,242.0
0.0,0.0,0.0,0.0,0.0,107.0,411.0,92.0,124.0,49.0,273.0,1674.0,939.0,298.0,1646.0,2713.0,957.0,717.0
0.0,0.0,0.0,0.0,0.0,26.0,118.0,25.0,32.0,6.0,93.0,766.0,370.0,74.0,2951.0,1859.0,2027.0,1653.0
0.0,0.0,0.0,0.0,0.0,5.0,27.0,5.0,3.0,0.0,11.0,319.0,100.0,21.0,2573.0,1063.0,3173.0,2700.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,92.0,18.0,0.0,1579.0,450.0,3293.0,4557.0
