Lazio,AS Roma,Internazionale,Cagliari,AC Milan,Como,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Parma,Bologna,Monza,Genoa,Venezia
49.0,2310.0,5242.0,7.0,163.0,1673.0,2.0,333.0,10.0,152.0,51.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
197.0,2667.0,2382.0,25.0,512.0,2590.0,12.0,899.0,40.0,465.0,176.0,1.0,28.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0
438.0,1980.0,1233.0,90.0,990.0,2279.0,39.0,1447.0,128.0,862.0,379.0,3.0,86.0,15.0,6.0,1.0,23.0,0.0,1.0,0.0
744.0,1293.0,569.0,240.0,1400.0,1409.0,85.0,1719.0,264.0,1273.0,676.0,7.0,216.0,25.0,19.0,5.0,46.0,0.0,10.0,0.0
1073.0,768.0,296.0,409.0,1437.0,858.0,157.0,1616.0,422.0,1441.0,959.0,33.0,312.0,57.0,45.0,7.0,94.0,0.0,16.0,0.0
1175.0,436.0,153.0,588.0,1347.0,546.0,275.0,1188.0,672.0,1382.0,1214.0,39.0,490.0,128.0,93.0,19.0,201.0,0.0,54.0,0.0
1245.0,237.0,70.0,752.0,1186.0,309.0,468.0,927.0,845.0,1200.0,1250.0,87.0,667.0,179.0,147.0,43.0,312.0,0.0,76.0,0.0
1167.0,135.0,29.0,932.0,911.0,153.0,597.0,677.0,959.0,969.0,1253.0,167.0,857.0,292.0,239.0,91.0,431.0,5.0,135.0,1.0
998.0,93.0,17.0,1079.0,706.0,78.0,756.0,451.0,1078.0,710.0,1036.0,260.0,991.0,417.0,347.0,120.0,622.0,7.0,233.0,1.0
851.0,44.0,3.0,1048.0,483.0,56.0,919.0,291.0,1085.0,537.0,905.0,382.0,1053.0,585.0,493.0,184.0,748.0,15.0,316.0,2.0
661.0,23.0,3.0,1051.0,331.0,26.0,1036.0,201.0,1085.0,379.0,679.0,538.0,1096.0,662.0,588.0,284.0,841.0,33.0,475.0,8.0
495.0,7.0,2.0,1011.0,206.0,15.0,1013.0,102.0,867.0,263.0,481.0,701.0,1022.0,914.0,800.0,428.0,944.0,61.0,653.0,15.0
363.0,5.0,1.0,757.0,146.0,3.0,1050.0,74.0,787.0,171.0,367.0,901.0,839.0,1034.0,925.0,621.0,1062.0,108.0,771.0,15.0
218.0,0.0,0.0,687.0,91.0,4.0,983.0,40.0,623.0,89.0,261.0,1039.0,729.0,1129.0,1078.0,792.0,1115.0,159.0,931.0,32.0
148.0,1.0,0.0,534.0,49.0,0.0,839.0,20.0,464.0,57.0,155.0,1237.0,612.0,1124.0,1166.0,1026.0,1069.0,298.0,1136.0,65.0
94.0,0.0,0.0,383.0,22.0,0.0,725.0,7.0,314.0,31.0,75.0,1352.0,457.0,1149.0,1221.0,1357.0,899.0,487.0,1304.0,123.0
59.0,1.0,0.0,262.0,13.0,1.0,513.0,7.0,202.0,17.0,54.0,1428.0,299.0,1012.0,1184.0,1601.0,736.0,892.0,1420.0,299.0
23.0,0.0,0.0,101.0,6.0,0.0,376.0,1.0,114.0,2.0,23.0,1136.0,185.0,792.0,981.0,1884.0,575.0,1687.0,1396.0,718.0
2.0,0.0,0.0,36.0,1.0,0.0,134.0,0.0,36.0,0.0,5.0,548.0,50.0,381.0,541.0,1153.0,231.0,3745.0,838.0,2299.0
0.0,0.0,0.0,8.0,0.0,0.0,21.0,0.0,5.0,0.0,1.0,141.0,6.0,105.0,125.0,384.0,46.0,2503.0,233.0,6422.0
