West Ham United,Swansea City,West Bromwich Albion,Middlesbrough,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Southampton,Birmingham City,Stoke City,Bristol City,Norwich City,Millwall,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6951.0,94.0,31.0,515.0,3.0,2.0,1636.0,625.0,20.0,4.0,13.0,37.0,55.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0
1895.0,385.0,133.0,1584.0,53.0,15.0,3365.0,1793.0,120.0,15.0,79.0,153.0,288.0,63.0,6.0,0.0,8.0,2.0,32.0,0.0,0.0,7.0,0.0,4.0
698.0,745.0,316.0,1980.0,137.0,56.0,2031.0,2067.0,300.0,85.0,252.0,405.0,583.0,155.0,27.0,1.0,11.0,20.0,77.0,0.0,0.0,36.0,1.0,17.0
261.0,1013.0,515.0,1708.0,248.0,101.0,1231.0,1688.0,482.0,168.0,351.0,635.0,849.0,302.0,59.0,2.0,49.0,54.0,165.0,0.0,0.0,67.0,6.0,46.0
110.0,1135.0,703.0,1248.0,408.0,170.0,679.0,1155.0,661.0,276.0,499.0,820.0,1046.0,393.0,98.0,13.0,60.0,69.0,240.0,1.0,0.0,106.0,9.0,101.0
44.0,1097.0,784.0,865.0,529.0,236.0,390.0,732.0,737.0,352.0,653.0,892.0,1031.0,512.0,163.0,17.0,119.0,123.0,362.0,0.0,0.0,193.0,21.0,148.0
20.0,1015.0,806.0,560.0,598.0,317.0,224.0,544.0,818.0,450.0,744.0,854.0,978.0,590.0,216.0,26.0,159.0,199.0,450.0,2.0,5.0,218.0,20.0,187.0
8.0,801.0,813.0,461.0,633.0,373.0,165.0,394.0,798.0,537.0,761.0,905.0,843.0,641.0,285.0,50.0,237.0,218.0,510.0,6.0,2.0,287.0,38.0,234.0
6.0,704.0,813.0,303.0,670.0,447.0,101.0,278.0,818.0,607.0,772.0,818.0,746.0,657.0,320.0,66.0,273.0,283.0,551.0,12.0,8.0,379.0,55.0,313.0
3.0,630.0,724.0,230.0,724.0,571.0,64.0,207.0,736.0,617.0,747.0,700.0,646.0,753.0,396.0,91.0,324.0,322.0,569.0,15.0,5.0,430.0,105.0,391.0
1.0,529.0,700.0,171.0,712.0,575.0,41.0,171.0,721.0,713.0,685.0,637.0,576.0,727.0,450.0,112.0,369.0,383.0,672.0,14.0,9.0,489.0,110.0,433.0
1.0,442.0,679.0,117.0,715.0,645.0,24.0,116.0,629.0,702.0,625.0,599.0,507.0,701.0,585.0,166.0,466.0,456.0,631.0,23.0,16.0,548.0,134.0,473.0
1.0,366.0,585.0,67.0,704.0,639.0,22.0,54.0,619.0,730.0,616.0,515.0,432.0,659.0,635.0,193.0,532.0,508.0,692.0,42.0,27.0,630.0,221.0,511.0
0.0,268.0,516.0,54.0,648.0,742.0,10.0,62.0,539.0,683.0,592.0,441.0,341.0,678.0,665.0,260.0,601.0,611.0,647.0,67.0,45.0,652.0,235.0,643.0
0.0,197.0,473.0,55.0,586.0,742.0,7.0,37.0,456.0,721.0,503.0,399.0,319.0,613.0,732.0,316.0,665.0,706.0,701.0,78.0,51.0,688.0,325.0,630.0
1.0,160.0,371.0,36.0,592.0,709.0,4.0,30.0,393.0,628.0,515.0,356.0,201.0,562.0,742.0,432.0,783.0,735.0,681.0,132.0,97.0,679.0,446.0,715.0
0.0,147.0,303.0,22.0,507.0,757.0,5.0,29.0,298.0,670.0,424.0,255.0,184.0,488.0,731.0,584.0,809.0,790.0,610.0,189.0,121.0,809.0,498.0,770.0
0.0,111.0,260.0,13.0,420.0,723.0,1.0,10.0,279.0,562.0,387.0,194.0,125.0,423.0,831.0,710.0,798.0,837.0,618.0,263.0,189.0,768.0,666.0,812.0
0.0,69.0,167.0,3.0,383.0,704.0,0.0,4.0,235.0,435.0,284.0,158.0,112.0,383.0,810.0,893.0,905.0,819.0,583.0,386.0,299.0,761.0,816.0,791.0
0.0,40.0,146.0,4.0,306.0,564.0,0.0,2.0,152.0,393.0,217.0,106.0,72.0,274.0,765.0,1128.0,863.0,849.0,455.0,575.0,503.0,754.0,1055.0,777.0
0.0,36.0,79.0,2.0,214.0,409.0,0.0,0.0,111.0,301.0,148.0,63.0,40.0,226.0,633.0,1336.0,752.0,806.0,322.0,944.0,848.0,651.0,1295.0,784.0
0.0,13.0,48.0,1.0,129.0,288.0,0.0,0.0,48.0,213.0,84.0,40.0,18.0,123.0,450.0,1494.0,667.0,640.0,248.0,1497.0,1399.0,436.0,1550.0,614.0
0.0,2.0,27.0,1.0,66.0,153.0,0.0,1.0,22.0,104.0,39.0,12.0,5.0,52.0,293.0,1312.0,385.0,395.0,135.0,2480.0,2472.0,298.0,1358.0,388.0
0.0,1.0,8.0,0.0,15.0,62.0,0.0,1.0,8.0,34.0,10.0,6.0,3.0,20.0,108.0,798.0,164.0,173.0,44.0,3274.0,3904.0,114.0,1036.0,217.0
