FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Académico de Viseu,Braga,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Moreirense,Rio Ave,Estoril,Casa Pia
3612.0,3736.0,2629.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3303.0,3232.0,3323.0,16.0,1.0,0.0,0.0,116.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2774.0,2726.0,3645.0,122.0,21.0,14.0,0.0,645.0,32.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
274.0,271.0,340.0,1904.0,494.0,345.0,24.0,5025.0,767.0,15.0,21.0,19.0,412.0,29.0,12.0,9.0,39.0,0.0
30.0,27.0,54.0,2730.0,1103.0,812.0,90.0,2028.0,1420.0,77.0,131.0,101.0,1051.0,120.0,72.0,23.0,131.0,0.0
4.0,6.0,7.0,1787.0,1412.0,1168.0,223.0,1016.0,1664.0,165.0,264.0,202.0,1376.0,256.0,141.0,43.0,264.0,2.0
2.0,2.0,2.0,1219.0,1432.0,1325.0,359.0,517.0,1417.0,305.0,417.0,333.0,1482.0,389.0,244.0,121.0,425.0,9.0
1.0,0.0,0.0,803.0,1309.0,1281.0,551.0,308.0,1248.0,379.0,558.0,503.0,1357.0,547.0,364.0,197.0,580.0,14.0
0.0,0.0,0.0,520.0,1051.0,1166.0,702.0,149.0,1037.0,540.0,778.0,635.0,1160.0,708.0,508.0,297.0,717.0,32.0
0.0,0.0,0.0,379.0,887.0,977.0,893.0,86.0,755.0,744.0,927.0,792.0,907.0,824.0,624.0,386.0,779.0,40.0
0.0,0.0,0.0,217.0,677.0,807.0,930.0,51.0,545.0,892.0,978.0,909.0,670.0,961.0,805.0,537.0,958.0,63.0
0.0,0.0,0.0,127.0,552.0,670.0,1029.0,22.0,399.0,950.0,1068.0,964.0,487.0,1027.0,931.0,646.0,995.0,133.0
0.0,0.0,0.0,91.0,429.0,464.0,1078.0,11.0,296.0,1030.0,1023.0,1060.0,404.0,1023.0,1052.0,822.0,1016.0,201.0
0.0,0.0,0.0,46.0,270.0,383.0,1120.0,2.0,187.0,1121.0,1007.0,1118.0,288.0,1062.0,1060.0,970.0,1050.0,316.0
0.0,0.0,0.0,19.0,174.0,269.0,1044.0,1.0,119.0,1165.0,971.0,1068.0,201.0,1018.0,1193.0,1211.0,1032.0,515.0
0.0,0.0,0.0,17.0,102.0,180.0,942.0,0.0,66.0,1142.0,847.0,1038.0,107.0,906.0,1255.0,1541.0,899.0,958.0
0.0,0.0,0.0,2.0,66.0,103.0,694.0,0.0,35.0,1000.0,700.0,862.0,60.0,786.0,1148.0,1923.0,758.0,1863.0
0.0,0.0,0.0,1.0,20.0,36.0,321.0,0.0,6.0,474.0,310.0,396.0,17.0,344.0,591.0,1274.0,356.0,5854.0
