Barcelona,Real Madrid,Alavés,Atlético Madrid,Sevilla,Deportivo La Coruña,Real Betis,Espanyol,Athletic Club,Racing Santander,Osasuna,Real Sociedad,Levante,Getafe,Celta Vigo,Rayo Vallecano,Málaga,Villarreal,Elche,Valencia
8296.0,1610.0,3.0,42.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0
1571.0,6966.0,66.0,704.0,26.0,14.0,421.0,11.0,12.0,2.0,6.0,19.0,1.0,3.0,7.0,10.0,0.0,159.0,2.0,0.0
110.0,1030.0,645.0,3217.0,319.0,174.0,2353.0,180.0,163.0,22.0,111.0,188.0,77.0,37.0,99.0,127.0,0.0,1129.0,15.0,4.0
19.0,256.0,1009.0,2143.0,496.0,361.0,2032.0,385.0,351.0,63.0,247.0,406.0,156.0,121.0,230.0,202.0,0.0,1470.0,32.0,21.0
4.0,84.0,1067.0,1299.0,731.0,549.0,1430.0,547.0,513.0,161.0,374.0,584.0,242.0,209.0,284.0,368.0,1.0,1430.0,72.0,51.0
0.0,34.0,1035.0,819.0,866.0,626.0,1040.0,668.0,591.0,209.0,534.0,669.0,343.0,293.0,432.0,427.0,2.0,1213.0,120.0,79.0
0.0,7.0,968.0,591.0,825.0,737.0,747.0,701.0,663.0,264.0,612.0,753.0,409.0,388.0,537.0,576.0,0.0,982.0,159.0,81.0
0.0,6.0,893.0,388.0,881.0,737.0,525.0,765.0,735.0,321.0,647.0,787.0,529.0,449.0,610.0,615.0,2.0,758.0,208.0,144.0
0.0,2.0,806.0,248.0,860.0,768.0,378.0,776.0,721.0,424.0,699.0,753.0,575.0,511.0,700.0,661.0,4.0,650.0,261.0,203.0
0.0,1.0,685.0,181.0,818.0,786.0,294.0,768.0,749.0,469.0,738.0,807.0,649.0,591.0,688.0,671.0,8.0,517.0,329.0,251.0
0.0,1.0,596.0,132.0,764.0,740.0,215.0,749.0,732.0,548.0,735.0,750.0,683.0,663.0,734.0,750.0,13.0,424.0,444.0,327.0
0.0,1.0,512.0,79.0,678.0,745.0,184.0,701.0,781.0,639.0,793.0,701.0,731.0,719.0,729.0,729.0,14.0,323.0,533.0,408.0
0.0,1.0,450.0,64.0,622.0,644.0,116.0,706.0,791.0,750.0,716.0,739.0,715.0,766.0,765.0,726.0,45.0,257.0,610.0,517.0
0.0,1.0,348.0,38.0,535.0,703.0,98.0,679.0,663.0,777.0,717.0,691.0,867.0,793.0,779.0,758.0,60.0,187.0,686.0,620.0
0.0,0.0,313.0,25.0,481.0,625.0,46.0,619.0,600.0,886.0,760.0,596.0,851.0,852.0,786.0,734.0,93.0,187.0,844.0,702.0
0.0,0.0,226.0,15.0,368.0,600.0,38.0,552.0,572.0,984.0,650.0,514.0,854.0,867.0,708.0,767.0,175.0,123.0,1084.0,903.0
0.0,0.0,196.0,7.0,361.0,475.0,29.0,468.0,542.0,1019.0,638.0,427.0,837.0,906.0,723.0,667.0,315.0,91.0,1127.0,1172.0
0.0,0.0,114.0,6.0,208.0,414.0,13.0,361.0,455.0,1061.0,536.0,343.0,739.0,873.0,661.0,647.0,608.0,57.0,1385.0,1519.0
0.0,0.0,60.0,2.0,132.0,250.0,3.0,287.0,290.0,1037.0,400.0,234.0,580.0,748.0,421.0,435.0,1577.0,26.0,1483.0,2035.0
0.0,0.0,8.0,0.0,29.0,52.0,0.0,77.0,76.0,364.0,87.0,39.0,162.0,211.0,107.0,129.0,7083.0,7.0,606.0,963.0
