Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1753.0,1124.0,920.0,777.0,266.0,421.0,11.0,3714.0,36.0,839.0,1.0,0.0,126.0,0.0,2.0,1.0,9.0,0.0
1824.0,1292.0,1112.0,1042.0,446.0,639.0,30.0,2106.0,93.0,1144.0,6.0,0.0,227.0,1.0,8.0,4.0,26.0,0.0
1537.0,1422.0,1264.0,1134.0,596.0,722.0,59.0,1442.0,187.0,1157.0,5.0,0.0,379.0,3.0,16.0,13.0,63.0,1.0
1225.0,1332.0,1205.0,1240.0,767.0,920.0,119.0,924.0,281.0,1244.0,18.0,0.0,561.0,5.0,26.0,24.0,107.0,2.0
1006.0,1150.0,1193.0,1177.0,877.0,1094.0,200.0,640.0,398.0,1174.0,38.0,4.0,722.0,18.0,71.0,39.0,193.0,6.0
805.0,952.0,1108.0,1145.0,1006.0,1065.0,310.0,446.0,600.0,1101.0,77.0,1.0,875.0,20.0,116.0,76.0,272.0,25.0
682.0,808.0,916.0,1005.0,1160.0,1111.0,433.0,301.0,721.0,929.0,100.0,7.0,1018.0,54.0,186.0,119.0,425.0,25.0
457.0,658.0,717.0,838.0,1101.0,1115.0,598.0,184.0,872.0,806.0,207.0,8.0,1162.0,90.0,325.0,220.0,581.0,61.0
292.0,502.0,577.0,602.0,1044.0,903.0,887.0,115.0,1123.0,626.0,329.0,32.0,1121.0,146.0,456.0,333.0,819.0,93.0
205.0,333.0,384.0,396.0,896.0,696.0,1067.0,75.0,1250.0,414.0,482.0,52.0,1090.0,258.0,670.0,529.0,1013.0,190.0
101.0,212.0,268.0,273.0,688.0,524.0,1163.0,29.0,1234.0,262.0,739.0,114.0,897.0,416.0,847.0,749.0,1181.0,303.0
59.0,113.0,159.0,161.0,485.0,316.0,1278.0,9.0,1010.0,146.0,995.0,210.0,698.0,619.0,1093.0,992.0,1195.0,462.0
33.0,58.0,96.0,113.0,310.0,215.0,1171.0,5.0,794.0,73.0,1206.0,327.0,503.0,873.0,1195.0,1189.0,1139.0,700.0
10.0,20.0,44.0,51.0,163.0,143.0,982.0,6.0,582.0,44.0,1395.0,520.0,303.0,1137.0,1309.0,1309.0,977.0,1005.0
5.0,12.0,17.0,33.0,107.0,73.0,741.0,4.0,403.0,28.0,1323.0,850.0,173.0,1436.0,1237.0,1400.0,867.0,1291.0
3.0,8.0,11.0,8.0,55.0,29.0,479.0,0.0,255.0,10.0,1304.0,1335.0,83.0,1695.0,1137.0,1321.0,551.0,1716.0
2.0,4.0,7.0,3.0,25.0,13.0,327.0,0.0,113.0,3.0,1117.0,2177.0,40.0,1791.0,799.0,1011.0,403.0,2165.0
1.0,0.0,2.0,2.0,8.0,1.0,145.0,0.0,48.0,0.0,658.0,4363.0,22.0,1438.0,507.0,671.0,179.0,1955.0
