SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
80.0,1759.0,9.0,7737.0,231.0,0.0,111.0,5.0,2.0,0.0,1.0,0.0,14.0,51.0,0.0,0.0,0.0,0.0
600.0,4793.0,128.0,1734.0,1124.0,11.0,745.0,61.0,43.0,6.0,2.0,13.0,174.0,564.0,0.0,1.0,1.0,0.0
1317.0,1749.0,446.0,379.0,2183.0,58.0,1532.0,218.0,186.0,38.0,3.0,69.0,519.0,1284.0,0.0,6.0,6.0,7.0
1485.0,851.0,664.0,97.0,1774.0,138.0,1706.0,422.0,343.0,67.0,7.0,118.0,789.0,1485.0,0.0,27.0,23.0,4.0
1459.0,412.0,866.0,33.0,1447.0,220.0,1488.0,561.0,524.0,132.0,25.0,222.0,1044.0,1458.0,0.0,50.0,41.0,18.0
1266.0,206.0,1074.0,12.0,1044.0,395.0,1284.0,751.0,715.0,230.0,41.0,315.0,1187.0,1254.0,0.0,100.0,88.0,38.0
982.0,119.0,1144.0,6.0,778.0,526.0,1003.0,898.0,906.0,378.0,97.0,488.0,1188.0,1103.0,1.0,145.0,154.0,84.0
844.0,54.0,1188.0,1.0,484.0,669.0,744.0,1010.0,1069.0,528.0,161.0,609.0,1156.0,833.0,4.0,262.0,256.0,128.0
635.0,29.0,1014.0,0.0,384.0,837.0,521.0,1144.0,1092.0,648.0,261.0,828.0,1045.0,641.0,10.0,367.0,345.0,199.0
475.0,13.0,927.0,1.0,255.0,919.0,349.0,1065.0,1107.0,838.0,382.0,960.0,852.0,483.0,21.0,545.0,506.0,302.0
332.0,9.0,795.0,0.0,135.0,1048.0,222.0,1070.0,1015.0,948.0,502.0,1126.0,657.0,333.0,37.0,660.0,639.0,472.0
227.0,3.0,602.0,0.0,70.0,1114.0,139.0,844.0,936.0,1118.0,695.0,1146.0,466.0,224.0,64.0,869.0,851.0,632.0
136.0,3.0,434.0,0.0,50.0,1088.0,74.0,682.0,708.0,1189.0,915.0,1058.0,378.0,149.0,131.0,1071.0,1083.0,851.0
78.0,0.0,315.0,0.0,24.0,998.0,52.0,510.0,554.0,1187.0,1222.0,1024.0,240.0,76.0,250.0,1237.0,1154.0,1079.0
46.0,0.0,200.0,0.0,8.0,827.0,21.0,362.0,422.0,1020.0,1442.0,851.0,160.0,39.0,440.0,1412.0,1367.0,1383.0
27.0,0.0,121.0,0.0,7.0,651.0,6.0,238.0,224.0,876.0,1714.0,644.0,86.0,16.0,866.0,1468.0,1446.0,1610.0
10.0,0.0,65.0,0.0,2.0,384.0,3.0,131.0,121.0,591.0,1748.0,412.0,35.0,5.0,1892.0,1192.0,1381.0,2028.0
1.0,0.0,8.0,0.0,0.0,117.0,0.0,28.0,33.0,206.0,782.0,117.0,10.0,2.0,6284.0,588.0,659.0,1165.0
