Arsenal,Manchester City,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Newcastle United,Leeds United,Nottingham Forest,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5658.0,3935.0,2.0,154.0,28.0,39.0,49.0,12.0,0.0,21.0,10.0,3.0,77.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
3341.0,4515.0,16.0,526.0,252.0,191.0,335.0,76.0,0.0,96.0,75.0,75.0,387.0,15.0,64.0,8.0,1.0,8.0,19.0,0.0
654.0,920.0,115.0,1639.0,979.0,775.0,1242.0,435.0,2.0,517.0,408.0,360.0,1374.0,85.0,315.0,20.0,19.0,40.0,101.0,0.0
189.0,315.0,198.0,1462.0,1039.0,943.0,1203.0,616.0,13.0,706.0,559.0,519.0,1256.0,149.0,479.0,55.0,37.0,58.0,204.0,0.0
84.0,153.0,260.0,1185.0,1070.0,956.0,1117.0,749.0,24.0,696.0,635.0,621.0,1168.0,204.0,549.0,68.0,61.0,121.0,279.0,0.0
24.0,92.0,356.0,1033.0,939.0,929.0,1022.0,767.0,25.0,835.0,736.0,662.0,975.0,269.0,643.0,111.0,90.0,175.0,317.0,0.0
17.0,36.0,412.0,803.0,900.0,882.0,960.0,812.0,38.0,772.0,761.0,715.0,917.0,392.0,708.0,150.0,139.0,216.0,370.0,0.0
13.0,15.0,496.0,678.0,797.0,860.0,804.0,809.0,80.0,832.0,771.0,745.0,765.0,410.0,764.0,207.0,195.0,293.0,466.0,0.0
12.0,7.0,588.0,573.0,730.0,790.0,676.0,786.0,103.0,771.0,836.0,799.0,681.0,493.0,786.0,267.0,219.0,373.0,510.0,0.0
5.0,5.0,654.0,484.0,663.0,652.0,608.0,741.0,136.0,783.0,746.0,783.0,551.0,629.0,775.0,346.0,326.0,453.0,659.0,1.0
1.0,2.0,765.0,421.0,558.0,631.0,499.0,715.0,176.0,721.0,742.0,798.0,482.0,703.0,771.0,412.0,390.0,518.0,695.0,0.0
1.0,4.0,824.0,323.0,506.0,522.0,409.0,707.0,248.0,709.0,746.0,714.0,378.0,754.0,777.0,539.0,452.0,622.0,763.0,2.0
1.0,1.0,831.0,240.0,420.0,492.0,324.0,669.0,372.0,596.0,657.0,751.0,332.0,843.0,685.0,638.0,666.0,709.0,773.0,0.0
0.0,0.0,898.0,170.0,333.0,431.0,261.0,581.0,460.0,513.0,630.0,659.0,232.0,932.0,663.0,749.0,747.0,906.0,835.0,0.0
0.0,0.0,857.0,131.0,295.0,312.0,177.0,472.0,737.0,457.0,506.0,564.0,186.0,979.0,628.0,961.0,911.0,955.0,866.0,6.0
0.0,0.0,833.0,86.0,196.0,264.0,142.0,381.0,942.0,390.0,454.0,477.0,121.0,938.0,518.0,1153.0,1110.0,1071.0,918.0,6.0
0.0,0.0,812.0,59.0,161.0,162.0,88.0,345.0,1359.0,277.0,362.0,349.0,66.0,912.0,423.0,1323.0,1290.0,1162.0,831.0,19.0
0.0,0.0,608.0,21.0,88.0,117.0,61.0,218.0,1927.0,214.0,233.0,258.0,43.0,773.0,279.0,1499.0,1581.0,1204.0,794.0,82.0
0.0,0.0,461.0,12.0,45.0,52.0,23.0,107.0,3109.0,92.0,129.0,147.0,9.0,505.0,158.0,1411.0,1679.0,1056.0,574.0,431.0
0.0,0.0,14.0,0.0,1.0,0.0,0.0,2.0,249.0,2.0,4.0,1.0,0.0,14.0,4.0,83.0,87.0,60.0,26.0,9453.0
