Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
2691.0,7263.0,30.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6711.0,2602.0,344.0,108.0,60.0,129.0,3.0,8.0,3.0,8.0,0.0,19.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
492.0,114.0,3448.0,1892.0,1087.0,1670.0,142.0,195.0,47.0,191.0,30.0,398.0,30.0,134.0,74.0,36.0,17.0,2.0,1.0,0.0
84.0,10.0,2055.0,1971.0,1397.0,1903.0,303.0,360.0,130.0,357.0,107.0,656.0,70.0,282.0,153.0,98.0,56.0,8.0,0.0,0.0
15.0,8.0,1430.0,1535.0,1485.0,1579.0,450.0,587.0,226.0,505.0,181.0,868.0,123.0,433.0,304.0,162.0,94.0,10.0,5.0,0.0
4.0,3.0,857.0,1262.0,1321.0,1227.0,620.0,805.0,337.0,622.0,271.0,923.0,242.0,632.0,423.0,289.0,137.0,25.0,0.0,0.0
2.0,0.0,618.0,895.0,1073.0,959.0,784.0,861.0,492.0,735.0,340.0,975.0,294.0,772.0,551.0,363.0,239.0,41.0,6.0,0.0
1.0,0.0,419.0,680.0,874.0,689.0,900.0,905.0,610.0,769.0,497.0,937.0,396.0,859.0,678.0,440.0,291.0,47.0,8.0,0.0
0.0,0.0,267.0,478.0,713.0,536.0,874.0,933.0,747.0,819.0,578.0,902.0,528.0,860.0,743.0,538.0,389.0,79.0,16.0,0.0
0.0,0.0,185.0,390.0,543.0,366.0,826.0,883.0,778.0,843.0,663.0,807.0,653.0,953.0,789.0,661.0,494.0,134.0,32.0,0.0
0.0,0.0,126.0,309.0,408.0,281.0,915.0,803.0,875.0,830.0,714.0,769.0,670.0,879.0,831.0,757.0,598.0,188.0,46.0,1.0
0.0,0.0,94.0,178.0,324.0,227.0,829.0,794.0,929.0,819.0,807.0,599.0,763.0,797.0,865.0,878.0,740.0,277.0,79.0,1.0
0.0,0.0,56.0,103.0,238.0,149.0,792.0,714.0,863.0,792.0,898.0,563.0,950.0,760.0,888.0,930.0,839.0,325.0,138.0,2.0
0.0,0.0,29.0,82.0,188.0,111.0,730.0,640.0,977.0,742.0,957.0,487.0,954.0,699.0,856.0,949.0,942.0,448.0,202.0,7.0
0.0,0.0,19.0,55.0,125.0,81.0,605.0,525.0,889.0,655.0,961.0,418.0,1079.0,645.0,847.0,983.0,1128.0,673.0,304.0,8.0
0.0,0.0,14.0,39.0,77.0,45.0,548.0,421.0,786.0,543.0,980.0,316.0,1093.0,518.0,781.0,1073.0,1192.0,1010.0,549.0,15.0
0.0,0.0,5.0,8.0,62.0,26.0,368.0,316.0,665.0,447.0,1019.0,215.0,1057.0,425.0,635.0,919.0,1291.0,1509.0,985.0,48.0
0.0,0.0,4.0,9.0,19.0,10.0,224.0,186.0,457.0,239.0,691.0,117.0,760.0,261.0,425.0,638.0,1040.0,2637.0,2040.0,243.0
0.0,0.0,0.0,1.0,4.0,3.0,85.0,61.0,177.0,77.0,288.0,29.0,326.0,88.0,144.0,270.0,473.0,2238.0,4646.0,1090.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,7.0,18.0,2.0,12.0,2.0,10.0,15.0,40.0,349.0,943.0,8585.0
