Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Osasuna,Valencia,Sevilla,Elche,Mallorca,Espanyol,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9995.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,9789.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,206.0,9794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9908.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,92.0,8961.0,614.0,202.0,50.0,59.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,848.0,3654.0,2617.0,821.0,897.0,921.0,188.0,9.0,4.0,18.0,15.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,94.0,2382.0,2530.0,1531.0,1375.0,1144.0,567.0,49.0,20.0,146.0,92.0,70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,1453.0,1762.0,2070.0,1641.0,1465.0,805.0,115.0,67.0,239.0,177.0,194.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,954.0,1167.0,2027.0,1887.0,1670.0,900.0,205.0,137.0,405.0,241.0,320.0,87.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,609.0,664.0,1468.0,1458.0,1665.0,1339.0,445.0,383.0,827.0,459.0,468.0,215.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,222.0,435.0,996.0,997.0,1044.0,1640.0,623.0,760.0,1220.0,725.0,994.0,344.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,80.0,320.0,629.0,774.0,822.0,1545.0,1025.0,917.0,1345.0,856.0,1192.0,495.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,215.0,291.0,593.0,576.0,1292.0,1403.0,1213.0,1433.0,981.0,1132.0,838.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,71.0,102.0,237.0,399.0,934.0,1613.0,1398.0,1525.0,1360.0,1210.0,1113.0,34.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,75.0,184.0,559.0,1654.0,1578.0,1248.0,1680.0,1417.0,1450.0,128.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,77.0,201.0,1732.0,1784.0,915.0,1653.0,1441.0,1949.0,236.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,1079.0,1598.0,588.0,1613.0,1444.0,2777.0,858.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,141.0,91.0,148.0,110.0,723.0,8730.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,9989.0
