Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1906.0,1134.0,902.0,833.0,258.0,426.0,13.0,3375.0,34.0,936.0,1.0,0.0,167.0,1.0,3.0,2.0,9.0,0.0
1800.0,1302.0,1103.0,1090.0,427.0,554.0,32.0,2116.0,97.0,1116.0,4.0,0.0,313.0,0.0,10.0,2.0,33.0,1.0
1429.0,1352.0,1250.0,1181.0,584.0,782.0,65.0,1428.0,188.0,1204.0,11.0,0.0,435.0,3.0,21.0,9.0,57.0,1.0
1231.0,1266.0,1230.0,1108.0,762.0,902.0,99.0,1038.0,288.0,1291.0,30.0,0.0,567.0,7.0,41.0,23.0,116.0,1.0
1003.0,1121.0,1142.0,1200.0,873.0,1114.0,172.0,699.0,411.0,1179.0,33.0,2.0,732.0,17.0,63.0,37.0,193.0,9.0
830.0,1028.0,1057.0,1134.0,1018.0,1097.0,256.0,484.0,521.0,1061.0,62.0,2.0,919.0,25.0,142.0,80.0,272.0,12.0
591.0,841.0,954.0,971.0,1128.0,1146.0,421.0,326.0,720.0,977.0,112.0,5.0,1049.0,47.0,198.0,110.0,380.0,24.0
447.0,681.0,786.0,799.0,1141.0,1049.0,567.0,239.0,892.0,779.0,199.0,13.0,1167.0,74.0,363.0,199.0,557.0,48.0
312.0,467.0,574.0,654.0,1059.0,924.0,837.0,142.0,1120.0,556.0,326.0,16.0,1156.0,145.0,448.0,346.0,802.0,116.0
202.0,329.0,406.0,404.0,913.0,732.0,1036.0,82.0,1232.0,382.0,529.0,42.0,1023.0,285.0,645.0,563.0,1036.0,159.0
112.0,208.0,263.0,280.0,677.0,507.0,1206.0,40.0,1221.0,233.0,760.0,111.0,878.0,446.0,854.0,754.0,1144.0,306.0
68.0,140.0,157.0,171.0,449.0,316.0,1259.0,17.0,1023.0,131.0,998.0,169.0,620.0,643.0,1081.0,1014.0,1280.0,464.0
45.0,72.0,83.0,96.0,294.0,202.0,1192.0,8.0,835.0,73.0,1253.0,303.0,420.0,883.0,1235.0,1147.0,1173.0,686.0
13.0,27.0,49.0,44.0,205.0,141.0,972.0,3.0,575.0,47.0,1399.0,508.0,257.0,1189.0,1298.0,1317.0,990.0,966.0
8.0,20.0,24.0,21.0,110.0,66.0,792.0,2.0,410.0,17.0,1363.0,812.0,171.0,1389.0,1230.0,1423.0,797.0,1345.0
3.0,8.0,15.0,8.0,60.0,26.0,556.0,1.0,244.0,14.0,1317.0,1280.0,87.0,1687.0,1056.0,1286.0,616.0,1736.0
0.0,4.0,3.0,5.0,34.0,12.0,384.0,0.0,153.0,3.0,970.0,2212.0,28.0,1770.0,844.0,1067.0,379.0,2132.0
0.0,0.0,2.0,1.0,8.0,4.0,141.0,0.0,36.0,1.0,633.0,4525.0,11.0,1389.0,468.0,621.0,166.0,1994.0
