SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
70.0,1863.0,7.0,7653.0,221.0,0.0,104.0,1.0,7.0,0.0,0.0,0.0,9.0,65.0,0.0,0.0,0.0,0.0
581.0,4735.0,123.0,1888.0,1075.0,8.0,723.0,54.0,60.0,6.0,0.0,5.0,170.0,571.0,0.0,1.0,0.0,0.0
1238.0,1721.0,421.0,329.0,2194.0,53.0,1703.0,192.0,211.0,30.0,2.0,46.0,549.0,1286.0,0.0,13.0,9.0,3.0
1439.0,834.0,671.0,86.0,1812.0,133.0,1698.0,370.0,404.0,68.0,10.0,97.0,823.0,1491.0,0.0,25.0,24.0,15.0
1411.0,415.0,865.0,33.0,1387.0,193.0,1553.0,547.0,582.0,169.0,22.0,213.0,1020.0,1442.0,0.0,59.0,57.0,32.0
1375.0,210.0,1009.0,6.0,1087.0,379.0,1188.0,703.0,751.0,247.0,54.0,308.0,1180.0,1256.0,0.0,100.0,98.0,49.0
1053.0,108.0,1137.0,4.0,750.0,517.0,915.0,953.0,978.0,368.0,97.0,469.0,1168.0,1059.0,1.0,167.0,174.0,82.0
826.0,57.0,1158.0,0.0,518.0,715.0,721.0,1011.0,1033.0,512.0,143.0,649.0,1156.0,839.0,5.0,239.0,259.0,159.0
664.0,34.0,1041.0,0.0,365.0,855.0,522.0,1088.0,1030.0,641.0,261.0,788.0,988.0,665.0,9.0,414.0,406.0,229.0
462.0,13.0,944.0,0.0,234.0,1017.0,354.0,1080.0,1143.0,847.0,346.0,878.0,867.0,477.0,20.0,461.0,508.0,349.0
318.0,6.0,798.0,1.0,157.0,1002.0,209.0,989.0,1034.0,994.0,538.0,1037.0,650.0,308.0,35.0,717.0,732.0,475.0
244.0,2.0,602.0,0.0,110.0,1141.0,146.0,879.0,801.0,1061.0,735.0,1142.0,482.0,207.0,67.0,866.0,840.0,675.0
141.0,1.0,463.0,0.0,47.0,1052.0,71.0,704.0,657.0,1193.0,928.0,1123.0,409.0,156.0,135.0,1044.0,1018.0,858.0
97.0,1.0,324.0,0.0,20.0,1034.0,63.0,552.0,516.0,1149.0,1145.0,1011.0,241.0,89.0,250.0,1259.0,1214.0,1035.0
50.0,0.0,225.0,0.0,11.0,801.0,14.0,388.0,368.0,1044.0,1478.0,927.0,155.0,56.0,446.0,1362.0,1308.0,1367.0
19.0,0.0,141.0,0.0,10.0,592.0,13.0,311.0,260.0,836.0,1633.0,707.0,88.0,23.0,851.0,1375.0,1408.0,1733.0
11.0,0.0,61.0,0.0,2.0,389.0,3.0,142.0,144.0,634.0,1782.0,461.0,41.0,9.0,1847.0,1297.0,1287.0,1890.0
1.0,0.0,10.0,0.0,0.0,119.0,0.0,36.0,21.0,201.0,826.0,139.0,4.0,1.0,6334.0,601.0,658.0,1049.0
