PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,Ajax Amsterdam,FC Twente,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7765.0,377.0,922.0,609.0,299.0,5.0,3.0,4.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1496.0,1503.0,3005.0,2370.0,1300.0,58.0,12.0,71.0,39.0,118.0,8.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0
474.0,1958.0,2390.0,2437.0,1811.0,144.0,46.0,209.0,134.0,279.0,53.0,2.0,7.0,56.0,0.0,0.0,0.0,0.0
164.0,2053.0,1617.0,1927.0,2122.0,321.0,101.0,432.0,337.0,607.0,139.0,3.0,24.0,153.0,0.0,0.0,0.0,0.0
75.0,1717.0,1079.0,1218.0,1857.0,691.0,232.0,767.0,664.0,960.0,301.0,19.0,74.0,345.0,0.0,1.0,0.0,0.0
20.0,1054.0,499.0,670.0,1148.0,1043.0,465.0,1195.0,1067.0,1404.0,566.0,49.0,187.0,623.0,0.0,10.0,0.0,0.0
5.0,585.0,272.0,375.0,631.0,1294.0,715.0,1311.0,1224.0,1466.0,796.0,124.0,345.0,829.0,3.0,25.0,0.0,0.0
1.0,348.0,107.0,197.0,351.0,1317.0,906.0,1254.0,1301.0,1365.0,1005.0,190.0,477.0,1120.0,4.0,56.0,0.0,1.0
0.0,184.0,57.0,105.0,203.0,1253.0,1059.0,1230.0,1303.0,1164.0,1123.0,352.0,740.0,1134.0,6.0,85.0,0.0,2.0
0.0,119.0,28.0,54.0,150.0,1110.0,1262.0,1032.0,1176.0,944.0,1274.0,449.0,928.0,1267.0,31.0,174.0,0.0,2.0
0.0,53.0,15.0,20.0,71.0,1028.0,1351.0,899.0,995.0,711.0,1389.0,754.0,1168.0,1204.0,42.0,283.0,2.0,15.0
0.0,37.0,5.0,12.0,38.0,772.0,1340.0,697.0,784.0,477.0,1255.0,1182.0,1525.0,1221.0,135.0,488.0,8.0,24.0
0.0,9.0,3.0,3.0,17.0,523.0,1212.0,490.0,533.0,292.0,1040.0,1730.0,1749.0,1040.0,298.0,960.0,38.0,63.0
0.0,3.0,1.0,2.0,2.0,293.0,794.0,291.0,291.0,149.0,661.0,2358.0,1535.0,639.0,793.0,1806.0,121.0,261.0
0.0,0.0,0.0,1.0,0.0,115.0,377.0,92.0,116.0,46.0,289.0,1764.0,876.0,271.0,1933.0,2964.0,383.0,773.0
0.0,0.0,0.0,0.0,0.0,30.0,102.0,23.0,26.0,7.0,90.0,722.0,289.0,65.0,3479.0,1962.0,1308.0,1897.0
0.0,0.0,0.0,0.0,0.0,3.0,20.0,3.0,6.0,1.0,11.0,250.0,65.0,14.0,2236.0,928.0,2835.0,3628.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,51.0,7.0,2.0,1040.0,258.0,5305.0,3334.0
