Arsenal,Manchester City,Leeds United,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Nottingham Forest,Newcastle United,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5472.0,4038.0,31.0,1.0,157.0,34.0,42.0,76.0,8.0,0.0,18.0,8.0,100.0,1.0,9.0,0.0,0.0,1.0,4.0,0.0
3384.0,4293.0,227.0,13.0,581.0,227.0,222.0,290.0,85.0,0.0,81.0,61.0,416.0,12.0,85.0,6.0,1.0,4.0,12.0,0.0
687.0,944.0,840.0,140.0,1655.0,860.0,811.0,1095.0,394.0,6.0,380.0,260.0,1314.0,76.0,337.0,23.0,14.0,47.0,117.0,0.0
233.0,362.0,944.0,223.0,1462.0,895.0,942.0,1170.0,573.0,4.0,494.0,416.0,1278.0,156.0,481.0,39.0,42.0,88.0,198.0,0.0
120.0,175.0,991.0,300.0,1207.0,921.0,980.0,1080.0,642.0,13.0,622.0,482.0,1111.0,207.0,614.0,75.0,60.0,136.0,264.0,0.0
45.0,70.0,934.0,356.0,998.0,918.0,921.0,986.0,728.0,33.0,734.0,538.0,990.0,325.0,659.0,133.0,94.0,194.0,344.0,0.0
20.0,60.0,929.0,469.0,818.0,912.0,845.0,865.0,738.0,40.0,785.0,617.0,900.0,356.0,731.0,166.0,128.0,226.0,395.0,0.0
21.0,25.0,813.0,526.0,693.0,823.0,851.0,781.0,778.0,56.0,774.0,673.0,783.0,471.0,761.0,206.0,171.0,303.0,491.0,0.0
8.0,17.0,752.0,616.0,582.0,796.0,759.0,699.0,777.0,101.0,777.0,727.0,655.0,549.0,766.0,279.0,208.0,370.0,562.0,0.0
3.0,8.0,715.0,704.0,439.0,705.0,689.0,630.0,789.0,134.0,746.0,788.0,584.0,576.0,745.0,342.0,283.0,491.0,629.0,0.0
4.0,5.0,654.0,756.0,382.0,578.0,652.0,538.0,747.0,179.0,794.0,796.0,449.0,673.0,816.0,466.0,356.0,502.0,653.0,0.0
2.0,0.0,492.0,805.0,298.0,544.0,580.0,497.0,729.0,231.0,723.0,747.0,394.0,789.0,746.0,530.0,465.0,644.0,784.0,0.0
1.0,2.0,448.0,857.0,232.0,455.0,451.0,373.0,690.0,335.0,694.0,779.0,320.0,822.0,760.0,637.0,583.0,728.0,833.0,0.0
0.0,1.0,411.0,874.0,170.0,405.0,377.0,298.0,622.0,495.0,617.0,740.0,229.0,906.0,693.0,758.0,712.0,842.0,848.0,2.0
0.0,0.0,292.0,830.0,141.0,341.0,292.0,234.0,528.0,630.0,580.0,707.0,198.0,937.0,566.0,894.0,915.0,995.0,917.0,3.0
0.0,0.0,210.0,842.0,88.0,259.0,254.0,181.0,437.0,986.0,455.0,600.0,137.0,972.0,438.0,1128.0,1059.0,1111.0,842.0,1.0
0.0,0.0,165.0,707.0,51.0,173.0,186.0,125.0,367.0,1388.0,393.0,475.0,88.0,911.0,369.0,1272.0,1333.0,1167.0,812.0,18.0
0.0,0.0,105.0,606.0,36.0,116.0,103.0,54.0,236.0,2022.0,213.0,363.0,41.0,741.0,255.0,1517.0,1635.0,1128.0,771.0,58.0
0.0,0.0,47.0,366.0,10.0,38.0,43.0,28.0,130.0,3147.0,117.0,220.0,13.0,496.0,167.0,1477.0,1853.0,984.0,509.0,355.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,200.0,3.0,3.0,0.0,24.0,2.0,52.0,88.0,39.0,15.0,9563.0
