FC Porto,Benfica,Sporting CP,Santa Clara,Estrela,Arouca,Braga,Académico de Viseu,Moreirense,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Rio Ave,Estoril,Casa Pia
3759.0,3537.0,2658.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3263.0,3211.0,3327.0,24.0,0.0,1.0,171.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598.0,2836.0,3565.0,131.0,7.0,11.0,798.0,0.0,0.0,33.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,0.0
347.0,366.0,398.0,1766.0,276.0,420.0,5201.0,21.0,48.0,688.0,4.0,28.0,23.0,355.0,28.0,5.0,26.0,0.0
31.0,42.0,42.0,2787.0,802.0,1068.0,1991.0,87.0,151.0,1553.0,14.0,124.0,77.0,1004.0,123.0,16.0,87.0,1.0
1.0,7.0,8.0,1956.0,1075.0,1405.0,916.0,216.0,330.0,1761.0,45.0,280.0,184.0,1330.0,244.0,37.0,202.0,3.0
1.0,1.0,2.0,1194.0,1264.0,1498.0,429.0,379.0,493.0,1514.0,93.0,455.0,316.0,1510.0,422.0,102.0,321.0,6.0
0.0,0.0,0.0,806.0,1353.0,1328.0,224.0,544.0,644.0,1245.0,165.0,647.0,475.0,1344.0,576.0,150.0,484.0,15.0
0.0,0.0,0.0,487.0,1281.0,1150.0,104.0,674.0,811.0,959.0,242.0,797.0,625.0,1216.0,744.0,269.0,621.0,20.0
0.0,0.0,0.0,345.0,1058.0,887.0,65.0,906.0,951.0,719.0,358.0,922.0,771.0,978.0,869.0,361.0,760.0,50.0
0.0,0.0,0.0,235.0,809.0,655.0,30.0,974.0,1069.0,516.0,542.0,1065.0,897.0,712.0,1027.0,461.0,915.0,93.0
0.0,0.0,0.0,122.0,669.0,506.0,15.0,1054.0,1052.0,367.0,706.0,1047.0,1011.0,499.0,1038.0,721.0,1083.0,110.0
0.0,0.0,0.0,74.0,549.0,405.0,9.0,1106.0,1026.0,267.0,889.0,1108.0,1126.0,355.0,1042.0,824.0,1035.0,185.0
0.0,0.0,0.0,40.0,378.0,287.0,1.0,1065.0,1021.0,184.0,1097.0,999.0,1051.0,292.0,1048.0,1050.0,1138.0,349.0
0.0,0.0,0.0,20.0,224.0,201.0,1.0,1048.0,894.0,101.0,1312.0,937.0,1146.0,217.0,989.0,1271.0,1096.0,543.0
0.0,0.0,0.0,6.0,163.0,114.0,1.0,899.0,781.0,60.0,1609.0,763.0,1020.0,108.0,891.0,1629.0,999.0,957.0
0.0,0.0,0.0,5.0,67.0,44.0,0.0,726.0,539.0,22.0,1803.0,567.0,868.0,46.0,633.0,1879.0,820.0,1981.0
0.0,0.0,0.0,1.0,24.0,20.0,0.0,301.0,190.0,8.0,1121.0,261.0,410.0,15.0,325.0,1225.0,412.0,5687.0
