Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9971.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,29.0,9322.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,649.0,9351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9258.0,333.0,183.0,10.0,210.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,590.0,4466.0,2198.0,378.0,1992.0,277.0,44.0,26.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,123.0,2589.0,2686.0,969.0,2478.0,815.0,147.0,104.0,12.0,65.0,8.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,28.0,1394.0,2153.0,1686.0,2424.0,1443.0,299.0,240.0,44.0,189.0,72.0,26.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,707.0,1359.0,2338.0,1444.0,2083.0,686.0,483.0,125.0,466.0,229.0,72.0,6.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,319.0,802.0,2122.0,738.0,2219.0,1104.0,793.0,248.0,899.0,477.0,234.0,33.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,130.0,366.0,1256.0,390.0,1485.0,1660.0,1130.0,515.0,1507.0,945.0,468.0,104.0,43.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,40.0,168.0,649.0,179.0,869.0,1666.0,1572.0,846.0,1716.0,1246.0,743.0,231.0,67.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,18.0,66.0,365.0,82.0,447.0,1351.0,1649.0,1142.0,1506.0,1695.0,1201.0,342.0,112.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,18.0,160.0,46.0,229.0,1131.0,1509.0,1720.0,1240.0,1713.0,1300.0,598.0,284.0,47.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,14.0,99.0,804.0,1171.0,2088.0,960.0,1532.0,1586.0,1072.0,441.0,164.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,26.0,610.0,759.0,1840.0,726.0,1146.0,2015.0,1723.0,864.0,275.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,391.0,419.0,1039.0,474.0,606.0,1599.0,2793.0,1852.0,795.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,122.0,350.0,190.0,261.0,649.0,2216.0,3874.0,2144.0,97.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,30.0,34.0,69.0,103.0,852.0,2314.0,6109.0,457.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,135.0,433.0,9402.0
