Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Osasuna,Valencia,Sevilla,Elche,Mallorca,Espanyol,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,9922.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,77.0,9923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8885.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1115.0,8714.0,100.0,42.0,12.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,154.0,3549.0,3697.0,562.0,721.0,1126.0,142.0,2.0,5.0,23.0,14.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,17.0,2585.0,2707.0,1182.0,1175.0,1590.0,435.0,4.0,50.0,128.0,95.0,32.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1660.0,1577.0,1960.0,1635.0,1812.0,682.0,28.0,116.0,269.0,163.0,92.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1088.0,864.0,2041.0,1990.0,1929.0,883.0,104.0,221.0,440.0,243.0,169.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,683.0,485.0,1665.0,1561.0,1554.0,1446.0,193.0,577.0,951.0,467.0,347.0,70.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,261.0,289.0,1175.0,1090.0,780.0,1874.0,345.0,1043.0,1335.0,767.0,899.0,124.0,18.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,61.0,193.0,868.0,988.0,523.0,1643.0,618.0,1242.0,1511.0,960.0,1096.0,260.0,37.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,117.0,412.0,579.0,380.0,1358.0,1143.0,1424.0,1644.0,1137.0,1118.0,603.0,73.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,108.0,215.0,183.0,901.0,1501.0,1496.0,1439.0,1603.0,1416.0,906.0,202.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,92.0,479.0,2016.0,1443.0,1047.0,1639.0,1683.0,1164.0,392.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,135.0,2573.0,1290.0,716.0,1324.0,1479.0,1893.0,563.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,1318.0,902.0,368.0,1286.0,1392.0,3117.0,1588.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,191.0,129.0,302.0,272.0,1828.0,7117.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9990.0
