Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6387.0,3461.0,108.0,27.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3264.0,5693.0,622.0,232.0,133.0,6.0,11.0,7.0,8.0,2.0,3.0,2.0,3.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0
287.0,661.0,4039.0,2289.0,1424.0,211.0,181.0,246.0,256.0,50.0,44.0,63.0,30.0,116.0,59.0,27.0,17.0,0.0,0.0,0.0
50.0,136.0,2205.0,2594.0,2014.0,447.0,452.0,478.0,541.0,131.0,157.0,157.0,73.0,281.0,168.0,78.0,38.0,0.0,0.0,0.0
10.0,32.0,1234.0,1666.0,1919.0,776.0,724.0,739.0,771.0,251.0,269.0,338.0,182.0,498.0,308.0,146.0,133.0,4.0,0.0,0.0
1.0,11.0,709.0,1102.0,1267.0,968.0,958.0,959.0,966.0,360.0,388.0,469.0,316.0,628.0,468.0,232.0,188.0,8.0,2.0,0.0
0.0,5.0,384.0,635.0,863.0,1053.0,1007.0,955.0,1005.0,554.0,461.0,610.0,442.0,766.0,604.0,365.0,264.0,22.0,5.0,0.0
1.0,0.0,261.0,439.0,677.0,1003.0,971.0,983.0,1013.0,612.0,572.0,676.0,480.0,817.0,665.0,396.0,397.0,27.0,10.0,0.0
0.0,1.0,162.0,331.0,493.0,886.0,961.0,977.0,939.0,676.0,630.0,726.0,603.0,871.0,741.0,490.0,449.0,46.0,18.0,0.0
0.0,0.0,101.0,227.0,363.0,858.0,873.0,867.0,867.0,793.0,697.0,794.0,669.0,870.0,788.0,629.0,511.0,68.0,25.0,0.0
0.0,0.0,73.0,146.0,247.0,778.0,849.0,782.0,747.0,855.0,719.0,869.0,823.0,874.0,824.0,687.0,569.0,100.0,57.0,1.0
0.0,0.0,36.0,118.0,169.0,735.0,756.0,705.0,682.0,887.0,811.0,967.0,849.0,766.0,785.0,833.0,682.0,145.0,74.0,0.0
0.0,0.0,37.0,64.0,144.0,623.0,581.0,610.0,626.0,901.0,817.0,905.0,898.0,822.0,845.0,932.0,864.0,210.0,117.0,4.0
0.0,0.0,14.0,53.0,108.0,556.0,522.0,519.0,506.0,914.0,869.0,843.0,975.0,752.0,947.0,959.0,949.0,330.0,184.0,0.0
0.0,0.0,9.0,37.0,96.0,429.0,446.0,418.0,404.0,905.0,923.0,836.0,1038.0,650.0,824.0,1091.0,1110.0,479.0,297.0,8.0
0.0,0.0,6.0,28.0,44.0,345.0,339.0,352.0,326.0,860.0,956.0,745.0,977.0,570.0,787.0,1170.0,1211.0,799.0,474.0,11.0
0.0,0.0,0.0,5.0,23.0,194.0,234.0,261.0,226.0,722.0,932.0,587.0,925.0,408.0,653.0,1077.0,1400.0,1357.0,953.0,43.0
0.0,0.0,0.0,7.0,2.0,105.0,106.0,105.0,95.0,411.0,567.0,300.0,542.0,226.0,380.0,657.0,872.0,3169.0,2276.0,180.0
0.0,0.0,0.0,0.0,0.0,26.0,29.0,35.0,20.0,109.0,175.0,109.0,168.0,74.0,144.0,223.0,325.0,2835.0,4754.0,974.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,10.0,4.0,7.0,1.0,6.0,8.0,20.0,401.0,754.0,8779.0
