Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Athletic Club,Real Sociedad,Osasuna,Rayo Vallecano,Espanyol,Valencia,Elche,Mallorca,Girona,Alavés,Sevilla,Levante,Real Oviedo
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,938.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,60.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,904.0,50.0,27.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,80.0,457.0,221.0,41.0,163.0,31.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,12.0,241.0,277.0,106.0,257.0,79.0,7.0,10.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,143.0,213.0,163.0,252.0,137.0,25.0,33.0,0.0,18.0,8.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,65.0,125.0,253.0,139.0,203.0,66.0,49.0,15.0,45.0,32.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,29.0,85.0,193.0,88.0,235.0,106.0,92.0,23.0,61.0,55.0,25.0,7.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,27.0,132.0,41.0,140.0,149.0,122.0,52.0,141.0,109.0,58.0,14.0,4.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,19.0,58.0,16.0,90.0,149.0,155.0,84.0,151.0,144.0,95.0,26.0,6.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,18.0,53.0,137.0,182.0,112.0,149.0,151.0,104.0,46.0,8.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,22.0,129.0,139.0,168.0,126.0,146.0,141.0,79.0,22.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,95.0,99.0,216.0,111.0,140.0,150.0,118.0,46.0,11.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,68.0,68.0,172.0,78.0,122.0,200.0,188.0,73.0,26.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,42.0,117.0,87.0,64.0,145.0,272.0,158.0,62.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,37.0,22.0,21.0,63.0,187.0,440.0,195.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,7.0,59.0,230.0,631.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,64.0,920.0
