Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Borussia Mönchengladbach,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8422.0,1576.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1563.0,8149.0,223.0,56.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,257.0,6053.0,2842.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,2651.0,4735.0,2596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1071.0,2366.0,6559.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,5133.0,4735.0,114.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4592.0,4646.0,605.0,145.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,262.0,569.0,4569.0,3325.0,635.0,204.0,251.0,95.0,90.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,2895.0,3735.0,1232.0,786.0,730.0,309.0,254.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1061.0,1543.0,2152.0,1955.0,1483.0,1004.0,784.0,16.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,739.0,1814.0,2154.0,1927.0,1489.0,1318.0,64.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,341.0,1569.0,1910.0,1984.0,1930.0,1877.0,163.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,121.0,1384.0,1648.0,1825.0,2169.0,2290.0,415.0,96.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,1077.0,1123.0,1429.0,2466.0,2782.0,869.0,214.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,125.0,219.0,357.0,534.0,592.0,5851.0,2276.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,13.0,2543.0,7027.0,399.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,361.0,9561.0
