Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Athletic Club,Osasuna,Rayo Vallecano,Espanyol,Girona,Valencia,Mallorca,Elche,Sevilla,Alavés,Levante,Real Oviedo
9919.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,9918.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,9250.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,749.0,9184.0,52.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,63.0,7547.0,691.0,1151.0,480.0,36.0,21.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,1662.0,2394.0,3760.0,1498.0,269.0,242.0,54.0,43.0,57.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,527.0,2725.0,2630.0,2341.0,559.0,608.0,202.0,139.0,193.0,29.0,21.0,20.0,1.0,4.0,1.0,0.0
0.0,0.0,0.0,0.0,178.0,2173.0,1337.0,2460.0,1164.0,1127.0,443.0,443.0,430.0,110.0,50.0,73.0,6.0,5.0,1.0,0.0
0.0,0.0,0.0,0.0,28.0,1093.0,647.0,1360.0,1910.0,1783.0,851.0,791.0,815.0,246.0,184.0,223.0,19.0,42.0,8.0,0.0
0.0,0.0,0.0,0.0,6.0,528.0,277.0,832.0,1803.0,1720.0,1304.0,1060.0,1131.0,458.0,352.0,382.0,52.0,84.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,235.0,121.0,465.0,1442.0,1538.0,1345.0,1277.0,1330.0,681.0,573.0,708.0,95.0,148.0,41.0,1.0
0.0,0.0,0.0,0.0,0.0,103.0,47.0,301.0,1135.0,1137.0,1371.0,1415.0,1316.0,860.0,849.0,925.0,171.0,292.0,78.0,0.0
0.0,0.0,0.0,0.0,0.0,44.0,14.0,137.0,728.0,756.0,1323.0,1425.0,1277.0,1148.0,1093.0,1169.0,276.0,474.0,132.0,4.0
0.0,0.0,0.0,0.0,0.0,8.0,2.0,70.0,487.0,470.0,1051.0,1219.0,1142.0,1395.0,1363.0,1315.0,524.0,687.0,261.0,6.0
0.0,0.0,0.0,0.0,0.0,4.0,1.0,37.0,269.0,303.0,868.0,918.0,933.0,1601.0,1444.0,1433.0,758.0,954.0,449.0,28.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,150.0,181.0,600.0,641.0,732.0,1427.0,1440.0,1439.0,1197.0,1367.0,753.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,83.0,374.0,369.0,422.0,1129.0,1203.0,1071.0,1942.0,1921.0,1301.0,148.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0,166.0,192.0,188.0,615.0,885.0,794.0,2431.0,2102.0,2239.0,353.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,44.0,64.0,30.0,272.0,455.0,379.0,2239.0,1552.0,3842.0,1114.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,86.0,64.0,289.0,368.0,883.0,8290.0
