PSV Eindhoven,Feyenoord Rotterdam,NEC Nijmegen,FC Twente,Ajax Amsterdam,AZ Alkmaar,FC Utrecht,Heerenveen,FC Groningen,Sparta Rotterdam,Go Ahead Eagles,Fortuna Sittard,PEC Zwolle,Telstar,FC Volendam,Excelsior,NAC Breda,Heracles Almelo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6560.0,2468.0,798.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2481.0,4030.0,2546.0,936.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,731.0,2493.0,3822.0,2771.0,160.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,205.0,944.0,2524.0,4797.0,958.0,306.0,263.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,23.0,64.0,286.0,919.0,5500.0,1673.0,1329.0,203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,23.0,307.0,2486.0,3241.0,2855.0,1030.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,93.0,776.0,3056.0,3187.0,2515.0,357.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,112.0,1423.0,1971.0,4491.0,1927.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,275.0,366.0,1692.0,6699.0,610.0,341.0,16.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,62.0,844.0,4169.0,3959.0,881.0,31.0,13.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,114.0,4090.0,3792.0,1669.0,148.0,97.0,85.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1470.0,4513.0,1441.0,839.0,703.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,367.0,2223.0,3890.0,1897.0,1486.0,64.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,628.0,3197.0,2786.0,3054.0,313.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,1190.0,3581.0,3906.0,1236.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,101.0,781.0,754.0,8132.0,230.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,238.0,9752.0
