Manchester City,Arsenal,Manchester United,Aston Villa,Liverpool,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
5330.0,4670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4670.0,5330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5410.0,2841.0,1746.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3070.0,3904.0,2976.0,38.0,2.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1436.0,3028.0,4748.0,503.0,33.0,100.0,101.0,40.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,81.0,216.0,411.0,4952.0,1004.0,1104.0,981.0,771.0,128.0,311.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,10.0,79.0,2195.0,1617.0,2087.0,1737.0,1213.0,327.0,606.0,87.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,32.0,1166.0,1786.0,2025.0,1807.0,1525.0,525.0,879.0,157.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,645.0,1812.0,1629.0,1823.0,1618.0,806.0,1189.0,281.0,182.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,322.0,1598.0,1374.0,1566.0,1698.0,1152.0,1480.0,439.0,332.0,34.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,112.0,1197.0,925.0,1052.0,1400.0,1606.0,1973.0,817.0,743.0,162.0,13.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,50.0,648.0,503.0,588.0,1029.0,2290.0,1667.0,1473.0,1299.0,380.0,72.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,14.0,245.0,199.0,250.0,478.0,1871.0,1056.0,2366.0,2150.0,1097.0,267.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,54.0,48.0,79.0,184.0,1024.0,610.0,2393.0,2777.0,2149.0,647.0,30.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,40.0,250.0,204.0,1575.0,1697.0,4297.0,1752.0,118.0,48.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,17.0,370.0,629.0,1666.0,6391.0,590.0,316.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,194.0,792.0,4954.0,4007.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,63.0,4300.0,5624.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7470.0,2530.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,7470.0
