Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6490.0,2997.0,318.0,54.0,78.0,27.0,19.0,5.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2691.0,4754.0,1331.0,377.0,360.0,162.0,160.0,58.0,85.0,14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563.0,1397.0,3309.0,1367.0,1364.0,593.0,629.0,215.0,381.0,88.0,20.0,40.0,11.0,4.0,6.0,10.0,2.0,1.0,0.0,0.0
172.0,493.0,1988.0,1779.0,1824.0,1070.0,1068.0,498.0,617.0,203.0,55.0,106.0,43.0,33.0,9.0,24.0,16.0,2.0,0.0,0.0
47.0,204.0,1207.0,1655.0,1626.0,1291.0,1310.0,733.0,916.0,381.0,138.0,197.0,89.0,81.0,50.0,53.0,20.0,1.0,1.0,0.0
18.0,86.0,690.0,1375.0,1339.0,1306.0,1459.0,1001.0,1074.0,548.0,216.0,343.0,139.0,127.0,103.0,122.0,44.0,10.0,0.0,0.0
15.0,47.0,478.0,1066.0,1027.0,1282.0,1306.0,1131.0,1203.0,720.0,307.0,546.0,254.0,194.0,143.0,182.0,72.0,22.0,5.0,0.0
2.0,9.0,310.0,780.0,725.0,1134.0,1125.0,1283.0,1247.0,947.0,454.0,643.0,325.0,323.0,220.0,269.0,142.0,56.0,6.0,0.0
1.0,4.0,165.0,548.0,571.0,921.0,899.0,1155.0,1095.0,1083.0,613.0,854.0,477.0,493.0,376.0,421.0,230.0,85.0,9.0,0.0
0.0,6.0,90.0,356.0,433.0,689.0,689.0,1082.0,932.0,1148.0,748.0,1054.0,651.0,626.0,467.0,538.0,335.0,138.0,18.0,0.0
0.0,2.0,58.0,259.0,259.0,494.0,481.0,791.0,731.0,1100.0,952.0,1140.0,824.0,839.0,667.0,696.0,477.0,203.0,27.0,0.0
0.0,1.0,31.0,152.0,165.0,355.0,324.0,653.0,531.0,1009.0,1000.0,1055.0,1037.0,982.0,864.0,865.0,616.0,281.0,76.0,3.0
1.0,0.0,14.0,105.0,99.0,251.0,209.0,520.0,434.0,805.0,1125.0,990.0,1117.0,1089.0,966.0,917.0,782.0,454.0,116.0,6.0
0.0,0.0,7.0,58.0,67.0,178.0,160.0,354.0,291.0,649.0,1098.0,868.0,1172.0,1098.0,1071.0,1116.0,1001.0,597.0,196.0,19.0
0.0,0.0,2.0,39.0,34.0,115.0,87.0,245.0,227.0,484.0,1031.0,746.0,1013.0,1169.0,1305.0,1185.0,1175.0,796.0,318.0,29.0
0.0,0.0,0.0,20.0,19.0,77.0,51.0,148.0,111.0,410.0,917.0,601.0,1014.0,973.0,1217.0,1197.0,1338.0,1242.0,574.0,91.0
0.0,0.0,2.0,5.0,9.0,39.0,17.0,81.0,69.0,235.0,692.0,434.0,879.0,926.0,1169.0,1082.0,1525.0,1657.0,1001.0,178.0
0.0,0.0,0.0,5.0,1.0,13.0,6.0,38.0,38.0,131.0,437.0,284.0,625.0,667.0,898.0,850.0,1363.0,2285.0,1854.0,505.0
0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,7.0,41.0,176.0,79.0,288.0,334.0,407.0,401.0,731.0,1724.0,4220.0,1580.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,19.0,13.0,42.0,42.0,62.0,72.0,131.0,446.0,1579.0,7589.0
