Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,Corinthians,São Paulo,Vitória,Grêmio,Mirassol,Santos,Internacional,Remo,Vasco da Gama,Chapecoense
8378.0,1586.0,33.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1555.0,7564.0,661.0,54.0,11.0,15.0,127.0,4.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,719.0,5348.0,1034.0,221.0,384.0,1630.0,264.0,11.0,158.0,144.0,18.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,98.0,1938.0,2034.0,582.0,923.0,2625.0,640.0,65.0,452.0,511.0,106.0,3.0,8.0,4.0,3.0,5.0,0.0,0.0,0.0
0.0,26.0,940.0,1984.0,895.0,1236.0,1816.0,1006.0,168.0,754.0,852.0,248.0,11.0,25.0,3.0,17.0,18.0,0.0,1.0,0.0
0.0,4.0,496.0,1564.0,1077.0,1501.0,1300.0,1198.0,269.0,989.0,1073.0,381.0,32.0,54.0,7.0,16.0,36.0,2.0,1.0,0.0
0.0,1.0,289.0,1199.0,1242.0,1387.0,859.0,1328.0,460.0,1124.0,1261.0,518.0,74.0,114.0,15.0,52.0,69.0,2.0,6.0,0.0
0.0,1.0,156.0,796.0,1317.0,1234.0,627.0,1271.0,617.0,1273.0,1360.0,763.0,97.0,224.0,37.0,87.0,116.0,7.0,17.0,0.0
0.0,1.0,68.0,526.0,1311.0,1068.0,422.0,1263.0,845.0,1314.0,1272.0,973.0,166.0,302.0,64.0,153.0,204.0,12.0,36.0,0.0
0.0,0.0,44.0,356.0,1171.0,828.0,268.0,1010.0,1138.0,1191.0,1116.0,1226.0,338.0,515.0,115.0,241.0,353.0,24.0,66.0,0.0
0.0,0.0,18.0,236.0,864.0,583.0,165.0,790.0,1423.0,991.0,889.0,1378.0,527.0,773.0,235.0,392.0,544.0,66.0,126.0,0.0
0.0,0.0,6.0,117.0,576.0,390.0,76.0,518.0,1499.0,743.0,641.0,1321.0,772.0,1103.0,386.0,702.0,757.0,133.0,260.0,0.0
0.0,0.0,1.0,59.0,353.0,222.0,46.0,338.0,1259.0,481.0,394.0,990.0,1048.0,1453.0,620.0,950.0,1112.0,268.0,406.0,0.0
0.0,0.0,2.0,26.0,207.0,136.0,22.0,189.0,870.0,256.0,246.0,819.0,1307.0,1456.0,896.0,1199.0,1284.0,469.0,615.0,1.0
0.0,0.0,0.0,9.0,99.0,57.0,7.0,98.0,604.0,155.0,134.0,555.0,1456.0,1293.0,1196.0,1399.0,1398.0,666.0,874.0,0.0
0.0,0.0,0.0,5.0,50.0,19.0,5.0,53.0,386.0,70.0,62.0,368.0,1354.0,1043.0,1506.0,1480.0,1319.0,1066.0,1214.0,0.0
0.0,0.0,0.0,1.0,14.0,13.0,3.0,25.0,223.0,31.0,24.0,209.0,1246.0,818.0,1728.0,1235.0,1159.0,1594.0,1676.0,1.0
0.0,0.0,0.0,0.0,9.0,4.0,0.0,2.0,117.0,13.0,12.0,89.0,1015.0,548.0,1688.0,1108.0,981.0,2274.0,2137.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,46.0,2.0,3.0,38.0,552.0,268.0,1489.0,964.0,641.0,3387.0,2544.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,3.0,30.0,21.0,9932.0
