Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
6256.0,1721.0,712.0,905.0,86.0,93.0,136.0,79.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068.0,2912.0,1603.0,1880.0,320.0,327.0,515.0,316.0,21.0,35.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
924.0,2027.0,2014.0,2129.0,597.0,599.0,880.0,641.0,73.0,104.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0
370.0,1350.0,1849.0,1833.0,999.0,1009.0,1200.0,990.0,143.0,227.0,10.0,8.0,2.0,8.0,2.0,0.0,0.0,0.0
206.0,889.0,1386.0,1275.0,1314.0,1333.0,1550.0,1307.0,264.0,398.0,26.0,22.0,16.0,14.0,0.0,0.0,0.0,0.0
98.0,541.0,1002.0,846.0,1513.0,1531.0,1646.0,1511.0,456.0,648.0,67.0,61.0,35.0,35.0,6.0,3.0,1.0,0.0
64.0,289.0,649.0,567.0,1546.0,1580.0,1485.0,1577.0,740.0,984.0,163.0,167.0,75.0,97.0,10.0,2.0,5.0,0.0
12.0,163.0,411.0,298.0,1341.0,1408.0,1141.0,1435.0,1280.0,1462.0,288.0,320.0,187.0,210.0,23.0,14.0,6.0,1.0
2.0,75.0,229.0,157.0,1044.0,1021.0,766.0,1044.0,1651.0,1833.0,594.0,591.0,431.0,398.0,88.0,54.0,22.0,0.0
0.0,24.0,88.0,78.0,626.0,593.0,387.0,609.0,1852.0,1661.0,1105.0,1045.0,749.0,799.0,179.0,133.0,69.0,3.0
0.0,6.0,42.0,21.0,336.0,283.0,162.0,277.0,1383.0,1139.0,1496.0,1602.0,1176.0,1289.0,348.0,265.0,165.0,10.0
0.0,2.0,10.0,8.0,153.0,126.0,73.0,138.0,905.0,668.0,1674.0,1689.0,1565.0,1551.0,641.0,472.0,290.0,35.0
0.0,1.0,3.0,2.0,73.0,63.0,38.0,54.0,592.0,441.0,1497.0,1525.0,1665.0,1623.0,1007.0,814.0,527.0,75.0
0.0,0.0,1.0,1.0,32.0,19.0,16.0,12.0,345.0,218.0,1265.0,1224.0,1587.0,1554.0,1417.0,1209.0,893.0,207.0
0.0,0.0,1.0,0.0,15.0,12.0,3.0,6.0,181.0,115.0,894.0,867.0,1221.0,1147.0,1976.0,1719.0,1415.0,428.0
0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,86.0,45.0,529.0,561.0,764.0,787.0,2007.0,2231.0,2117.0,861.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,13.0,303.0,249.0,398.0,382.0,1606.0,2083.0,2850.0,2092.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,87.0,62.0,128.0,101.0,690.0,1001.0,1640.0,6288.0
