Barcelona,Real Madrid,Sevilla,Real Betis,Alavés,Atlético Madrid,Osasuna,Espanyol,Getafe,Villarreal,Deportivo La Coruña,Racing Santander,Rayo Vallecano,Celta Vigo,Valencia,Málaga,Levante,Elche,Real Sociedad,Athletic Club
8128.0,1809.0,0.0,15.0,0.0,11.0,0.0,0.0,0.0,28.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1782.0,7082.0,4.0,232.0,4.0,267.0,5.0,0.0,0.0,550.0,25.0,19.0,3.0,13.0,0.0,11.0,0.0,0.0,3.0,0.0
84.0,843.0,90.0,2466.0,60.0,2276.0,98.0,19.0,9.0,3433.0,129.0,98.0,45.0,209.0,17.0,75.0,5.0,5.0,39.0,0.0
6.0,206.0,216.0,2477.0,209.0,2498.0,254.0,71.0,75.0,2670.0,184.0,138.0,146.0,494.0,69.0,95.0,14.0,25.0,151.0,2.0
0.0,49.0,464.0,1986.0,417.0,2145.0,567.0,164.0,143.0,1651.0,252.0,193.0,353.0,922.0,136.0,115.0,52.0,71.0,311.0,9.0
0.0,7.0,772.0,1164.0,728.0,1159.0,832.0,330.0,284.0,801.0,285.0,293.0,667.0,1306.0,323.0,168.0,105.0,122.0,617.0,37.0
0.0,3.0,888.0,625.0,887.0,633.0,966.0,497.0,470.0,412.0,291.0,241.0,881.0,1273.0,489.0,177.0,188.0,246.0,774.0,59.0
0.0,1.0,1014.0,398.0,897.0,410.0,1005.0,571.0,564.0,212.0,315.0,251.0,913.0,1127.0,579.0,182.0,296.0,345.0,820.0,100.0
0.0,0.0,910.0,259.0,1006.0,222.0,973.0,709.0,680.0,94.0,285.0,229.0,911.0,961.0,662.0,189.0,399.0,451.0,914.0,146.0
0.0,0.0,919.0,159.0,974.0,125.0,934.0,788.0,754.0,63.0,278.0,273.0,927.0,836.0,743.0,192.0,465.0,505.0,870.0,195.0
0.0,0.0,909.0,80.0,841.0,98.0,865.0,832.0,816.0,32.0,270.0,294.0,871.0,725.0,855.0,242.0,559.0,636.0,830.0,245.0
0.0,0.0,789.0,65.0,797.0,80.0,770.0,877.0,906.0,25.0,346.0,283.0,852.0,574.0,892.0,277.0,624.0,672.0,822.0,349.0
0.0,0.0,734.0,30.0,733.0,37.0,688.0,915.0,847.0,10.0,334.0,337.0,754.0,459.0,851.0,298.0,867.0,809.0,840.0,457.0
0.0,0.0,647.0,22.0,653.0,20.0,565.0,925.0,963.0,8.0,393.0,390.0,695.0,372.0,890.0,315.0,911.0,877.0,764.0,590.0
0.0,0.0,510.0,9.0,569.0,8.0,503.0,831.0,909.0,6.0,469.0,432.0,619.0,271.0,898.0,387.0,1065.0,1033.0,652.0,829.0
0.0,0.0,453.0,8.0,491.0,5.0,368.0,829.0,878.0,4.0,561.0,488.0,523.0,199.0,785.0,498.0,1161.0,1106.0,590.0,1053.0
0.0,0.0,329.0,4.0,337.0,5.0,289.0,708.0,739.0,1.0,702.0,712.0,392.0,137.0,774.0,657.0,1210.0,1112.0,442.0,1450.0
0.0,0.0,216.0,1.0,216.0,0.0,208.0,527.0,572.0,0.0,1066.0,1031.0,258.0,82.0,599.0,1045.0,1012.0,1024.0,319.0,1824.0
0.0,0.0,107.0,0.0,149.0,1.0,82.0,290.0,299.0,0.0,1753.0,1703.0,155.0,29.0,345.0,1792.0,741.0,698.0,186.0,1670.0
0.0,0.0,29.0,0.0,32.0,0.0,28.0,117.0,92.0,0.0,2059.0,2592.0,35.0,10.0,93.0,3283.0,326.0,263.0,56.0,985.0
