AZ Alkmaar,Go Ahead Eagles,PSV Eindhoven,Feyenoord Rotterdam,FC Groningen,Ajax Amsterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
379.0,53.0,7866.0,732.0,16.0,448.0,0.0,0.0,2.0,0.0,233.0,264.0,0.0,0.0,3.0,3.0,0.0,1.0
1439.0,275.0,1345.0,2637.0,165.0,1697.0,0.0,0.0,53.0,20.0,1117.0,1186.0,15.0,0.0,45.0,2.0,3.0,1.0
1654.0,531.0,484.0,2106.0,291.0,1793.0,1.0,2.0,143.0,39.0,1357.0,1415.0,42.0,0.0,125.0,8.0,1.0,8.0
1569.0,717.0,178.0,1551.0,557.0,1699.0,3.0,12.0,241.0,82.0,1525.0,1523.0,92.0,1.0,228.0,12.0,6.0,4.0
1391.0,1061.0,81.0,1110.0,756.0,1367.0,6.0,31.0,414.0,182.0,1472.0,1498.0,183.0,0.0,418.0,13.0,7.0,10.0
1204.0,1245.0,35.0,806.0,988.0,1082.0,24.0,66.0,642.0,310.0,1336.0,1304.0,322.0,4.0,578.0,20.0,23.0,11.0
894.0,1372.0,7.0,487.0,1282.0,758.0,40.0,124.0,968.0,491.0,1103.0,1056.0,483.0,16.0,848.0,28.0,23.0,20.0
604.0,1328.0,4.0,282.0,1451.0,548.0,101.0,243.0,1249.0,718.0,771.0,726.0,720.0,20.0,1105.0,57.0,32.0,41.0
401.0,1138.0,0.0,160.0,1330.0,310.0,177.0,382.0,1472.0,1040.0,505.0,473.0,1009.0,63.0,1362.0,61.0,67.0,50.0
244.0,905.0,0.0,64.0,1142.0,146.0,389.0,666.0,1404.0,1330.0,302.0,280.0,1329.0,120.0,1478.0,86.0,73.0,42.0
136.0,629.0,0.0,43.0,868.0,97.0,624.0,1033.0,1235.0,1584.0,148.0,150.0,1519.0,245.0,1342.0,138.0,105.0,104.0
53.0,413.0,0.0,15.0,606.0,34.0,1081.0,1432.0,1022.0,1529.0,89.0,80.0,1547.0,489.0,1079.0,223.0,164.0,144.0
24.0,219.0,0.0,6.0,324.0,15.0,1765.0,1895.0,628.0,1246.0,31.0,31.0,1304.0,978.0,770.0,283.0,286.0,195.0
6.0,86.0,0.0,1.0,146.0,6.0,2290.0,1948.0,334.0,823.0,8.0,13.0,849.0,1791.0,399.0,486.0,443.0,371.0
2.0,22.0,0.0,0.0,57.0,0.0,2060.0,1398.0,147.0,434.0,2.0,1.0,416.0,3113.0,172.0,778.0,786.0,612.0
0.0,6.0,0.0,0.0,19.0,0.0,1092.0,585.0,42.0,130.0,1.0,0.0,135.0,2199.0,40.0,2015.0,2005.0,1731.0
0.0,0.0,0.0,0.0,2.0,0.0,308.0,156.0,4.0,40.0,0.0,0.0,32.0,815.0,8.0,2842.0,2931.0,2862.0
0.0,0.0,0.0,0.0,0.0,0.0,39.0,27.0,0.0,2.0,0.0,0.0,3.0,146.0,0.0,2945.0,3045.0,3793.0
