FC Porto,Sporting CP,Maritimo,Santa Clara,Arouca,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Casa Pia
4404.0,3221.0,6.0,0.0,0.0,1.0,2349.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0
3170.0,3542.0,15.0,1.0,0.0,14.0,3131.0,0.0,0.0,0.0,0.0,2.0,125.0,0.0,0.0,0.0,0.0,0.0
2247.0,2995.0,54.0,3.0,4.0,70.0,4019.0,2.0,0.0,0.0,0.0,7.0,592.0,7.0,0.0,0.0,0.0,0.0
172.0,223.0,505.0,170.0,192.0,1784.0,459.0,77.0,10.0,1.0,13.0,147.0,5818.0,416.0,0.0,12.0,1.0,0.0
7.0,18.0,657.0,671.0,794.0,3330.0,37.0,330.0,71.0,19.0,61.0,344.0,2154.0,1397.0,17.0,89.0,4.0,0.0
0.0,1.0,777.0,1216.0,1282.0,2049.0,4.0,695.0,264.0,59.0,161.0,390.0,750.0,2021.0,59.0,230.0,42.0,0.0
0.0,0.0,813.0,1453.0,1501.0,1206.0,1.0,1043.0,422.0,125.0,283.0,378.0,317.0,1842.0,132.0,402.0,80.0,2.0
0.0,0.0,769.0,1521.0,1473.0,637.0,0.0,1293.0,642.0,230.0,441.0,452.0,119.0,1375.0,231.0,645.0,168.0,4.0
0.0,0.0,707.0,1368.0,1300.0,404.0,0.0,1370.0,854.0,318.0,647.0,463.0,64.0,1021.0,387.0,818.0,275.0,4.0
0.0,0.0,696.0,1122.0,1001.0,229.0,0.0,1253.0,1033.0,554.0,871.0,576.0,23.0,725.0,541.0,959.0,404.0,13.0
0.0,0.0,629.0,833.0,845.0,140.0,0.0,1118.0,1163.0,707.0,1006.0,527.0,12.0,489.0,707.0,1189.0,603.0,32.0
0.0,0.0,631.0,598.0,598.0,62.0,0.0,892.0,1207.0,922.0,1167.0,583.0,5.0,296.0,912.0,1230.0,842.0,55.0
0.0,0.0,556.0,441.0,427.0,43.0,0.0,736.0,1151.0,1096.0,1263.0,674.0,2.0,186.0,1127.0,1122.0,1063.0,113.0
0.0,0.0,616.0,280.0,263.0,20.0,0.0,511.0,1087.0,1400.0,1192.0,671.0,0.0,114.0,1316.0,1059.0,1223.0,248.0
0.0,0.0,668.0,182.0,177.0,7.0,0.0,348.0,874.0,1520.0,1147.0,774.0,1.0,71.0,1446.0,920.0,1438.0,427.0
0.0,0.0,684.0,100.0,91.0,2.0,0.0,204.0,703.0,1469.0,888.0,987.0,1.0,31.0,1459.0,753.0,1687.0,941.0
0.0,0.0,759.0,35.0,46.0,2.0,0.0,105.0,399.0,1156.0,644.0,1528.0,0.0,7.0,1190.0,449.0,1542.0,2138.0
0.0,0.0,458.0,6.0,6.0,0.0,0.0,23.0,120.0,424.0,216.0,1495.0,0.0,2.0,476.0,123.0,628.0,6023.0
