Brighton & Hove Albion,Arsenal,Brentford,Everton,Hull City,Chelsea,Ipswich Town,Manchester City,Leeds United,Liverpool,Newcastle United,Fulham,AFC Bournemouth,Sunderland,Nottingham Forest,Crystal Palace,Manchester United,Coventry City,Tottenham Hotspur,Aston Villa
43.0,6634.0,11.0,0.0,87.0,6.0,78.0,3082.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,1.0,0.0,2.0
322.0,2949.0,129.0,36.0,231.0,60.0,168.0,5510.0,19.0,115.0,9.0,1.0,52.0,2.0,7.0,0.0,365.0,16.0,0.0,9.0
1775.0,327.0,962.0,240.0,581.0,569.0,386.0,1001.0,201.0,973.0,107.0,33.0,423.0,9.0,113.0,1.0,2022.0,62.0,4.0,211.0
1619.0,63.0,1129.0,420.0,480.0,789.0,322.0,258.0,358.0,1099.0,237.0,100.0,635.0,43.0,248.0,7.0,1781.0,57.0,6.0,349.0
1404.0,21.0,1095.0,499.0,399.0,918.0,322.0,80.0,516.0,1199.0,329.0,164.0,771.0,77.0,345.0,16.0,1309.0,57.0,23.0,456.0
1134.0,4.0,1076.0,650.0,358.0,949.0,250.0,41.0,589.0,1130.0,447.0,210.0,787.0,109.0,450.0,30.0,1112.0,64.0,35.0,575.0
816.0,1.0,994.0,747.0,378.0,956.0,287.0,19.0,682.0,1046.0,514.0,306.0,883.0,182.0,591.0,43.0,786.0,71.0,62.0,636.0
726.0,1.0,870.0,825.0,310.0,935.0,309.0,3.0,713.0,909.0,595.0,423.0,854.0,210.0,648.0,75.0,674.0,82.0,94.0,744.0
574.0,0.0,810.0,905.0,312.0,877.0,308.0,1.0,828.0,741.0,733.0,500.0,848.0,292.0,698.0,94.0,504.0,92.0,125.0,758.0
462.0,0.0,673.0,897.0,361.0,809.0,315.0,3.0,803.0,630.0,764.0,563.0,870.0,400.0,758.0,149.0,403.0,140.0,213.0,787.0
329.0,0.0,589.0,801.0,364.0,708.0,332.0,2.0,860.0,592.0,855.0,707.0,815.0,549.0,807.0,192.0,307.0,135.0,238.0,818.0
257.0,0.0,446.0,822.0,412.0,625.0,351.0,0.0,895.0,470.0,807.0,788.0,738.0,608.0,863.0,310.0,248.0,163.0,339.0,858.0
198.0,0.0,384.0,780.0,433.0,532.0,361.0,0.0,828.0,326.0,894.0,910.0,608.0,779.0,885.0,425.0,164.0,184.0,479.0,830.0
124.0,0.0,295.0,669.0,443.0,417.0,473.0,0.0,770.0,287.0,889.0,993.0,534.0,905.0,870.0,611.0,113.0,216.0,631.0,760.0
105.0,0.0,215.0,603.0,531.0,325.0,482.0,0.0,637.0,190.0,847.0,1022.0,430.0,1107.0,806.0,860.0,80.0,279.0,823.0,658.0
56.0,0.0,162.0,483.0,575.0,243.0,561.0,0.0,489.0,132.0,687.0,1068.0,322.0,1253.0,703.0,1092.0,50.0,386.0,1179.0,559.0
37.0,0.0,86.0,316.0,676.0,155.0,733.0,0.0,416.0,83.0,622.0,887.0,238.0,1219.0,548.0,1516.0,21.0,480.0,1510.0,457.0
15.0,0.0,51.0,183.0,810.0,78.0,949.0,0.0,235.0,41.0,405.0,713.0,128.0,1182.0,387.0,1942.0,13.0,747.0,1805.0,316.0
4.0,0.0,19.0,96.0,1214.0,39.0,1484.0,0.0,128.0,22.0,193.0,463.0,53.0,798.0,221.0,1869.0,4.0,1508.0,1718.0,167.0
0.0,0.0,4.0,28.0,1045.0,10.0,1529.0,0.0,32.0,5.0,66.0,149.0,9.0,276.0,52.0,768.0,1.0,5260.0,716.0,50.0
