Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
5572.0,4406.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4259.0,5412.0,171.0,102.0,48.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,161.0,4114.0,2940.0,1914.0,315.0,102.0,8.0,192.0,10.0,90.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,17.0,2715.0,3045.0,2292.0,769.0,315.0,37.0,490.0,57.0,234.0,0.0,7.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0
3.0,3.0,1626.0,1967.0,2346.0,1408.0,694.0,104.0,956.0,195.0,640.0,7.0,29.0,5.0,4.0,2.0,11.0,0.0,0.0,0.0
0.0,1.0,726.0,1053.0,1497.0,1961.0,1187.0,287.0,1524.0,407.0,1164.0,15.0,101.0,16.0,24.0,4.0,33.0,0.0,0.0,0.0
0.0,0.0,352.0,449.0,913.0,1781.0,1481.0,505.0,1704.0,770.0,1528.0,38.0,253.0,44.0,58.0,12.0,107.0,1.0,4.0,0.0
0.0,0.0,160.0,243.0,502.0,1452.0,1585.0,792.0,1558.0,1120.0,1615.0,99.0,419.0,107.0,119.0,28.0,191.0,3.0,7.0,0.0
0.0,0.0,71.0,129.0,271.0,902.0,1501.0,1112.0,1246.0,1562.0,1456.0,154.0,692.0,204.0,242.0,64.0,382.0,2.0,10.0,0.0
0.0,0.0,29.0,46.0,121.0,655.0,1213.0,1399.0,908.0,1626.0,1161.0,325.0,1018.0,372.0,394.0,125.0,544.0,16.0,48.0,0.0
0.0,0.0,17.0,15.0,57.0,381.0,775.0,1588.0,644.0,1414.0,868.0,527.0,1343.0,542.0,632.0,242.0,836.0,36.0,83.0,0.0
0.0,0.0,5.0,6.0,27.0,194.0,516.0,1433.0,385.0,1051.0,553.0,773.0,1552.0,784.0,896.0,482.0,1082.0,82.0,179.0,0.0
0.0,0.0,0.0,1.0,6.0,86.0,314.0,1078.0,211.0,726.0,337.0,1011.0,1418.0,1038.0,1235.0,744.0,1292.0,199.0,304.0,0.0
0.0,0.0,0.0,0.0,2.0,59.0,165.0,720.0,107.0,481.0,183.0,1352.0,1130.0,1290.0,1310.0,1004.0,1374.0,331.0,492.0,0.0
0.0,0.0,0.0,0.0,0.0,20.0,90.0,486.0,47.0,285.0,102.0,1454.0,818.0,1462.0,1341.0,1303.0,1274.0,574.0,744.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,33.0,259.0,23.0,160.0,42.0,1494.0,604.0,1343.0,1306.0,1549.0,1124.0,941.0,1109.0,4.0
0.0,0.0,0.0,0.0,0.0,3.0,21.0,130.0,3.0,89.0,16.0,1314.0,352.0,1204.0,1130.0,1715.0,910.0,1454.0,1638.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,1.0,43.0,8.0,946.0,178.0,1012.0,851.0,1637.0,568.0,2418.0,2228.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,4.0,2.0,483.0,83.0,564.0,445.0,1054.0,264.0,3760.0,3016.0,313.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,12.0,35.0,4.0,183.0,138.0,9609.0
