AS Roma,Internazionale,Lecce,Napoli,AC Milan,Atalanta,Cagliari,Juventus,Lazio,Como,Udinese,Sassuolo,Torino,Bologna,Frosinone,Parma,Genoa,Venezia,Monza,Fiorentina
1389.0,6590.0,0.0,288.0,46.0,65.0,0.0,476.0,2.0,1142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2709.0,2012.0,0.0,950.0,251.0,257.0,0.0,1368.0,6.0,2427.0,5.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,3.0,0.0
2264.0,830.0,1.0,1493.0,559.0,622.0,4.0,1796.0,29.0,2355.0,17.0,3.0,0.0,5.0,11.0,0.0,1.0,3.0,7.0,0.0
1648.0,361.0,0.0,1879.0,1022.0,957.0,8.0,2106.0,97.0,1799.0,44.0,15.0,1.0,23.0,13.0,0.0,0.0,7.0,19.0,1.0
1060.0,143.0,4.0,2122.0,1522.0,1556.0,23.0,1768.0,264.0,1185.0,151.0,39.0,4.0,96.0,22.0,0.0,10.0,11.0,10.0,10.0
568.0,49.0,9.0,1539.0,2214.0,2127.0,60.0,1326.0,561.0,639.0,336.0,135.0,7.0,268.0,34.0,3.0,33.0,14.0,39.0,39.0
260.0,11.0,50.0,1002.0,2087.0,2067.0,202.0,730.0,1144.0,314.0,837.0,333.0,36.0,556.0,65.0,7.0,107.0,47.0,57.0,88.0
66.0,3.0,114.0,436.0,1171.0,1170.0,496.0,277.0,1933.0,102.0,1475.0,708.0,115.0,1116.0,107.0,26.0,254.0,78.0,84.0,269.0
23.0,1.0,216.0,170.0,540.0,610.0,832.0,91.0,1714.0,29.0,1599.0,1113.0,285.0,1404.0,169.0,62.0,442.0,90.0,127.0,483.0
8.0,0.0,406.0,70.0,299.0,295.0,1080.0,39.0,1258.0,6.0,1474.0,1265.0,420.0,1434.0,201.0,113.0,651.0,141.0,163.0,677.0
2.0,0.0,572.0,32.0,144.0,130.0,1152.0,15.0,983.0,1.0,1186.0,1258.0,614.0,1352.0,238.0,226.0,905.0,152.0,178.0,860.0
1.0,0.0,786.0,12.0,81.0,69.0,1248.0,5.0,716.0,1.0,903.0,1192.0,841.0,1120.0,264.0,330.0,1026.0,202.0,225.0,978.0
1.0,0.0,926.0,5.0,33.0,32.0,1131.0,2.0,491.0,0.0,682.0,1117.0,1026.0,881.0,300.0,538.0,1197.0,240.0,294.0,1104.0
1.0,0.0,1191.0,0.0,15.0,20.0,1068.0,1.0,344.0,0.0,521.0,869.0,1119.0,638.0,358.0,789.0,1217.0,310.0,275.0,1264.0
0.0,0.0,1346.0,2.0,8.0,16.0,955.0,0.0,235.0,0.0,342.0,718.0,1274.0,467.0,430.0,1069.0,1175.0,371.0,385.0,1207.0
0.0,0.0,1427.0,0.0,7.0,4.0,769.0,0.0,120.0,0.0,214.0,547.0,1355.0,329.0,639.0,1450.0,1072.0,495.0,447.0,1125.0
0.0,0.0,1317.0,0.0,1.0,1.0,530.0,0.0,75.0,0.0,141.0,414.0,1337.0,184.0,822.0,1919.0,936.0,717.0,679.0,927.0
0.0,0.0,1078.0,0.0,0.0,1.0,294.0,0.0,20.0,0.0,49.0,185.0,949.0,80.0,1483.0,1867.0,637.0,1427.0,1326.0,604.0
0.0,0.0,437.0,0.0,0.0,1.0,119.0,0.0,8.0,0.0,18.0,74.0,477.0,34.0,2342.0,1207.0,287.0,2344.0,2352.0,300.0
0.0,0.0,120.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,15.0,140.0,8.0,2498.0,394.0,49.0,3349.0,3329.0,64.0
