Marseille,Lens,Lille,Lyon,AS Monaco,Brest,Le Mans,Paris Saint-Germain,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
432.0,2775.0,370.0,203.0,56.0,0.0,61.0,6023.0,37.0,2.0,0.0,1.0,28.0,0.0,1.0,0.0,0.0,11.0
1141.0,3813.0,1076.0,736.0,204.0,0.0,88.0,2578.0,211.0,11.0,0.0,28.0,49.0,0.0,5.0,0.0,1.0,59.0
2016.0,1757.0,2069.0,1405.0,596.0,3.0,150.0,876.0,583.0,86.0,0.0,105.0,77.0,1.0,38.0,0.0,5.0,233.0
1973.0,816.0,1903.0,1742.0,944.0,17.0,167.0,334.0,976.0,211.0,0.0,226.0,129.0,3.0,100.0,0.0,18.0,441.0
1480.0,450.0,1597.0,1755.0,1242.0,49.0,207.0,126.0,1278.0,382.0,1.0,380.0,149.0,14.0,172.0,0.0,57.0,661.0
1147.0,221.0,1103.0,1456.0,1395.0,104.0,243.0,43.0,1473.0,608.0,5.0,623.0,185.0,35.0,341.0,3.0,100.0,915.0
680.0,93.0,772.0,995.0,1521.0,174.0,268.0,11.0,1429.0,897.0,10.0,880.0,250.0,69.0,555.0,5.0,213.0,1178.0
499.0,40.0,482.0,691.0,1243.0,368.0,362.0,6.0,1273.0,1045.0,27.0,1090.0,263.0,159.0,802.0,7.0,339.0,1304.0
280.0,21.0,282.0,460.0,950.0,495.0,384.0,2.0,943.0,1275.0,56.0,1314.0,346.0,280.0,1031.0,36.0,527.0,1318.0
162.0,11.0,157.0,261.0,682.0,754.0,449.0,1.0,662.0,1360.0,126.0,1345.0,431.0,456.0,1188.0,57.0,767.0,1131.0
90.0,2.0,102.0,130.0,502.0,1031.0,528.0,0.0,463.0,1202.0,246.0,1252.0,499.0,629.0,1309.0,147.0,939.0,929.0
57.0,1.0,57.0,89.0,317.0,1264.0,551.0,0.0,306.0,1013.0,461.0,988.0,555.0,964.0,1308.0,245.0,1162.0,662.0
25.0,0.0,21.0,43.0,199.0,1427.0,640.0,0.0,189.0,781.0,688.0,728.0,647.0,1270.0,1047.0,440.0,1390.0,465.0
13.0,0.0,6.0,19.0,88.0,1435.0,707.0,0.0,99.0,505.0,1055.0,519.0,736.0,1497.0,888.0,713.0,1364.0,356.0
3.0,0.0,3.0,14.0,41.0,1182.0,883.0,0.0,54.0,326.0,1511.0,266.0,907.0,1564.0,592.0,1214.0,1257.0,183.0
2.0,0.0,0.0,0.0,12.0,876.0,930.0,0.0,18.0,199.0,1971.0,165.0,996.0,1495.0,384.0,1897.0,963.0,92.0
0.0,0.0,0.0,1.0,8.0,586.0,1260.0,0.0,4.0,74.0,2193.0,69.0,1348.0,1051.0,183.0,2550.0,620.0,53.0
0.0,0.0,0.0,0.0,0.0,235.0,2122.0,0.0,2.0,23.0,1650.0,21.0,2405.0,513.0,56.0,2686.0,278.0,9.0
