Millwall,West Bromwich Albion,Charlton Athletic,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,Portsmouth,Middlesbrough,Cardiff City,Wrexham,Birmingham City,Sheffield United,West Ham United,Derby County,Burnley,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1628.0,24.0,2.0,3237.0,5.0,2.0,1.0,41.0,120.0,0.0,618.0,90.0,37.0,18.0,37.0,1557.0,54.0,1383.0,6.0,28.0,0.0,1.0,42.0,1069.0
2247.0,78.0,18.0,1366.0,26.0,5.0,5.0,110.0,173.0,5.0,1263.0,123.0,111.0,86.0,130.0,1077.0,178.0,1020.0,25.0,43.0,2.0,2.0,104.0,1803.0
1947.0,186.0,50.0,836.0,42.0,21.0,25.0,237.0,172.0,17.0,1568.0,142.0,215.0,163.0,263.0,819.0,357.0,805.0,56.0,57.0,5.0,5.0,215.0,1797.0
1423.0,292.0,93.0,651.0,89.0,60.0,41.0,403.0,184.0,35.0,1522.0,174.0,363.0,301.0,401.0,661.0,528.0,635.0,110.0,49.0,12.0,12.0,356.0,1605.0
957.0,463.0,166.0,508.0,138.0,111.0,71.0,586.0,209.0,55.0,1351.0,176.0,550.0,383.0,555.0,579.0,757.0,554.0,144.0,80.0,19.0,19.0,496.0,1073.0
652.0,567.0,214.0,427.0,243.0,150.0,126.0,671.0,230.0,86.0,1006.0,183.0,629.0,524.0,660.0,492.0,853.0,444.0,246.0,79.0,36.0,41.0,621.0,820.0
414.0,720.0,317.0,302.0,272.0,195.0,162.0,776.0,213.0,114.0,743.0,177.0,752.0,598.0,771.0,417.0,821.0,409.0,314.0,100.0,68.0,77.0,721.0,547.0
273.0,765.0,350.0,280.0,381.0,305.0,253.0,817.0,199.0,162.0,529.0,174.0,756.0,647.0,776.0,346.0,831.0,355.0,416.0,102.0,94.0,94.0,722.0,373.0
141.0,749.0,402.0,252.0,461.0,333.0,304.0,817.0,219.0,224.0,347.0,194.0,763.0,669.0,780.0,314.0,818.0,343.0,457.0,97.0,128.0,122.0,784.0,282.0
105.0,756.0,512.0,224.0,539.0,387.0,335.0,752.0,222.0,254.0,292.0,198.0,750.0,704.0,765.0,296.0,709.0,325.0,502.0,111.0,163.0,152.0,731.0,216.0
78.0,713.0,598.0,180.0,585.0,483.0,383.0,663.0,210.0,357.0,203.0,194.0,715.0,734.0,702.0,272.0,703.0,279.0,576.0,109.0,218.0,204.0,714.0,127.0
51.0,746.0,669.0,206.0,648.0,488.0,482.0,695.0,240.0,398.0,156.0,186.0,635.0,697.0,610.0,257.0,535.0,260.0,620.0,142.0,277.0,262.0,648.0,92.0
32.0,654.0,652.0,159.0,656.0,576.0,553.0,576.0,263.0,468.0,133.0,209.0,583.0,695.0,652.0,235.0,506.0,251.0,628.0,132.0,350.0,333.0,634.0,70.0
14.0,582.0,661.0,160.0,677.0,642.0,564.0,544.0,251.0,584.0,88.0,235.0,587.0,611.0,547.0,270.0,475.0,224.0,689.0,155.0,406.0,387.0,600.0,47.0
15.0,555.0,671.0,144.0,675.0,702.0,647.0,488.0,255.0,629.0,72.0,237.0,515.0,610.0,501.0,217.0,438.0,241.0,701.0,153.0,461.0,503.0,535.0,35.0
10.0,457.0,760.0,139.0,734.0,761.0,705.0,431.0,313.0,660.0,42.0,279.0,470.0,528.0,402.0,201.0,377.0,245.0,718.0,177.0,530.0,566.0,471.0,24.0
8.0,417.0,739.0,118.0,687.0,791.0,767.0,415.0,340.0,736.0,31.0,304.0,386.0,497.0,376.0,236.0,286.0,233.0,691.0,204.0,666.0,636.0,427.0,9.0
3.0,354.0,699.0,118.0,704.0,762.0,829.0,278.0,373.0,856.0,11.0,337.0,369.0,425.0,287.0,229.0,277.0,246.0,680.0,254.0,782.0,790.0,333.0,4.0
1.0,300.0,696.0,124.0,687.0,782.0,840.0,260.0,426.0,925.0,9.0,365.0,286.0,371.0,284.0,213.0,194.0,245.0,639.0,277.0,890.0,911.0,272.0,3.0
1.0,273.0,561.0,110.0,603.0,791.0,820.0,176.0,474.0,949.0,7.0,440.0,211.0,290.0,224.0,224.0,128.0,264.0,606.0,401.0,1104.0,1116.0,225.0,2.0
0.0,171.0,534.0,129.0,494.0,702.0,831.0,132.0,649.0,949.0,6.0,631.0,168.0,211.0,149.0,298.0,82.0,283.0,503.0,510.0,1223.0,1178.0,166.0,1.0
0.0,111.0,342.0,138.0,369.0,520.0,691.0,82.0,1050.0,810.0,2.0,986.0,94.0,146.0,75.0,293.0,60.0,323.0,394.0,914.0,1274.0,1215.0,110.0,1.0
0.0,58.0,227.0,123.0,226.0,328.0,418.0,30.0,1567.0,556.0,1.0,1725.0,41.0,84.0,41.0,307.0,29.0,389.0,213.0,1687.0,937.0,955.0,58.0,0.0
0.0,9.0,67.0,69.0,59.0,103.0,147.0,20.0,1648.0,171.0,0.0,2241.0,14.0,8.0,12.0,190.0,4.0,244.0,66.0,4139.0,355.0,419.0,15.0,0.0
