Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9760.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,9551.0,143.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,184.0,6621.0,2373.0,459.0,338.0,13.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,24.0,2275.0,4724.0,1575.0,1146.0,106.0,92.0,15.0,32.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,703.0,1937.0,2937.0,2808.0,607.0,514.0,123.0,271.0,44.0,40.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,209.0,681.0,2405.0,2700.0,1431.0,1130.0,339.0,706.0,180.0,135.0,71.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,42.0,172.0,1362.0,1396.0,2142.0,1754.0,813.0,1311.0,357.0,387.0,210.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,37.0,652.0,811.0,1858.0,1838.0,1198.0,1721.0,625.0,704.0,453.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,10.0,348.0,391.0,1495.0,1724.0,1491.0,1697.0,905.0,1060.0,694.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,154.0,239.0,1071.0,1318.0,1767.0,1468.0,1222.0,1381.0,1029.0,334.0,13.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,70.0,110.0,669.0,819.0,1635.0,1187.0,1609.0,1748.0,1482.0,639.0,26.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,27.0,45.0,384.0,531.0,1325.0,878.0,2003.0,1779.0,1880.0,1020.0,95.0,29.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,14.0,160.0,212.0,947.0,550.0,1939.0,1665.0,2328.0,1733.0,315.0,103.0,18.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,63.0,56.0,316.0,147.0,962.0,940.0,1460.0,4243.0,1135.0,469.0,158.0,50.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,29.0,27.0,133.0,136.0,326.0,1332.0,4361.0,2045.0,1289.0,317.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,23.0,49.0,316.0,2367.0,3878.0,2418.0,932.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,32.0,1243.0,2567.0,3672.0,2479.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,900.0,2425.0,6163.0,39.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,53.0,7018.0,2912.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941.0,7059.0
