Flamengo,Palmeiras,Athletico Paranaense,Bahia,Fluminense,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,Botafogo,São Paulo,Vitória,Corinthians,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7118.0,2880.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2863.0,7035.0,79.0,4.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,76.0,5009.0,1283.0,2401.0,945.0,226.0,9.0,9.0,1.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,2540.0,2029.0,2912.0,1682.0,591.0,26.0,56.0,22.0,104.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1349.0,2384.0,2249.0,2190.0,1075.0,130.0,187.0,85.0,251.0,82.0,5.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,627.0,2047.0,1351.0,2152.0,1925.0,357.0,461.0,188.0,601.0,233.0,12.0,23.0,17.0,1.0,5.0,0.0,0.0,0.0
0.0,0.0,288.0,1214.0,639.0,1575.0,2458.0,724.0,912.0,433.0,1058.0,506.0,50.0,93.0,39.0,0.0,9.0,2.0,0.0,0.0
0.0,0.0,75.0,556.0,272.0,784.0,1533.0,1217.0,1516.0,807.0,1670.0,1020.0,155.0,218.0,128.0,7.0,33.0,9.0,0.0,0.0
0.0,0.0,23.0,265.0,98.0,383.0,970.0,1534.0,1650.0,1114.0,1549.0,1342.0,246.0,415.0,265.0,31.0,84.0,31.0,0.0,0.0
0.0,0.0,8.0,125.0,41.0,167.0,610.0,1629.0,1560.0,1229.0,1421.0,1413.0,415.0,658.0,431.0,61.0,162.0,68.0,2.0,0.0
0.0,0.0,0.0,63.0,12.0,64.0,317.0,1454.0,1266.0,1314.0,1229.0,1510.0,644.0,940.0,636.0,123.0,285.0,142.0,1.0,0.0
0.0,0.0,0.0,23.0,7.0,37.0,151.0,1172.0,906.0,1388.0,901.0,1271.0,961.0,1267.0,905.0,259.0,451.0,296.0,5.0,0.0
0.0,0.0,0.0,7.0,2.0,12.0,95.0,809.0,667.0,1283.0,581.0,982.0,1201.0,1535.0,1217.0,445.0,661.0,485.0,18.0,0.0
0.0,0.0,0.0,0.0,2.0,4.0,37.0,495.0,400.0,951.0,348.0,705.0,1497.0,1500.0,1473.0,733.0,1030.0,774.0,51.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,7.0,264.0,236.0,596.0,173.0,484.0,1640.0,1300.0,1494.0,1104.0,1412.0,1182.0,107.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,120.0,114.0,361.0,72.0,262.0,1437.0,952.0,1414.0,1586.0,1795.0,1619.0,264.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,47.0,173.0,19.0,109.0,1069.0,665.0,1073.0,2174.0,1873.0,2042.0,705.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,49.0,4.0,39.0,574.0,366.0,756.0,2469.0,1611.0,2432.0,1653.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,6.0,92.0,63.0,147.0,998.0,581.0,911.0,6852.0,338.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,7.0,7.0,342.0,9633.0
