Arsenal,Manchester City,Brentford,Leeds United,Hull City,Brighton & Hove Albion,Chelsea,Liverpool,Everton,Ipswich Town,Nottingham Forest,Newcastle United,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5413.0,4065.0,85.0,36.0,4.0,186.0,14.0,56.0,14.0,0.0,18.0,6.0,79.0,1.0,19.0,0.0,1.0,1.0,2.0,0.0
3393.0,4228.0,375.0,213.0,17.0,575.0,127.0,305.0,103.0,0.0,81.0,49.0,406.0,11.0,84.0,2.0,2.0,5.0,24.0,0.0
717.0,996.0,1328.0,780.0,127.0,1620.0,426.0,1019.0,398.0,2.0,407.0,254.0,1307.0,76.0,355.0,24.0,18.0,47.0,99.0,0.0
263.0,359.0,1305.0,943.0,201.0,1438.0,568.0,1133.0,585.0,5.0,538.0,398.0,1262.0,143.0,515.0,49.0,29.0,81.0,185.0,0.0
117.0,173.0,1164.0,1038.0,325.0,1172.0,682.0,1027.0,661.0,19.0,649.0,503.0,1138.0,231.0,576.0,70.0,64.0,102.0,289.0,0.0
50.0,78.0,1024.0,954.0,362.0,997.0,694.0,1040.0,734.0,23.0,698.0,593.0,1039.0,286.0,705.0,109.0,69.0,192.0,353.0,0.0
22.0,50.0,917.0,942.0,459.0,842.0,820.0,920.0,690.0,48.0,711.0,643.0,907.0,351.0,752.0,176.0,117.0,240.0,393.0,0.0
18.0,14.0,733.0,846.0,548.0,730.0,822.0,815.0,773.0,69.0,809.0,709.0,725.0,452.0,763.0,211.0,185.0,287.0,491.0,0.0
5.0,16.0,623.0,729.0,593.0,540.0,783.0,805.0,817.0,96.0,803.0,712.0,701.0,535.0,791.0,275.0,230.0,399.0,547.0,0.0
1.0,9.0,565.0,731.0,675.0,478.0,802.0,621.0,781.0,104.0,800.0,787.0,541.0,600.0,799.0,329.0,311.0,441.0,625.0,0.0
1.0,7.0,511.0,625.0,728.0,359.0,788.0,520.0,754.0,195.0,821.0,769.0,485.0,685.0,730.0,437.0,345.0,532.0,708.0,0.0
0.0,1.0,408.0,470.0,854.0,315.0,708.0,439.0,739.0,257.0,697.0,764.0,386.0,801.0,773.0,489.0,485.0,645.0,769.0,0.0
0.0,1.0,289.0,468.0,816.0,257.0,712.0,374.0,657.0,356.0,639.0,755.0,307.0,849.0,699.0,626.0,617.0,748.0,830.0,0.0
0.0,2.0,222.0,383.0,838.0,177.0,594.0,303.0,606.0,476.0,640.0,726.0,240.0,943.0,656.0,770.0,695.0,849.0,880.0,0.0
0.0,1.0,177.0,319.0,844.0,135.0,481.0,230.0,563.0,658.0,505.0,685.0,205.0,958.0,568.0,906.0,869.0,1034.0,858.0,4.0
0.0,0.0,112.0,226.0,831.0,85.0,399.0,193.0,427.0,908.0,455.0,614.0,143.0,940.0,474.0,1162.0,1085.0,1046.0,894.0,6.0
0.0,0.0,104.0,155.0,770.0,48.0,325.0,118.0,334.0,1299.0,370.0,491.0,67.0,862.0,363.0,1364.0,1322.0,1157.0,833.0,18.0
0.0,0.0,47.0,106.0,626.0,34.0,177.0,56.0,222.0,2042.0,227.0,354.0,40.0,766.0,235.0,1472.0,1694.0,1162.0,684.0,56.0
0.0,0.0,11.0,36.0,379.0,12.0,77.0,26.0,140.0,3225.0,129.0,181.0,22.0,492.0,138.0,1455.0,1778.0,994.0,523.0,382.0
0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,218.0,3.0,7.0,0.0,18.0,5.0,74.0,84.0,38.0,13.0,9534.0
