FC Porto,Benfica,Sporting CP,Santa Clara,Estrela,Arouca,Braga,Académico de Viseu,Moreirense,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Rio Ave,Estoril,Casa Pia
3865.0,3486.0,2602.0,2.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3229.0,3265.0,3277.0,14.0,3.0,2.0,203.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2601.0,2830.0,3612.0,123.0,2.0,21.0,752.0,0.0,2.0,46.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0
274.0,384.0,467.0,1733.0,261.0,414.0,5310.0,21.0,33.0,671.0,4.0,33.0,17.0,331.0,28.0,3.0,16.0,0.0
24.0,29.0,35.0,2860.0,783.0,1087.0,1974.0,92.0,147.0,1547.0,11.0,127.0,82.0,980.0,111.0,15.0,94.0,2.0
6.0,3.0,6.0,1885.0,1138.0,1433.0,875.0,209.0,316.0,1815.0,44.0,264.0,191.0,1341.0,254.0,34.0,183.0,3.0
1.0,0.0,0.0,1204.0,1348.0,1423.0,431.0,391.0,486.0,1571.0,88.0,448.0,307.0,1453.0,409.0,96.0,337.0,7.0
0.0,3.0,0.0,846.0,1314.0,1344.0,204.0,537.0,652.0,1246.0,164.0,578.0,428.0,1429.0,615.0,142.0,488.0,10.0
0.0,0.0,1.0,527.0,1214.0,1059.0,111.0,702.0,846.0,921.0,271.0,820.0,643.0,1188.0,781.0,243.0,647.0,26.0
0.0,0.0,0.0,303.0,1010.0,948.0,41.0,908.0,940.0,694.0,378.0,930.0,784.0,945.0,881.0,369.0,814.0,55.0
0.0,0.0,0.0,214.0,862.0,755.0,30.0,958.0,1029.0,509.0,528.0,1017.0,984.0,720.0,940.0,478.0,897.0,79.0
0.0,0.0,0.0,143.0,684.0,533.0,13.0,1142.0,1018.0,355.0,667.0,1091.0,1014.0,574.0,1073.0,604.0,950.0,139.0
0.0,0.0,0.0,80.0,532.0,374.0,8.0,1123.0,1029.0,246.0,856.0,1107.0,1111.0,385.0,1083.0,843.0,1011.0,212.0
0.0,0.0,0.0,36.0,357.0,289.0,2.0,1064.0,1000.0,161.0,1044.0,1047.0,1154.0,267.0,1038.0,1048.0,1156.0,337.0
0.0,0.0,0.0,20.0,231.0,148.0,1.0,1005.0,912.0,116.0,1418.0,965.0,1063.0,175.0,943.0,1346.0,1077.0,580.0
0.0,0.0,0.0,5.0,154.0,94.0,1.0,887.0,814.0,64.0,1653.0,755.0,976.0,122.0,866.0,1595.0,1041.0,973.0
0.0,0.0,0.0,4.0,84.0,59.0,0.0,665.0,577.0,30.0,1772.0,569.0,823.0,63.0,676.0,1892.0,886.0,1900.0
0.0,0.0,0.0,1.0,23.0,17.0,0.0,296.0,198.0,3.0,1102.0,249.0,423.0,16.0,301.0,1292.0,402.0,5677.0
