PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,Ajax Amsterdam,FC Twente,FC Groningen,Excelsior,Fortuna Sittard,Go Ahead Eagles,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7822.0,332.0,907.0,586.0,323.0,11.0,5.0,0.0,7.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1454.0,1456.0,3105.0,2406.0,1233.0,84.0,49.0,7.0,59.0,115.0,9.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0
467.0,1955.0,2364.0,2376.0,1766.0,286.0,144.0,30.0,204.0,294.0,35.0,2.0,8.0,69.0,0.0,0.0,0.0,0.0
178.0,2026.0,1576.0,1908.0,2055.0,531.0,313.0,129.0,403.0,546.0,153.0,8.0,36.0,137.0,0.0,1.0,0.0,0.0
61.0,1696.0,1014.0,1229.0,1895.0,922.0,644.0,245.0,684.0,932.0,255.0,17.0,79.0,327.0,0.0,0.0,0.0,0.0
13.0,1090.0,496.0,693.0,1142.0,1343.0,992.0,435.0,1134.0,1311.0,556.0,62.0,173.0,558.0,0.0,2.0,0.0,0.0
4.0,622.0,287.0,377.0,678.0,1444.0,1161.0,643.0,1263.0,1463.0,761.0,118.0,327.0,841.0,2.0,9.0,0.0,0.0
1.0,388.0,125.0,214.0,383.0,1367.0,1368.0,843.0,1336.0,1310.0,935.0,186.0,458.0,1059.0,5.0,22.0,0.0,0.0
0.0,198.0,64.0,114.0,249.0,1189.0,1236.0,1099.0,1282.0,1249.0,1106.0,295.0,697.0,1180.0,12.0,30.0,0.0,0.0
0.0,128.0,31.0,62.0,137.0,999.0,1195.0,1246.0,1126.0,972.0,1332.0,495.0,875.0,1289.0,30.0,77.0,0.0,6.0
0.0,58.0,17.0,20.0,84.0,788.0,1034.0,1440.0,954.0,791.0,1376.0,700.0,1165.0,1320.0,57.0,182.0,4.0,10.0
0.0,41.0,10.0,10.0,36.0,539.0,839.0,1461.0,755.0,513.0,1329.0,1203.0,1515.0,1255.0,122.0,340.0,7.0,25.0
0.0,8.0,4.0,4.0,14.0,320.0,600.0,1214.0,456.0,320.0,1134.0,1877.0,1897.0,1005.0,318.0,692.0,46.0,91.0
0.0,2.0,0.0,0.0,4.0,136.0,302.0,816.0,262.0,138.0,682.0,2539.0,1662.0,636.0,881.0,1537.0,145.0,258.0
0.0,0.0,0.0,1.0,1.0,34.0,93.0,301.0,62.0,38.0,249.0,1505.0,770.0,234.0,2267.0,2997.0,554.0,894.0
0.0,0.0,0.0,0.0,0.0,7.0,21.0,81.0,10.0,4.0,73.0,722.0,252.0,50.0,3170.0,2365.0,1325.0,1920.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,3.0,0.0,12.0,222.0,71.0,15.0,2095.0,1209.0,2868.0,3492.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,49.0,13.0,1.0,1041.0,537.0,5051.0,3304.0
