Barcelona,Alavés,Real Madrid,Real Betis,Deportivo La Coruña,Atlético Madrid,Sevilla,Osasuna,Real Sociedad,Athletic Club,Levante,Espanyol,Racing Santander,Rayo Vallecano,Getafe,Celta Vigo,Villarreal,Málaga,Elche,Valencia
8423.0,9.0,1430.0,51.0,1.0,49.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
1397.0,325.0,6263.0,714.0,36.0,599.0,29.0,71.0,79.0,25.0,25.0,6.0,1.0,33.0,13.0,28.0,352.0,0.0,1.0,3.0
137.0,1017.0,1371.0,2110.0,214.0,1952.0,225.0,352.0,439.0,189.0,145.0,69.0,6.0,207.0,83.0,178.0,1262.0,0.0,25.0,19.0
25.0,1203.0,482.0,1740.0,365.0,1685.0,401.0,454.0,655.0,329.0,269.0,148.0,17.0,341.0,169.0,281.0,1347.0,0.0,48.0,41.0
14.0,1125.0,226.0,1362.0,474.0,1293.0,522.0,627.0,820.0,436.0,362.0,238.0,25.0,430.0,253.0,402.0,1245.0,0.0,88.0,58.0
2.0,1046.0,98.0,1027.0,586.0,1065.0,615.0,745.0,772.0,519.0,491.0,320.0,61.0,539.0,329.0,471.0,1086.0,0.0,125.0,103.0
1.0,940.0,50.0,736.0,648.0,806.0,664.0,764.0,865.0,613.0,578.0,395.0,84.0,592.0,402.0,595.0,949.0,0.0,166.0,152.0
1.0,782.0,34.0,573.0,661.0,620.0,681.0,816.0,878.0,676.0,653.0,500.0,88.0,684.0,494.0,657.0,757.0,0.0,241.0,204.0
0.0,699.0,20.0,461.0,775.0,537.0,738.0,762.0,794.0,732.0,616.0,520.0,150.0,735.0,546.0,738.0,642.0,1.0,315.0,219.0
0.0,620.0,16.0,322.0,714.0,343.0,810.0,812.0,736.0,738.0,731.0,658.0,231.0,725.0,653.0,728.0,521.0,2.0,335.0,305.0
0.0,556.0,4.0,258.0,781.0,291.0,796.0,786.0,725.0,763.0,731.0,653.0,275.0,782.0,650.0,713.0,444.0,7.0,423.0,362.0
0.0,419.0,5.0,221.0,737.0,243.0,728.0,726.0,674.0,741.0,762.0,708.0,379.0,777.0,788.0,708.0,379.0,6.0,539.0,460.0
0.0,343.0,0.0,154.0,807.0,170.0,725.0,636.0,596.0,744.0,743.0,769.0,398.0,771.0,808.0,822.0,280.0,9.0,627.0,598.0
0.0,294.0,1.0,90.0,745.0,115.0,712.0,587.0,511.0,767.0,798.0,810.0,590.0,690.0,812.0,746.0,222.0,29.0,760.0,721.0
0.0,225.0,0.0,83.0,644.0,99.0,629.0,532.0,463.0,683.0,792.0,872.0,759.0,694.0,851.0,715.0,180.0,48.0,875.0,856.0
0.0,160.0,0.0,48.0,593.0,69.0,556.0,489.0,369.0,693.0,725.0,864.0,969.0,623.0,873.0,652.0,124.0,102.0,1058.0,1033.0
0.0,120.0,0.0,27.0,541.0,37.0,504.0,370.0,267.0,577.0,637.0,901.0,1267.0,602.0,796.0,673.0,102.0,187.0,1180.0,1212.0
0.0,74.0,0.0,16.0,395.0,16.0,382.0,282.0,224.0,441.0,527.0,854.0,1737.0,426.0,745.0,492.0,57.0,437.0,1432.0,1463.0
0.0,39.0,0.0,7.0,260.0,11.0,232.0,168.0,109.0,293.0,362.0,592.0,2295.0,307.0,605.0,345.0,20.0,1259.0,1364.0,1732.0
0.0,4.0,0.0,0.0,23.0,0.0,51.0,21.0,20.0,39.0,53.0,122.0,668.0,42.0,130.0,56.0,1.0,7913.0,398.0,459.0
