West Ham United,Swansea City,Middlesbrough,Queens Park Rangers,Bristol City,West Bromwich Albion,Charlton Athletic,Millwall,Sheffield United,Wolverhampton Wanderers,Watford,Southampton,Wrexham,Birmingham City,Stoke City,Norwich City,Portsmouth,Blackburn Rovers,Lincoln City,Cardiff City,Derby County,Bolton Wanderers,Burnley,Preston North End
4341.0,181.0,879.0,38.0,154.0,55.0,9.0,419.0,54.0,2535.0,2.0,1037.0,47.0,65.0,6.0,124.0,2.0,3.0,0.0,0.0,32.0,0.0,17.0,0.0
2226.0,407.0,1349.0,94.0,264.0,124.0,54.0,787.0,145.0,2323.0,23.0,1480.0,146.0,179.0,23.0,257.0,12.0,3.0,0.0,0.0,71.0,0.0,31.0,2.0
1284.0,568.0,1414.0,188.0,463.0,250.0,117.0,955.0,283.0,1604.0,42.0,1513.0,268.0,288.0,55.0,425.0,23.0,15.0,0.0,0.0,148.0,0.0,94.0,3.0
789.0,679.0,1358.0,312.0,568.0,373.0,159.0,1106.0,383.0,1062.0,76.0,1241.0,353.0,425.0,88.0,561.0,52.0,27.0,0.0,0.0,233.0,0.0,149.0,6.0
487.0,780.0,1073.0,389.0,740.0,462.0,252.0,967.0,445.0,755.0,126.0,1012.0,468.0,487.0,157.0,746.0,90.0,40.0,2.0,0.0,294.0,0.0,207.0,21.0
301.0,807.0,892.0,440.0,775.0,530.0,345.0,955.0,554.0,503.0,156.0,796.0,531.0,633.0,213.0,701.0,109.0,71.0,5.0,0.0,386.0,0.0,261.0,36.0
207.0,860.0,638.0,520.0,778.0,630.0,334.0,835.0,634.0,341.0,204.0,664.0,617.0,678.0,273.0,697.0,165.0,91.0,4.0,2.0,431.0,0.0,354.0,43.0
118.0,851.0,558.0,568.0,733.0,656.0,431.0,708.0,643.0,235.0,250.0,534.0,687.0,683.0,326.0,741.0,205.0,127.0,4.0,2.0,493.0,0.0,382.0,65.0
82.0,724.0,436.0,564.0,747.0,671.0,436.0,596.0,702.0,205.0,314.0,408.0,717.0,710.0,403.0,748.0,272.0,175.0,12.0,8.0,515.0,0.0,460.0,95.0
64.0,675.0,359.0,639.0,689.0,637.0,566.0,526.0,716.0,132.0,434.0,302.0,710.0,692.0,421.0,699.0,348.0,215.0,19.0,9.0,526.0,1.0,496.0,125.0
34.0,621.0,265.0,654.0,637.0,655.0,599.0,481.0,670.0,85.0,471.0,264.0,679.0,683.0,483.0,644.0,375.0,280.0,27.0,23.0,645.0,4.0,577.0,144.0
32.0,548.0,232.0,725.0,588.0,708.0,654.0,361.0,668.0,61.0,509.0,207.0,696.0,630.0,579.0,601.0,406.0,327.0,39.0,36.0,627.0,5.0,568.0,193.0
12.0,463.0,170.0,679.0,594.0,675.0,701.0,321.0,660.0,51.0,552.0,135.0,639.0,617.0,579.0,545.0,542.0,407.0,46.0,39.0,657.0,7.0,668.0,241.0
7.0,399.0,118.0,644.0,449.0,669.0,685.0,271.0,588.0,40.0,669.0,130.0,642.0,610.0,639.0,537.0,588.0,460.0,96.0,56.0,692.0,16.0,682.0,313.0
7.0,390.0,94.0,638.0,445.0,619.0,685.0,194.0,582.0,22.0,691.0,99.0,592.0,533.0,723.0,461.0,647.0,543.0,118.0,76.0,674.0,26.0,702.0,439.0
6.0,308.0,50.0,575.0,350.0,501.0,702.0,172.0,555.0,15.0,821.0,67.0,560.0,513.0,781.0,387.0,675.0,710.0,174.0,115.0,703.0,36.0,703.0,521.0
0.0,234.0,48.0,571.0,302.0,467.0,744.0,128.0,479.0,14.0,873.0,37.0,394.0,416.0,786.0,352.0,801.0,757.0,280.0,181.0,677.0,67.0,769.0,623.0
2.0,183.0,34.0,521.0,259.0,422.0,707.0,99.0,391.0,8.0,868.0,34.0,402.0,358.0,791.0,276.0,907.0,890.0,345.0,288.0,570.0,113.0,719.0,813.0
0.0,139.0,15.0,447.0,191.0,314.0,603.0,58.0,333.0,5.0,783.0,19.0,316.0,316.0,786.0,196.0,998.0,1050.0,543.0,439.0,510.0,199.0,689.0,1051.0
1.0,82.0,9.0,366.0,144.0,253.0,520.0,33.0,252.0,0.0,790.0,15.0,233.0,235.0,698.0,150.0,936.0,1138.0,904.0,730.0,461.0,279.0,556.0,1215.0
0.0,64.0,6.0,246.0,81.0,193.0,352.0,15.0,161.0,4.0,654.0,4.0,165.0,142.0,568.0,94.0,831.0,1154.0,1350.0,1112.0,350.0,629.0,445.0,1380.0
0.0,20.0,3.0,117.0,37.0,92.0,211.0,10.0,72.0,0.0,389.0,0.0,90.0,84.0,398.0,32.0,590.0,858.0,2108.0,1921.0,193.0,1200.0,294.0,1281.0
0.0,15.0,0.0,55.0,10.0,36.0,92.0,3.0,26.0,0.0,223.0,2.0,38.0,20.0,165.0,23.0,302.0,490.0,2261.0,2654.0,89.0,2440.0,139.0,917.0
0.0,2.0,0.0,10.0,2.0,8.0,42.0,0.0,4.0,0.0,80.0,0.0,10.0,3.0,59.0,3.0,124.0,169.0,1663.0,2309.0,23.0,4978.0,38.0,473.0
