AS Monaco,Paris FC,Lyon,Lille,Stade Rennais,Strasbourg,Brest,Lorient,Troyes,Marseille,Lens,Angers,Paris Saint-Germain,Le Mans,Nice,Le Havre AC,Toulouse,AJ Auxerre
1444.0,400.0,1025.0,1380.0,730.0,632.0,39.0,83.0,0.0,328.0,1283.0,2.0,2634.0,0.0,1.0,3.0,15.0,1.0
1408.0,590.0,1131.0,1383.0,862.0,732.0,61.0,146.0,0.0,506.0,1286.0,6.0,1828.0,2.0,1.0,8.0,44.0,6.0
1278.0,716.0,1148.0,1291.0,974.0,884.0,109.0,251.0,1.0,587.0,1217.0,13.0,1417.0,4.0,5.0,19.0,72.0,14.0
1140.0,807.0,1142.0,1170.0,1004.0,950.0,176.0,361.0,1.0,779.0,1148.0,35.0,1101.0,0.0,6.0,39.0,119.0,22.0
1015.0,953.0,1029.0,1056.0,1029.0,1052.0,271.0,435.0,3.0,931.0,1016.0,45.0,837.0,11.0,10.0,61.0,181.0,65.0
904.0,953.0,969.0,1002.0,1039.0,1036.0,351.0,584.0,8.0,960.0,1005.0,66.0,636.0,22.0,22.0,96.0,256.0,91.0
788.0,1007.0,868.0,779.0,989.0,1026.0,532.0,747.0,17.0,995.0,850.0,141.0,525.0,37.0,57.0,167.0,341.0,134.0
608.0,1045.0,833.0,623.0,900.0,981.0,635.0,897.0,37.0,1049.0,698.0,204.0,367.0,57.0,91.0,264.0,515.0,196.0
506.0,988.0,647.0,493.0,743.0,807.0,854.0,1060.0,59.0,981.0,567.0,343.0,276.0,113.0,156.0,379.0,717.0,311.0
389.0,811.0,475.0,337.0,578.0,648.0,1120.0,1175.0,98.0,866.0,383.0,563.0,170.0,167.0,250.0,558.0,932.0,480.0
221.0,597.0,304.0,230.0,471.0,495.0,1212.0,1112.0,213.0,692.0,231.0,729.0,121.0,320.0,390.0,827.0,1130.0,705.0
146.0,470.0,211.0,116.0,296.0,301.0,1216.0,1009.0,333.0,512.0,148.0,981.0,38.0,462.0,601.0,1031.0,1232.0,897.0
73.0,295.0,113.0,79.0,182.0,229.0,1070.0,762.0,530.0,345.0,91.0,1216.0,26.0,694.0,812.0,1187.0,1164.0,1132.0
52.0,177.0,56.0,34.0,104.0,121.0,896.0,557.0,772.0,217.0,43.0,1366.0,15.0,1014.0,1088.0,1256.0,999.0,1233.0
15.0,111.0,26.0,20.0,59.0,70.0,601.0,404.0,1111.0,143.0,19.0,1332.0,8.0,1260.0,1340.0,1278.0,883.0,1320.0
10.0,53.0,16.0,5.0,21.0,22.0,456.0,254.0,1468.0,68.0,10.0,1223.0,0.0,1658.0,1599.0,1169.0,682.0,1286.0
3.0,21.0,5.0,1.0,14.0,13.0,281.0,119.0,2120.0,29.0,3.0,1018.0,0.0,1961.0,1771.0,994.0,463.0,1184.0
0.0,6.0,2.0,1.0,5.0,1.0,120.0,44.0,3229.0,12.0,2.0,717.0,1.0,2218.0,1800.0,664.0,255.0,923.0
