Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,São Paulo,Vitória,Corinthians,Santos,Botafogo,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
7328.0,2667.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2624.0,7088.0,168.0,91.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,219.0,4566.0,3075.0,652.0,1309.0,15.0,92.0,7.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,2800.0,3273.0,1321.0,2027.0,58.0,293.0,49.0,39.0,0.0,0.0,8.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1463.0,1994.0,2354.0,2606.0,192.0,693.0,174.0,153.0,5.0,9.0,47.0,301.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,655.0,970.0,2732.0,2045.0,487.0,1308.0,462.0,369.0,12.0,30.0,128.0,744.0,13.0,42.0,2.0,0.0,1.0,0.0
0.0,0.0,235.0,354.0,1438.0,1115.0,1041.0,2087.0,1050.0,761.0,28.0,144.0,259.0,1332.0,40.0,111.0,4.0,1.0,0.0,0.0
0.0,0.0,69.0,158.0,760.0,471.0,1474.0,1704.0,1361.0,1215.0,132.0,313.0,476.0,1512.0,80.0,263.0,8.0,3.0,1.0,0.0
0.0,0.0,31.0,51.0,384.0,212.0,1466.0,1379.0,1545.0,1437.0,226.0,554.0,654.0,1436.0,187.0,398.0,27.0,12.0,1.0,0.0
0.0,0.0,8.0,20.0,202.0,125.0,1517.0,954.0,1492.0,1480.0,329.0,728.0,901.0,1298.0,273.0,592.0,58.0,23.0,0.0,0.0
0.0,0.0,0.0,10.0,86.0,37.0,1285.0,668.0,1221.0,1340.0,532.0,1110.0,1111.0,1089.0,476.0,864.0,101.0,62.0,8.0,0.0
0.0,0.0,1.0,3.0,50.0,20.0,971.0,373.0,948.0,1113.0,770.0,1384.0,1343.0,854.0,691.0,1111.0,217.0,132.0,19.0,0.0
0.0,0.0,0.0,0.0,13.0,4.0,665.0,247.0,709.0,841.0,1098.0,1471.0,1357.0,573.0,1041.0,1351.0,345.0,254.0,31.0,0.0
0.0,0.0,0.0,0.0,4.0,2.0,428.0,122.0,495.0,572.0,1487.0,1387.0,1289.0,356.0,1334.0,1487.0,519.0,434.0,84.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,245.0,52.0,273.0,376.0,1705.0,1142.0,1098.0,205.0,1589.0,1397.0,958.0,767.0,187.0,5.0
0.0,0.0,0.0,0.0,1.0,0.0,113.0,18.0,145.0,189.0,1696.0,923.0,729.0,117.0,1737.0,1169.0,1492.0,1215.0,446.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,53.0,83.0,1184.0,521.0,401.0,47.0,1383.0,751.0,2399.0,2163.0,939.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,21.0,646.0,227.0,170.0,12.0,832.0,369.0,2414.0,2868.0,2295.0,126.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,147.0,57.0,29.0,1.0,318.0,87.0,1366.0,1920.0,5404.0,662.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,4.0,90.0,146.0,584.0,9167.0
