FC Porto,Sporting CP,Santa Clara,Benfica,Arouca,Braga,Gil Vicente,Maritimo,Estrela,Académico de Viseu,Vitória de Guimaraes,C.D. Nacional,Moreirense,FC Famalicao,Rio Ave,Alverca,Estoril,Casa Pia
3543.0,4238.0,3.0,2116.0,2.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3365.0,3263.0,17.0,2944.0,7.0,380.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2484.0,2108.0,124.0,3673.0,64.0,1371.0,128.0,0.0,12.0,0.0,1.0,5.0,1.0,27.0,0.0,1.0,1.0,0.0
529.0,338.0,1034.0,1079.0,726.0,4743.0,897.0,8.0,113.0,3.0,33.0,74.0,50.0,334.0,3.0,6.0,29.0,1.0
61.0,42.0,2098.0,138.0,1501.0,1790.0,2011.0,49.0,501.0,12.0,168.0,300.0,211.0,928.0,18.0,45.0,125.0,2.0
14.0,10.0,1884.0,36.0,1628.0,777.0,1840.0,126.0,737.0,60.0,302.0,511.0,389.0,1261.0,44.0,105.0,271.0,5.0
4.0,1.0,1416.0,9.0,1485.0,416.0,1451.0,227.0,976.0,117.0,491.0,709.0,524.0,1413.0,112.0,169.0,464.0,16.0
0.0,0.0,1070.0,5.0,1314.0,211.0,1121.0,349.0,1135.0,177.0,653.0,877.0,689.0,1339.0,173.0,288.0,567.0,32.0
0.0,0.0,831.0,0.0,996.0,100.0,777.0,481.0,1138.0,294.0,790.0,1063.0,855.0,1259.0,243.0,410.0,713.0,50.0
0.0,0.0,529.0,0.0,740.0,50.0,622.0,646.0,1123.0,413.0,950.0,1080.0,964.0,977.0,361.0,587.0,870.0,88.0
0.0,0.0,392.0,0.0,573.0,34.0,397.0,791.0,1016.0,551.0,1075.0,1079.0,1011.0,725.0,527.0,764.0,918.0,147.0
0.0,0.0,247.0,0.0,361.0,22.0,282.0,958.0,876.0,740.0,1083.0,1032.0,1081.0,539.0,671.0,848.0,1048.0,212.0
0.0,0.0,149.0,0.0,261.0,5.0,183.0,1081.0,737.0,992.0,1028.0,908.0,992.0,452.0,821.0,986.0,1105.0,300.0
0.0,0.0,87.0,0.0,171.0,3.0,127.0,1200.0,576.0,1097.0,976.0,761.0,938.0,328.0,1032.0,1183.0,1028.0,493.0
0.0,0.0,69.0,0.0,89.0,0.0,76.0,1198.0,487.0,1340.0,849.0,634.0,835.0,206.0,1290.0,1212.0,952.0,763.0
0.0,0.0,34.0,0.0,53.0,1.0,42.0,1220.0,291.0,1441.0,800.0,471.0,668.0,111.0,1462.0,1333.0,869.0,1204.0
0.0,0.0,13.0,0.0,22.0,0.0,23.0,1031.0,204.0,1570.0,526.0,338.0,528.0,74.0,1785.0,1237.0,659.0,1990.0
0.0,0.0,3.0,0.0,7.0,0.0,3.0,635.0,76.0,1193.0,275.0,158.0,264.0,24.0,1458.0,826.0,381.0,4697.0
