FC Augsburg,SC Freiburg,Borussia Dortmund,SV Elversberg,Mainz,Bayern Munich,Bayer Leverkusen,RB Leipzig,VfB Stuttgart,Werder Bremen,FC Cologne,SC Paderborn 07,Eintracht Frankfurt,Schalke 04,1. FC Union Berlin,TSG Hoffenheim,Borussia Mönchengladbach,Hamburg SV
37.0,48.0,1517.0,4.0,30.0,7836.0,190.0,128.0,186.0,2.0,0.0,0.0,2.0,0.0,1.0,17.0,2.0,0.0
225.0,373.0,4401.0,48.0,233.0,1602.0,1059.0,718.0,1073.0,11.0,22.0,0.0,31.0,0.0,11.0,175.0,11.0,7.0
558.0,703.0,1843.0,165.0,570.0,376.0,1887.0,1376.0,1776.0,59.0,99.0,0.0,99.0,0.0,30.0,406.0,43.0,10.0
796.0,938.0,980.0,283.0,709.0,123.0,1601.0,1599.0,1624.0,98.0,176.0,0.0,194.0,0.0,80.0,667.0,88.0,44.0
914.0,1053.0,546.0,441.0,885.0,43.0,1407.0,1397.0,1332.0,168.0,284.0,5.0,316.0,0.0,150.0,843.0,143.0,73.0
963.0,1128.0,293.0,618.0,1009.0,10.0,1044.0,1139.0,1105.0,264.0,441.0,6.0,475.0,1.0,242.0,920.0,233.0,109.0
1072.0,1078.0,180.0,723.0,979.0,5.0,786.0,965.0,859.0,374.0,518.0,17.0,607.0,3.0,332.0,970.0,324.0,208.0
982.0,982.0,93.0,858.0,1065.0,3.0,637.0,723.0,638.0,472.0,687.0,31.0,663.0,7.0,464.0,1000.0,434.0,261.0
940.0,891.0,61.0,944.0,927.0,1.0,453.0,564.0,442.0,630.0,801.0,53.0,858.0,17.0,542.0,911.0,561.0,404.0
858.0,753.0,30.0,943.0,854.0,1.0,326.0,435.0,351.0,761.0,901.0,74.0,917.0,40.0,684.0,904.0,672.0,496.0
729.0,646.0,29.0,998.0,715.0,0.0,235.0,331.0,213.0,844.0,948.0,138.0,972.0,56.0,833.0,846.0,818.0,649.0
577.0,475.0,14.0,944.0,641.0,0.0,152.0,222.0,166.0,1027.0,1051.0,214.0,1041.0,102.0,995.0,689.0,955.0,735.0
442.0,346.0,5.0,860.0,508.0,0.0,116.0,182.0,113.0,1077.0,1031.0,362.0,1071.0,200.0,1082.0,583.0,1078.0,944.0
413.0,277.0,6.0,758.0,382.0,0.0,68.0,122.0,58.0,1186.0,966.0,532.0,920.0,331.0,1148.0,441.0,1257.0,1135.0
274.0,180.0,1.0,679.0,262.0,0.0,25.0,62.0,44.0,1145.0,821.0,937.0,804.0,545.0,1250.0,326.0,1187.0,1458.0
158.0,93.0,1.0,464.0,164.0,0.0,11.0,25.0,12.0,1033.0,716.0,1596.0,594.0,1041.0,1088.0,200.0,1169.0,1635.0
53.0,28.0,0.0,212.0,51.0,0.0,3.0,11.0,7.0,607.0,404.0,3110.0,334.0,2459.0,729.0,80.0,702.0,1210.0
9.0,8.0,0.0,58.0,16.0,0.0,0.0,1.0,1.0,242.0,134.0,2925.0,102.0,5198.0,339.0,22.0,323.0,622.0
