Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
465.0,512.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453.0,403.0,90.0,32.0,11.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,71.0,422.0,199.0,126.0,80.0,6.0,3.0,10.0,5.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
10.0,10.0,232.0,268.0,223.0,138.0,18.0,23.0,27.0,12.0,10.0,12.0,3.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0
4.0,3.0,127.0,206.0,198.0,193.0,58.0,60.0,46.0,28.0,29.0,20.0,2.0,5.0,1.0,12.0,8.0,0.0,0.0,0.0
1.0,1.0,66.0,126.0,160.0,198.0,83.0,97.0,83.0,34.0,60.0,30.0,9.0,17.0,3.0,16.0,16.0,0.0,0.0,0.0
0.0,0.0,26.0,66.0,94.0,128.0,118.0,99.0,114.0,72.0,77.0,62.0,27.0,33.0,11.0,42.0,29.0,0.0,2.0,0.0
0.0,0.0,14.0,38.0,73.0,94.0,132.0,130.0,95.0,80.0,87.0,75.0,40.0,37.0,16.0,37.0,49.0,2.0,1.0,0.0
0.0,0.0,5.0,25.0,33.0,57.0,118.0,126.0,118.0,91.0,101.0,70.0,55.0,65.0,19.0,60.0,52.0,1.0,4.0,0.0
0.0,0.0,2.0,14.0,36.0,34.0,95.0,115.0,98.0,101.0,103.0,81.0,51.0,90.0,28.0,81.0,59.0,9.0,3.0,0.0
0.0,0.0,0.0,5.0,16.0,28.0,89.0,87.0,81.0,109.0,82.0,100.0,66.0,87.0,53.0,89.0,85.0,9.0,14.0,0.0
0.0,0.0,1.0,8.0,11.0,15.0,81.0,71.0,84.0,80.0,102.0,100.0,89.0,96.0,54.0,104.0,75.0,12.0,17.0,0.0
0.0,0.0,1.0,3.0,9.0,7.0,63.0,56.0,62.0,98.0,87.0,90.0,86.0,101.0,80.0,106.0,105.0,12.0,34.0,0.0
0.0,0.0,0.0,2.0,2.0,9.0,51.0,50.0,58.0,88.0,71.0,93.0,96.0,119.0,85.0,85.0,111.0,35.0,44.0,1.0
0.0,0.0,0.0,1.0,4.0,4.0,35.0,35.0,47.0,64.0,62.0,80.0,144.0,97.0,128.0,118.0,90.0,49.0,41.0,1.0
0.0,0.0,0.0,0.0,2.0,6.0,24.0,21.0,40.0,55.0,46.0,79.0,124.0,100.0,146.0,89.0,98.0,69.0,99.0,2.0
0.0,0.0,0.0,0.0,0.0,2.0,18.0,14.0,21.0,47.0,44.0,57.0,100.0,79.0,149.0,93.0,105.0,111.0,149.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,9.0,22.0,24.0,28.0,71.0,42.0,140.0,45.0,82.0,249.0,232.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,11.0,11.0,15.0,35.0,26.0,72.0,15.0,28.0,356.0,279.0,139.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,14.0,1.0,3.0,86.0,81.0,806.0
