FC Porto,Sporting CP,Maritimo,Santa Clara,Arouca,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Casa Pia
4562.0,3171.0,6.0,0.0,0.0,1.0,2236.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0
3088.0,3586.0,9.0,0.0,0.0,11.0,3176.0,0.0,0.0,0.0,0.0,2.0,128.0,0.0,0.0,0.0,0.0,0.0
2173.0,3011.0,50.0,0.0,1.0,79.0,4060.0,0.0,0.0,0.0,0.0,14.0,604.0,8.0,0.0,0.0,0.0,0.0
163.0,216.0,463.0,179.0,209.0,1743.0,487.0,68.0,4.0,3.0,5.0,146.0,5896.0,405.0,1.0,11.0,1.0,0.0
14.0,15.0,710.0,687.0,753.0,3295.0,39.0,338.0,90.0,18.0,59.0,306.0,2082.0,1495.0,12.0,77.0,10.0,0.0
0.0,1.0,821.0,1260.0,1334.0,2027.0,1.0,713.0,243.0,43.0,135.0,413.0,737.0,1962.0,54.0,213.0,43.0,0.0
0.0,0.0,751.0,1562.0,1380.0,1264.0,1.0,1074.0,441.0,125.0,309.0,414.0,301.0,1769.0,136.0,388.0,85.0,0.0
0.0,0.0,679.0,1468.0,1420.0,689.0,0.0,1287.0,643.0,207.0,468.0,478.0,138.0,1442.0,214.0,684.0,183.0,0.0
0.0,0.0,709.0,1342.0,1368.0,406.0,0.0,1366.0,832.0,338.0,648.0,473.0,51.0,942.0,384.0,853.0,279.0,9.0
0.0,0.0,663.0,1091.0,1121.0,217.0,0.0,1302.0,1078.0,505.0,824.0,530.0,26.0,729.0,473.0,999.0,422.0,20.0
0.0,0.0,673.0,793.0,868.0,131.0,0.0,1110.0,1155.0,713.0,1054.0,516.0,9.0,513.0,733.0,1124.0,586.0,22.0
0.0,0.0,604.0,623.0,557.0,72.0,0.0,916.0,1256.0,971.0,1186.0,599.0,3.0,310.0,906.0,1162.0,779.0,56.0
0.0,0.0,620.0,432.0,427.0,28.0,0.0,660.0,1147.0,1155.0,1286.0,680.0,2.0,193.0,1099.0,1163.0,989.0,119.0
0.0,0.0,675.0,273.0,249.0,23.0,0.0,480.0,1045.0,1319.0,1237.0,701.0,0.0,105.0,1382.0,1076.0,1214.0,221.0
0.0,0.0,636.0,168.0,177.0,9.0,0.0,350.0,886.0,1505.0,1066.0,801.0,0.0,85.0,1409.0,912.0,1564.0,432.0
0.0,0.0,691.0,88.0,89.0,2.0,0.0,213.0,671.0,1469.0,919.0,1060.0,0.0,25.0,1455.0,750.0,1655.0,913.0
0.0,0.0,764.0,29.0,37.0,2.0,0.0,108.0,396.0,1196.0,607.0,1359.0,0.0,15.0,1269.0,456.0,1534.0,2228.0
0.0,0.0,476.0,5.0,10.0,1.0,0.0,15.0,113.0,433.0,197.0,1508.0,0.0,1.0,473.0,132.0,656.0,5980.0
