AZ Alkmaar,Go Ahead Eagles,PSV Eindhoven,Feyenoord Rotterdam,FC Groningen,Ajax Amsterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
355.0,56.0,7829.0,794.0,15.0,426.0,0.0,0.0,8.0,1.0,252.0,250.0,0.0,0.0,9.0,2.0,3.0,0.0
1465.0,280.0,1374.0,2613.0,143.0,1791.0,0.0,2.0,59.0,10.0,1057.0,1126.0,16.0,0.0,53.0,8.0,3.0,0.0
1682.0,506.0,485.0,1940.0,282.0,1969.0,2.0,2.0,134.0,49.0,1335.0,1452.0,47.0,0.0,99.0,7.0,6.0,3.0
1607.0,739.0,197.0,1565.0,517.0,1586.0,2.0,10.0,256.0,94.0,1463.0,1612.0,94.0,1.0,226.0,19.0,6.0,6.0
1414.0,994.0,67.0,1173.0,740.0,1404.0,2.0,27.0,446.0,191.0,1518.0,1463.0,168.0,2.0,360.0,12.0,14.0,5.0
1143.0,1217.0,26.0,811.0,1052.0,1002.0,19.0,56.0,672.0,306.0,1364.0,1356.0,295.0,3.0,627.0,23.0,19.0,9.0
859.0,1397.0,16.0,508.0,1286.0,761.0,48.0,126.0,961.0,491.0,1063.0,1053.0,468.0,15.0,864.0,31.0,36.0,17.0
643.0,1351.0,4.0,286.0,1422.0,449.0,105.0,231.0,1208.0,696.0,801.0,731.0,793.0,23.0,1152.0,37.0,32.0,36.0
383.0,1157.0,2.0,168.0,1389.0,295.0,209.0,375.0,1426.0,1044.0,513.0,442.0,1016.0,61.0,1351.0,73.0,55.0,41.0
243.0,895.0,0.0,73.0,1089.0,179.0,399.0,692.0,1380.0,1315.0,335.0,268.0,1312.0,112.0,1472.0,85.0,87.0,64.0
116.0,664.0,0.0,48.0,948.0,77.0,604.0,1025.0,1267.0,1517.0,178.0,129.0,1481.0,257.0,1344.0,145.0,96.0,104.0
64.0,382.0,0.0,11.0,565.0,38.0,1106.0,1374.0,992.0,1626.0,82.0,64.0,1660.0,475.0,1049.0,211.0,177.0,124.0
16.0,223.0,0.0,9.0,345.0,15.0,1755.0,1943.0,651.0,1182.0,27.0,40.0,1253.0,1013.0,721.0,297.0,286.0,224.0
10.0,96.0,0.0,1.0,137.0,8.0,2247.0,1934.0,342.0,845.0,7.0,12.0,811.0,1788.0,437.0,480.0,471.0,374.0
0.0,40.0,0.0,0.0,56.0,0.0,2036.0,1364.0,144.0,429.0,5.0,1.0,408.0,3113.0,184.0,761.0,784.0,675.0
0.0,3.0,0.0,0.0,11.0,0.0,1057.0,655.0,43.0,164.0,0.0,1.0,138.0,2146.0,46.0,2064.0,1887.0,1785.0
0.0,0.0,0.0,0.0,2.0,0.0,360.0,159.0,11.0,35.0,0.0,0.0,35.0,853.0,6.0,2761.0,2913.0,2865.0
0.0,0.0,0.0,0.0,1.0,0.0,49.0,25.0,0.0,5.0,0.0,0.0,5.0,138.0,0.0,2984.0,3125.0,3668.0
