Marseille,Lens,Lille,Lyon,AS Monaco,Brest,Le Mans,Paris Saint-Germain,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
397.0,2779.0,366.0,206.0,56.0,0.0,42.0,6098.0,24.0,3.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,4.0
1177.0,3818.0,1092.0,662.0,201.0,1.0,98.0,2567.0,234.0,26.0,0.0,27.0,31.0,0.0,8.0,0.0,1.0,57.0
2047.0,1727.0,2078.0,1477.0,583.0,4.0,124.0,818.0,614.0,78.0,0.0,103.0,92.0,0.0,33.0,0.0,6.0,216.0
1995.0,864.0,1943.0,1732.0,921.0,22.0,169.0,331.0,932.0,207.0,0.0,212.0,125.0,8.0,111.0,0.0,7.0,421.0
1556.0,432.0,1580.0,1692.0,1264.0,46.0,226.0,111.0,1247.0,395.0,2.0,370.0,144.0,12.0,165.0,0.0,50.0,708.0
1093.0,228.0,1141.0,1386.0,1433.0,113.0,257.0,50.0,1459.0,592.0,5.0,604.0,193.0,42.0,326.0,2.0,103.0,973.0
719.0,93.0,711.0,1063.0,1403.0,189.0,274.0,19.0,1434.0,895.0,11.0,931.0,231.0,75.0,582.0,6.0,193.0,1171.0
457.0,36.0,468.0,694.0,1285.0,309.0,338.0,5.0,1241.0,1160.0,38.0,1133.0,286.0,164.0,755.0,9.0,330.0,1292.0
263.0,13.0,280.0,481.0,966.0,485.0,349.0,1.0,952.0,1389.0,63.0,1292.0,353.0,278.0,1025.0,25.0,516.0,1269.0
164.0,7.0,153.0,298.0,741.0,762.0,444.0,0.0,704.0,1255.0,114.0,1302.0,422.0,419.0,1266.0,73.0,721.0,1155.0
62.0,2.0,106.0,140.0,509.0,1039.0,522.0,0.0,456.0,1142.0,270.0,1210.0,479.0,643.0,1346.0,135.0,1024.0,915.0
42.0,1.0,47.0,91.0,296.0,1281.0,528.0,0.0,319.0,1007.0,426.0,1006.0,559.0,959.0,1300.0,240.0,1192.0,706.0
16.0,0.0,22.0,53.0,173.0,1436.0,650.0,0.0,195.0,742.0,674.0,739.0,636.0,1260.0,1057.0,465.0,1393.0,489.0
10.0,0.0,10.0,14.0,107.0,1413.0,761.0,0.0,94.0,531.0,1063.0,504.0,755.0,1519.0,830.0,705.0,1381.0,303.0
2.0,0.0,3.0,7.0,39.0,1202.0,835.0,0.0,57.0,296.0,1507.0,312.0,917.0,1627.0,576.0,1189.0,1245.0,186.0
0.0,0.0,0.0,3.0,17.0,898.0,959.0,0.0,24.0,190.0,2009.0,153.0,1013.0,1432.0,365.0,1885.0,955.0,97.0
0.0,0.0,0.0,1.0,6.0,563.0,1259.0,0.0,14.0,67.0,2182.0,69.0,1367.0,1026.0,190.0,2615.0,612.0,29.0
0.0,0.0,0.0,0.0,0.0,237.0,2165.0,0.0,0.0,25.0,1636.0,25.0,2380.0,536.0,65.0,2651.0,271.0,9.0
