AS Roma,Internazionale,Lecce,Napoli,AC Milan,Atalanta,Cagliari,Juventus,Lazio,Como,Udinese,Sassuolo,Torino,Bologna,Frosinone,Parma,Genoa,Venezia,Monza,Fiorentina
1381.0,6613.0,0.0,249.0,64.0,52.0,0.0,451.0,1.0,1187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2651.0,1951.0,0.0,984.0,236.0,278.0,0.0,1371.0,4.0,2510.0,5.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0
2303.0,864.0,0.0,1495.0,579.0,574.0,1.0,1803.0,33.0,2290.0,17.0,2.0,0.0,9.0,10.0,0.0,0.0,10.0,10.0,0.0
1654.0,371.0,1.0,1887.0,1004.0,977.0,6.0,2062.0,120.0,1782.0,52.0,17.0,0.0,30.0,12.0,0.0,4.0,4.0,17.0,0.0
1056.0,137.0,3.0,2110.0,1544.0,1540.0,27.0,1849.0,234.0,1146.0,162.0,40.0,2.0,91.0,21.0,0.0,3.0,7.0,19.0,9.0
564.0,48.0,6.0,1617.0,2105.0,2106.0,66.0,1343.0,535.0,671.0,389.0,120.0,9.0,237.0,50.0,3.0,36.0,24.0,40.0,31.0
270.0,15.0,34.0,970.0,2059.0,2131.0,216.0,716.0,1133.0,285.0,814.0,357.0,32.0,573.0,69.0,4.0,108.0,46.0,67.0,101.0
86.0,1.0,121.0,407.0,1175.0,1112.0,556.0,261.0,1849.0,95.0,1490.0,724.0,128.0,1112.0,123.0,28.0,257.0,75.0,95.0,305.0
22.0,0.0,222.0,168.0,579.0,604.0,784.0,91.0,1774.0,25.0,1606.0,1060.0,238.0,1406.0,149.0,50.0,464.0,113.0,131.0,514.0
9.0,0.0,400.0,60.0,353.0,318.0,950.0,35.0,1344.0,7.0,1521.0,1190.0,456.0,1489.0,181.0,104.0,647.0,135.0,144.0,657.0
3.0,0.0,537.0,31.0,151.0,160.0,1220.0,12.0,968.0,1.0,1190.0,1350.0,611.0,1270.0,197.0,237.0,886.0,146.0,182.0,848.0
1.0,0.0,809.0,14.0,75.0,70.0,1199.0,5.0,674.0,1.0,911.0,1184.0,783.0,1112.0,274.0,333.0,1115.0,167.0,233.0,1040.0
0.0,0.0,984.0,4.0,38.0,48.0,1188.0,0.0,523.0,0.0,617.0,1090.0,994.0,837.0,314.0,523.0,1159.0,254.0,259.0,1168.0
0.0,0.0,1122.0,4.0,20.0,16.0,1085.0,1.0,325.0,0.0,488.0,958.0,1111.0,700.0,369.0,796.0,1202.0,298.0,277.0,1228.0
0.0,0.0,1353.0,0.0,9.0,11.0,930.0,0.0,227.0,0.0,343.0,762.0,1341.0,468.0,432.0,1036.0,1224.0,351.0,343.0,1170.0
0.0,0.0,1428.0,0.0,5.0,2.0,801.0,0.0,143.0,0.0,224.0,495.0,1400.0,342.0,624.0,1365.0,1078.0,478.0,498.0,1117.0
0.0,0.0,1402.0,0.0,2.0,1.0,574.0,0.0,69.0,0.0,106.0,353.0,1304.0,188.0,924.0,1963.0,904.0,670.0,700.0,840.0
0.0,0.0,986.0,0.0,1.0,0.0,265.0,0.0,36.0,0.0,47.0,213.0,968.0,98.0,1530.0,1952.0,617.0,1346.0,1314.0,627.0
0.0,0.0,481.0,0.0,1.0,0.0,109.0,0.0,7.0,0.0,17.0,69.0,495.0,32.0,2300.0,1208.0,232.0,2446.0,2319.0,284.0
0.0,0.0,111.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,1.0,14.0,128.0,4.0,2418.0,398.0,64.0,3429.0,3348.0,61.0
