Brighton & Hove Albion,Arsenal,Brentford,Everton,Hull City,Chelsea,Ipswich Town,Manchester City,Leeds United,Liverpool,Newcastle United,Fulham,AFC Bournemouth,Sunderland,Nottingham Forest,Crystal Palace,Manchester United,Coventry City,Tottenham Hotspur,Aston Villa
56.0,6621.0,10.0,1.0,86.0,4.0,57.0,3098.0,3.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,49.0,2.0,0.0,1.0
330.0,2930.0,142.0,22.0,217.0,65.0,150.0,5538.0,16.0,125.0,6.0,3.0,39.0,1.0,12.0,0.0,369.0,20.0,0.0,15.0
1711.0,357.0,942.0,238.0,550.0,540.0,468.0,961.0,228.0,1008.0,106.0,37.0,435.0,17.0,129.0,4.0,2008.0,54.0,3.0,204.0
1620.0,67.0,1079.0,404.0,438.0,755.0,338.0,262.0,358.0,1192.0,243.0,91.0,632.0,45.0,229.0,7.0,1819.0,57.0,13.0,351.0
1418.0,15.0,1139.0,565.0,411.0,841.0,295.0,79.0,502.0,1163.0,311.0,138.0,789.0,87.0,357.0,11.0,1329.0,86.0,29.0,435.0
1092.0,9.0,1095.0,661.0,359.0,930.0,303.0,31.0,555.0,1112.0,432.0,202.0,864.0,121.0,482.0,17.0,1041.0,63.0,39.0,592.0
908.0,1.0,1022.0,714.0,359.0,971.0,301.0,14.0,679.0,1003.0,525.0,317.0,875.0,149.0,526.0,50.0,821.0,63.0,51.0,651.0
715.0,0.0,913.0,813.0,351.0,940.0,276.0,10.0,789.0,893.0,609.0,368.0,835.0,234.0,671.0,64.0,621.0,82.0,89.0,727.0
565.0,0.0,783.0,892.0,348.0,864.0,298.0,3.0,787.0,762.0,693.0,471.0,850.0,298.0,731.0,132.0,538.0,110.0,125.0,750.0
484.0,0.0,660.0,800.0,361.0,814.0,351.0,3.0,877.0,619.0,768.0,547.0,864.0,384.0,788.0,119.0,425.0,95.0,191.0,850.0
349.0,0.0,587.0,838.0,338.0,768.0,339.0,0.0,871.0,588.0,840.0,713.0,743.0,486.0,794.0,216.0,302.0,152.0,265.0,811.0
245.0,0.0,464.0,834.0,394.0,643.0,344.0,0.0,848.0,425.0,884.0,803.0,740.0,627.0,853.0,302.0,235.0,135.0,357.0,867.0
192.0,0.0,392.0,778.0,394.0,543.0,390.0,0.0,802.0,359.0,899.0,943.0,612.0,751.0,886.0,437.0,175.0,182.0,462.0,803.0
127.0,0.0,270.0,697.0,487.0,460.0,449.0,0.0,734.0,281.0,909.0,993.0,516.0,901.0,828.0,549.0,113.0,206.0,679.0,801.0
80.0,0.0,215.0,620.0,535.0,339.0,531.0,1.0,652.0,177.0,812.0,1085.0,448.0,1088.0,822.0,822.0,70.0,228.0,813.0,662.0
51.0,0.0,137.0,474.0,551.0,238.0,570.0,0.0,529.0,129.0,693.0,1053.0,327.0,1274.0,694.0,1145.0,50.0,355.0,1148.0,582.0
27.0,0.0,85.0,332.0,663.0,160.0,679.0,0.0,398.0,87.0,590.0,928.0,228.0,1296.0,542.0,1511.0,19.0,541.0,1482.0,432.0
23.0,0.0,39.0,186.0,863.0,84.0,949.0,0.0,231.0,45.0,377.0,765.0,131.0,1134.0,370.0,1894.0,9.0,816.0,1816.0,268.0
6.0,0.0,23.0,112.0,1217.0,35.0,1460.0,0.0,112.0,20.0,239.0,399.0,47.0,833.0,230.0,1901.0,6.0,1554.0,1645.0,161.0
1.0,0.0,3.0,19.0,1078.0,6.0,1452.0,0.0,29.0,3.0,64.0,144.0,23.0,274.0,55.0,819.0,1.0,5199.0,793.0,37.0
