Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
5571.0,4414.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4251.0,5400.0,179.0,104.0,64.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156.0,156.0,4119.0,3024.0,1862.0,288.0,98.0,6.0,199.0,6.0,83.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,27.0,2610.0,2970.0,2407.0,722.0,353.0,31.0,473.0,68.0,296.0,0.0,18.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
2.0,3.0,1694.0,2050.0,2269.0,1442.0,629.0,107.0,924.0,180.0,624.0,4.0,37.0,8.0,8.0,0.0,19.0,0.0,0.0,0.0
0.0,0.0,780.0,963.0,1473.0,1987.0,1201.0,274.0,1508.0,445.0,1165.0,14.0,112.0,17.0,16.0,5.0,39.0,0.0,1.0,0.0
0.0,0.0,348.0,464.0,906.0,1844.0,1548.0,476.0,1732.0,742.0,1429.0,42.0,258.0,55.0,48.0,15.0,86.0,1.0,6.0,0.0
0.0,0.0,162.0,227.0,482.0,1379.0,1640.0,791.0,1574.0,1089.0,1592.0,99.0,473.0,103.0,143.0,36.0,199.0,2.0,9.0,0.0
0.0,0.0,58.0,119.0,330.0,999.0,1484.0,1054.0,1314.0,1516.0,1447.0,164.0,699.0,201.0,215.0,57.0,317.0,5.0,21.0,0.0
0.0,0.0,28.0,43.0,123.0,626.0,1154.0,1471.0,885.0,1603.0,1252.0,312.0,1042.0,339.0,399.0,130.0,526.0,18.0,49.0,0.0
0.0,0.0,9.0,20.0,51.0,352.0,777.0,1635.0,638.0,1428.0,891.0,526.0,1324.0,547.0,628.0,274.0,769.0,42.0,89.0,0.0
0.0,0.0,2.0,10.0,21.0,203.0,524.0,1452.0,352.0,1092.0,558.0,773.0,1520.0,785.0,888.0,469.0,1060.0,84.0,207.0,0.0
0.0,0.0,0.0,3.0,8.0,103.0,308.0,1059.0,214.0,751.0,330.0,1054.0,1321.0,1118.0,1200.0,778.0,1255.0,185.0,313.0,0.0
0.0,0.0,0.0,1.0,2.0,34.0,151.0,710.0,105.0,476.0,154.0,1259.0,1155.0,1274.0,1393.0,1018.0,1452.0,343.0,473.0,0.0
0.0,0.0,0.0,0.0,0.0,15.0,79.0,481.0,55.0,309.0,94.0,1489.0,802.0,1382.0,1353.0,1308.0,1353.0,536.0,744.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,40.0,257.0,17.0,195.0,57.0,1498.0,556.0,1367.0,1267.0,1556.0,1157.0,918.0,1104.0,6.0
0.0,0.0,0.0,0.0,0.0,1.0,12.0,124.0,7.0,63.0,21.0,1322.0,379.0,1219.0,1145.0,1719.0,924.0,1522.0,1531.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,2.0,29.0,5.0,957.0,203.0,976.0,832.0,1543.0,583.0,2469.0,2287.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,1.0,484.0,96.0,603.0,451.0,1061.0,254.0,3677.0,3043.0,307.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,14.0,30.0,5.0,198.0,122.0,9621.0
