Millwall,West Bromwich Albion,Charlton Athletic,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,Portsmouth,Middlesbrough,Cardiff City,Wrexham,Birmingham City,Sheffield United,West Ham United,Derby County,Burnley,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1652.0,17.0,5.0,3221.0,6.0,0.0,0.0,50.0,125.0,3.0,642.0,100.0,33.0,19.0,37.0,1566.0,64.0,1340.0,7.0,36.0,0.0,0.0,34.0,1043.0
2269.0,80.0,15.0,1289.0,17.0,4.0,12.0,113.0,139.0,5.0,1358.0,135.0,108.0,75.0,118.0,1064.0,197.0,1022.0,27.0,40.0,1.0,1.0,108.0,1803.0
1981.0,164.0,49.0,794.0,57.0,22.0,23.0,258.0,155.0,12.0,1575.0,134.0,235.0,171.0,249.0,803.0,366.0,758.0,44.0,53.0,7.0,3.0,223.0,1864.0
1346.0,305.0,100.0,664.0,109.0,50.0,43.0,409.0,173.0,31.0,1548.0,156.0,373.0,287.0,406.0,678.0,564.0,671.0,91.0,51.0,10.0,16.0,384.0,1535.0
948.0,471.0,161.0,530.0,152.0,116.0,86.0,564.0,216.0,57.0,1235.0,164.0,552.0,421.0,531.0,579.0,673.0,557.0,168.0,94.0,26.0,22.0,506.0,1171.0
626.0,627.0,202.0,415.0,221.0,168.0,107.0,681.0,225.0,85.0,1003.0,181.0,681.0,551.0,673.0,505.0,758.0,465.0,244.0,70.0,50.0,45.0,625.0,792.0
406.0,654.0,290.0,339.0,337.0,195.0,159.0,784.0,215.0,121.0,753.0,179.0,742.0,615.0,760.0,450.0,818.0,402.0,333.0,80.0,64.0,62.0,723.0,519.0
266.0,700.0,392.0,304.0,387.0,263.0,228.0,807.0,219.0,184.0,513.0,185.0,758.0,650.0,758.0,373.0,834.0,402.0,378.0,90.0,101.0,94.0,742.0,372.0
185.0,722.0,449.0,277.0,491.0,308.0,286.0,757.0,223.0,217.0,381.0,200.0,761.0,705.0,753.0,285.0,813.0,339.0,453.0,103.0,147.0,143.0,725.0,277.0
103.0,716.0,525.0,229.0,480.0,412.0,334.0,731.0,251.0,305.0,269.0,186.0,765.0,682.0,760.0,290.0,718.0,309.0,543.0,113.0,168.0,166.0,763.0,182.0
81.0,719.0,554.0,202.0,551.0,486.0,399.0,728.0,213.0,332.0,195.0,203.0,716.0,753.0,692.0,254.0,675.0,301.0,559.0,142.0,236.0,203.0,677.0,129.0
38.0,755.0,618.0,179.0,591.0,526.0,452.0,664.0,224.0,454.0,168.0,192.0,618.0,646.0,682.0,279.0,617.0,259.0,593.0,114.0,275.0,251.0,699.0,106.0
37.0,656.0,608.0,164.0,666.0,564.0,528.0,602.0,261.0,498.0,105.0,195.0,563.0,715.0,613.0,225.0,556.0,229.0,684.0,130.0,334.0,325.0,662.0,80.0
19.0,640.0,687.0,173.0,713.0,623.0,577.0,556.0,238.0,505.0,84.0,201.0,583.0,655.0,564.0,231.0,463.0,249.0,718.0,143.0,389.0,371.0,572.0,46.0
16.0,560.0,688.0,141.0,728.0,699.0,693.0,496.0,267.0,621.0,61.0,234.0,491.0,580.0,498.0,220.0,436.0,243.0,723.0,157.0,452.0,458.0,514.0,24.0
10.0,482.0,712.0,125.0,745.0,729.0,708.0,433.0,307.0,692.0,41.0,249.0,507.0,504.0,428.0,225.0,351.0,245.0,693.0,196.0,555.0,585.0,454.0,24.0
8.0,434.0,742.0,155.0,655.0,743.0,817.0,331.0,318.0,720.0,31.0,310.0,403.0,461.0,392.0,224.0,327.0,233.0,692.0,211.0,707.0,677.0,398.0,11.0
3.0,410.0,757.0,120.0,720.0,823.0,826.0,299.0,322.0,850.0,20.0,349.0,318.0,421.0,330.0,204.0,220.0,237.0,614.0,239.0,756.0,791.0,356.0,15.0
4.0,297.0,666.0,106.0,656.0,803.0,860.0,268.0,451.0,905.0,7.0,393.0,264.0,383.0,255.0,199.0,198.0,251.0,644.0,263.0,935.0,917.0,270.0,5.0
1.0,255.0,595.0,137.0,612.0,768.0,873.0,181.0,478.0,917.0,6.0,499.0,202.0,292.0,219.0,255.0,156.0,249.0,611.0,374.0,1008.0,1092.0,219.0,1.0
0.0,176.0,527.0,124.0,497.0,721.0,754.0,142.0,646.0,971.0,3.0,566.0,165.0,212.0,152.0,275.0,110.0,271.0,527.0,550.0,1237.0,1196.0,177.0,1.0
1.0,108.0,394.0,117.0,360.0,562.0,694.0,92.0,1022.0,805.0,1.0,964.0,116.0,132.0,79.0,322.0,53.0,337.0,371.0,913.0,1214.0,1240.0,103.0,0.0
0.0,45.0,199.0,129.0,188.0,308.0,410.0,51.0,1565.0,541.0,1.0,1742.0,35.0,56.0,43.0,304.0,26.0,386.0,215.0,1762.0,958.0,983.0,53.0,0.0
0.0,7.0,65.0,66.0,61.0,107.0,131.0,3.0,1747.0,169.0,0.0,2283.0,11.0,14.0,8.0,190.0,7.0,245.0,68.0,4076.0,370.0,359.0,13.0,0.0
