Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
573.0,227.0,201.0,5075.0,453.0,136.0,106.0,141.0,140.0,219.0,116.0,1879.0,47.0,31.0,0.0,68.0,1.0,447.0,0.0,74.0,12.0,20.0,31.0,3.0
854.0,429.0,453.0,1919.0,813.0,337.0,262.0,326.0,299.0,417.0,292.0,2113.0,83.0,106.0,0.0,187.0,0.0,712.0,0.0,189.0,41.0,52.0,102.0,14.0
918.0,583.0,533.0,1013.0,849.0,485.0,385.0,406.0,385.0,587.0,402.0,1388.0,164.0,155.0,2.0,300.0,0.0,823.0,2.0,257.0,73.0,93.0,166.0,31.0
902.0,599.0,595.0,641.0,809.0,524.0,414.0,473.0,484.0,625.0,431.0,962.0,239.0,219.0,4.0,373.0,0.0,802.0,3.0,367.0,106.0,132.0,223.0,73.0
764.0,581.0,651.0,379.0,800.0,555.0,452.0,490.0,539.0,655.0,531.0,831.0,269.0,271.0,7.0,398.0,1.0,782.0,8.0,372.0,143.0,181.0,251.0,89.0
793.0,633.0,577.0,271.0,775.0,562.0,481.0,536.0,570.0,675.0,547.0,601.0,304.0,282.0,8.0,458.0,3.0,721.0,13.0,372.0,182.0,230.0,314.0,92.0
664.0,659.0,624.0,218.0,688.0,600.0,540.0,610.0,519.0,654.0,542.0,473.0,363.0,331.0,19.0,459.0,5.0,674.0,13.0,430.0,214.0,250.0,333.0,118.0
617.0,623.0,637.0,134.0,604.0,623.0,582.0,604.0,557.0,654.0,544.0,408.0,352.0,358.0,15.0,496.0,5.0,628.0,20.0,496.0,232.0,285.0,379.0,147.0
581.0,586.0,632.0,109.0,592.0,560.0,547.0,624.0,566.0,559.0,585.0,293.0,427.0,427.0,32.0,524.0,8.0,573.0,41.0,520.0,278.0,352.0,401.0,183.0
486.0,606.0,563.0,60.0,554.0,569.0,565.0,640.0,594.0,574.0,574.0,229.0,467.0,460.0,36.0,553.0,22.0,569.0,45.0,530.0,311.0,352.0,428.0,213.0
421.0,553.0,544.0,51.0,497.0,603.0,581.0,578.0,588.0,587.0,560.0,205.0,486.0,459.0,41.0,574.0,16.0,486.0,59.0,551.0,375.0,417.0,520.0,248.0
431.0,551.0,562.0,42.0,437.0,578.0,572.0,546.0,567.0,522.0,563.0,165.0,520.0,512.0,64.0,540.0,37.0,425.0,69.0,579.0,409.0,496.0,548.0,265.0
388.0,499.0,537.0,30.0,357.0,530.0,576.0,557.0,552.0,509.0,552.0,117.0,528.0,578.0,88.0,624.0,44.0,395.0,79.0,564.0,470.0,533.0,551.0,342.0
346.0,507.0,467.0,17.0,341.0,505.0,528.0,521.0,541.0,449.0,569.0,89.0,629.0,580.0,101.0,623.0,63.0,377.0,121.0,603.0,518.0,553.0,576.0,376.0
272.0,445.0,442.0,11.0,341.0,496.0,555.0,519.0,551.0,402.0,472.0,64.0,610.0,641.0,142.0,596.0,82.0,375.0,147.0,613.0,558.0,572.0,613.0,481.0
243.0,401.0,420.0,17.0,270.0,478.0,543.0,483.0,481.0,427.0,523.0,58.0,636.0,659.0,186.0,552.0,98.0,287.0,211.0,589.0,650.0,634.0,616.0,538.0
196.0,382.0,392.0,6.0,243.0,440.0,507.0,443.0,502.0,356.0,472.0,49.0,672.0,639.0,275.0,551.0,172.0,269.0,300.0,564.0,686.0,648.0,626.0,610.0
165.0,347.0,317.0,4.0,163.0,391.0,444.0,427.0,406.0,297.0,432.0,30.0,677.0,670.0,351.0,525.0,244.0,192.0,399.0,591.0,768.0,731.0,691.0,738.0
146.0,272.0,318.0,3.0,158.0,333.0,426.0,339.0,373.0,276.0,377.0,22.0,656.0,660.0,488.0,464.0,330.0,171.0,574.0,497.0,829.0,727.0,670.0,891.0
114.0,199.0,210.0,0.0,118.0,270.0,363.0,303.0,317.0,227.0,337.0,13.0,626.0,604.0,743.0,408.0,527.0,119.0,802.0,438.0,841.0,793.0,617.0,1011.0
64.0,168.0,175.0,0.0,67.0,198.0,266.0,203.0,231.0,168.0,263.0,8.0,547.0,561.0,1154.0,320.0,851.0,86.0,1118.0,354.0,865.0,760.0,490.0,1083.0
33.0,90.0,87.0,0.0,44.0,138.0,156.0,145.0,139.0,105.0,182.0,2.0,377.0,430.0,1710.0,248.0,1390.0,52.0,1629.0,244.0,690.0,595.0,432.0,1082.0
22.0,40.0,48.0,0.0,22.0,67.0,115.0,64.0,75.0,43.0,103.0,0.0,239.0,254.0,2219.0,109.0,2283.0,26.0,2118.0,145.0,465.0,399.0,289.0,855.0
7.0,20.0,15.0,0.0,5.0,22.0,34.0,22.0,24.0,13.0,31.0,1.0,82.0,113.0,2315.0,50.0,3818.0,9.0,2229.0,61.0,284.0,195.0,133.0,517.0
